
2 Mot inconnu : ZopeEdit => ====== ZopeEdit / External Editor client ====== | zopeedit
2 Mot inconnu : External => ====== ZopeEdit / External Editor client ====== | external
2 Mot inconnu : Editor => ====== ZopeEdit / External Editor client ====== | editor

8 Accord erroné : “installation” et “vérifié” ne sont pas accordés. => <note importante>La partie installation a été vérifié sur Ubuntu 16.04 mais l'utilisation. Elle n'est donc pas confirmé.</note> | vérifié => suggestions : ['vérifiée']

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Python qui est installé par défaut |    => suggestions : ['']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * D'un accès à un serveur plone avec external edit d'activé. |    => suggestions : ['']
13 Mot inconnu : plone =>   * D'un accès à un serveur plone avec external edit d'activé. | plone
13 Mot inconnu : external =>   * D'un accès à un serveur plone avec external edit d'activé. | external
13 Mot inconnu : edit =>   * D'un accès à un serveur plone avec external edit d'activé. | edit
13 Le verbe devrait être à l’infinitif. =>   * D'un accès à un serveur plone avec external edit d'activé. | activé => suggestions : ['activer']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * D'autoriser l'édition externe pour le document |    => suggestions : ['']

19 Mot inconnu : easy_install => Installer le paquet python qui nous intéresse à l'aide d'easy_install : [[http://pypi.python.org/pypi/collective.zopeedit|collective.zopeedit]] | easy_install
19 Mot inconnu : zopeedit => Installer le paquet python qui nous intéresse à l'aide d'easy_install : [[http://pypi.python.org/pypi/collective.zopeedit|collective.zopeedit]] | zopeedit

26 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A la première consultation de votre site [[https://plone.org/|Plone]] depuis votre navigateur internet, pour modifier le document,\\ | a => suggestions : ['À']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  cliquer sur le lien **modifier avec une application externe** en bas à droite de la section dédiée à ce document.\\ |   => suggestions : ['']

29 Mot inconnu : zopeedit => Renseigner le chemin de zopeedit client, et rendre permanent ce réglage.\\ | zopeedit

31 Mot inconnu : Zopeedit => Zopeedit fournira le document à l'application configurée par défaut pour ce type de document sur votre système | zopeedit

33 Mot inconnu : Zopeedit => === Pour que Firefox utilise Zopeedit=== | zopeedit

34 Mot inconnu : zopeedit => Dans les préférences de Firefox onglet application, donner pour chaque type de document le chemin de zopeedit\\ | zopeedit

36 Mot inconnu : Zopeedit => === Pour que Zopeedit fournisse le document à l'application === | zopeedit

37 Mot inconnu : zopeedit => Lancer **zopeedit** avec ALT+F2 ou dans un terminal\\ | zopeedit
37 Typographie des composés chimiques. => Lancer **zopeedit** avec ALT+F2 ou dans un terminal\\ | f2 => suggestions : ['F₂']
37 Mot inconnu : F2 => Lancer **zopeedit** avec ALT+F2 ou dans un terminal\\ | f2

39 Mot inconnu : étition => donner pour chaque type de document le logiciel d'étition externe à utiliser\\ | étition

40 Mot inconnu : ie => (ie: utilisation de libreoffice pour les ods) | ie
40 Mot inconnu : libreoffice => (ie: utilisation de libreoffice pour les ods) | libreoffice
40 Mot inconnu : ods => (ie: utilisation de libreoffice pour les ods) | ods

47 Mot inconnu : Zopeedit => Zopeedit fournira désormais le document à votre logiciel externe \\ | zopeedit

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Désinstaller le module |    => suggestions : ['']

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Supprimer le "egg" de python (remplacer x,y par la bonne version ) |    => suggestions : ['']
54 Guillemets typographiques ouvrants. =>   * Supprimer le "egg" de python (remplacer x,y par la bonne version ) | " => suggestions : ['«\xa0', '“']
54 Mot inconnu : egg =>   * Supprimer le "egg" de python (remplacer x,y par la bonne version ) | egg
54 Guillemets typographiques fermants. =>   * Supprimer le "egg" de python (remplacer x,y par la bonne version ) | " => suggestions : ['\xa0»', '”']
54 Il manque un espace. =>   * Supprimer le "egg" de python (remplacer x,y par la bonne version ) | y => suggestions : [' y']
54 Pas d’espace avant ce signe. =>   * Supprimer le "egg" de python (remplacer x,y par la bonne version ) |  ) => suggestions : [')']

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * http://plone.fr/documentation/documentation-integrateur/external_editor.html |    => suggestions : ['']

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://plone.org/products/zope-externaleditor-client |    => suggestions : ['']

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * http://peak.telecommunity.com/DevCenter/EasyInstall |    => suggestions : ['']

64 Il manque un espace. => //Contributeurs :[[utilisateurs:ool]]// | ool => suggestions : [' ool']
