
5 Mot inconnu : Virtualbox => ====== Virtualbox : Additions Invité  ====== | virtualbox
5 Accord de nombre erroné avec « Invité ». => ====== Virtualbox : Additions Invité  ====== | additions => suggestions : ['Addition']
5 Accord de genre erroné avec « Additions ». => ====== Virtualbox : Additions Invité  ====== | invité => suggestions : ['Invitée']
5 Espace(s) surnuméraire(s) à supprimer. => ====== Virtualbox : Additions Invité  ====== |    => suggestions : [' ']

8 Mot inconnu : VirtualBox => Pour faciliter cela VirtualBox offre un système simple, accessible grâce aux **Additions invité** (cependant le partage Netbios //via// Samba marche également très bien).\\ | virtualbox
8 Accord de genre erroné entre « Additions » et « invité ». => Pour faciliter cela VirtualBox offre un système simple, accessible grâce aux **Additions invité** (cependant le partage Netbios //via// Samba marche également très bien).\\ | invité => suggestions : ['invitées']
8 Mot inconnu : Netbios => Pour faciliter cela VirtualBox offre un système simple, accessible grâce aux **Additions invité** (cependant le partage Netbios //via// Samba marche également très bien).\\ | netbios

10 Accord de genre erroné entre « Additions » et « invité ». => Les Additions invité sont des pilotes adaptés pour les systèmes invités comme Windows ou ceux basés sur GNU/Linux qui permettent : | invité => suggestions : ['invitées']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Un affichage graphique plus rapide (avec gestion de l'accélération 2D et 3D) et automatiquement adapté à la résolution graphique du système hôte, |    => suggestions : ['']
11 Nombre ordinal. Second : 2ᵈ. Seconde : 2ᵈᵉ. Seconds : 2ᵈˢ. Secondes : 2ᵈᵉˢ. =>   * Un affichage graphique plus rapide (avec gestion de l'accélération 2D et 3D) et automatiquement adapté à la résolution graphique du système hôte, | 2d => suggestions : ['2ᵈ']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le partage du presse-papier, |    => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le partage des dossiers, |    => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Une capture/libération dynamique du curseur lorsque celui-ci se déplace entre système hôte et système invité. |    => suggestions : ['']
14 Mot inconnu : ération =>   * Une capture/libération dynamique du curseur lorsque celui-ci se déplace entre système hôte et système invité. | ération

17 Espace(s) en fin de ligne à supprimer. => =====Pré-requis=====  |   => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

23 Accord de genre erroné entre « Additions » et « invité ». => Pour activer les Additions invité, lancez **[[Virtualbox]]**, puis le Système invité. Ensuite dans le menu **Périphériques**, cliquez sur **Insérer l'image CD des Additions invité...**. | invité => suggestions : ['invitées']
23 Mot inconnu : Virtualbox => Pour activer les Additions invité, lancez **[[Virtualbox]]**, puis le Système invité. Ensuite dans le menu **Périphériques**, cliquez sur **Insérer l'image CD des Additions invité...**. | virtualbox
23 Accord de nombre erroné avec « le menu » : « Périphériques » devrait être au singulier. => Pour activer les Additions invité, lancez **[[Virtualbox]]**, puis le Système invité. Ensuite dans le menu **Périphériques**, cliquez sur **Insérer l'image CD des Additions invité...**. | périphériques => suggestions : ['Périphérique']
23 Typographie : points de suspension. Utilisez le caractère dédié. => Pour activer les Additions invité, lancez **[[Virtualbox]]**, puis le Système invité. Ensuite dans le menu **Périphériques**, cliquez sur **Insérer l'image CD des Additions invité...**. | ... => suggestions : ['…']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

26 Mot inconnu : The => Si lors de l'installation vous avez une erreur comme //The headers for the current running kernel were not found.//, vérifiez que vous avez bien installé les trois paquets suivants (dkms est important) avec cette commande : | the
26 Mot inconnu : headers => Si lors de l'installation vous avez une erreur comme //The headers for the current running kernel were not found.//, vérifiez que vous avez bien installé les trois paquets suivants (dkms est important) avec cette commande : | headers
26 Mot inconnu : the => Si lors de l'installation vous avez une erreur comme //The headers for the current running kernel were not found.//, vérifiez que vous avez bien installé les trois paquets suivants (dkms est important) avec cette commande : | the
26 Mot inconnu : current => Si lors de l'installation vous avez une erreur comme //The headers for the current running kernel were not found.//, vérifiez que vous avez bien installé les trois paquets suivants (dkms est important) avec cette commande : | current
26 Mot inconnu : kernel => Si lors de l'installation vous avez une erreur comme //The headers for the current running kernel were not found.//, vérifiez que vous avez bien installé les trois paquets suivants (dkms est important) avec cette commande : | kernel
26 Mot inconnu : were => Si lors de l'installation vous avez une erreur comme //The headers for the current running kernel were not found.//, vérifiez que vous avez bien installé les trois paquets suivants (dkms est important) avec cette commande : | were
26 Mot inconnu : not => Si lors de l'installation vous avez une erreur comme //The headers for the current running kernel were not found.//, vérifiez que vous avez bien installé les trois paquets suivants (dkms est important) avec cette commande : | not
26 Mot inconnu : found => Si lors de l'installation vous avez une erreur comme //The headers for the current running kernel were not found.//, vérifiez que vous avez bien installé les trois paquets suivants (dkms est important) avec cette commande : | found
26 Mot inconnu : dkms => Si lors de l'installation vous avez une erreur comme //The headers for the current running kernel were not found.//, vérifiez que vous avez bien installé les trois paquets suivants (dkms est important) avec cette commande : | dkms

36 Mot inconnu : usb => Acceptez le montage du périphérique (comme une clé usb). | usb

41 Mot inconnu : VirtualBox => Sous Windows ouvrez le navigateur de fichier, dans le panneau latéral gauche vous verrez **Lecteur de CD (D:) VirtualBox Guest Additions**. | virtualbox
41 Mot inconnu : Guest => Sous Windows ouvrez le navigateur de fichier, dans le panneau latéral gauche vous verrez **Lecteur de CD (D:) VirtualBox Guest Additions**. | guest

42 Mot inconnu : VBoxWindowsAdditions => Cliquez dessus. Puis double-cliquez sur **VBoxWindowsAdditions**.\\ | vboxwindowsadditions

48 Mot inconnu : VirtualBox => ==== Ajoutez un répertoire de partage à VirtualBox ==== | virtualbox

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Activez l'option réseau dans VirtualBox : **Préférences-> Réseaux -> Activer la carte réseaux**. |    => suggestions : ['']
50 Mot inconnu : VirtualBox =>   * Activez l'option réseau dans VirtualBox : **Préférences-> Réseaux -> Activer la carte réseaux**. | virtualbox

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Éteignez complètement votre système invité (mode **Oublier**, pas **Sauvegarder**). |    => suggestions : ['']

53 Mot inconnu : VM => <note tip>Une fois le dossier de partage correctement configuré, il est possible de lancer la VM SANS activer le contrôleur réseau. Le dossier de partage reste actif. Cela permet donc d'isoler le sytème invité du réseau.</note> | vm
53 Mot inconnu : sytème => <note tip>Une fois le dossier de partage correctement configuré, il est possible de lancer la VM SANS activer le contrôleur réseau. Le dossier de partage reste actif. Cela permet donc d'isoler le sytème invité du réseau.</note> | sytème

55 Mot inconnu : VirtualBox => === Avec l'interface graphique de VirtualBox === | virtualbox

57 Mot inconnu : VirtualBox => Dans les préférences de VirtualBox, cliquez sur **Dossiers partagés**, cliquez sur le petit logo **Ajoute un nouveau dossier partagé**, naviguez jusqu'au dossier de votre choix et donnez-lui un nom. Retenez bien ce nom, il correspond à **dossierpartage** dans les exemples qui suivent. | virtualbox
57 Mot inconnu : dossierpartage => Dans les préférences de VirtualBox, cliquez sur **Dossiers partagés**, cliquez sur le petit logo **Ajoute un nouveau dossier partagé**, naviguez jusqu'au dossier de votre choix et donnez-lui un nom. Retenez bien ce nom, il correspond à **dossierpartage** dans les exemples qui suivent. | dossierpartage

58 S’il s’agit d’une action que le sujet peut accomplir, le verbe devrait être à l’infinitif. => Vous pouvez ensuite cochez les cases **Lecture seule**, **Montage automatique**, **Configuration permanente**, si vous souhaitez ces options. | cochez => suggestions : ['cocher']

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **dossierpartage** est le nom de partage désiré (ne pas mettre de _ dans le nom) |    => suggestions : ['']
66 Mot inconnu : dossierpartage =>   * **dossierpartage** est le nom de partage désiré (ne pas mettre de _ dans le nom) | dossierpartage

72 Espace(s) en fin de ligne à supprimer. => === Système invité Windows ===  |   => suggestions : ['']

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Soit vous naviguez dans l'explorateur Windows, **Outils > Connecter un lecteur réseau**, puis choisissez la lettre que vous voulez pour désigner le fichier (ex X:) dans **Dossier** entrez //\\vboxsvr\dossierpartage//.\\ Sous Windows 10, dans le volet de navigation de l'explorateur, à gauche de la fenêtre, clic-droit sur Réseau puis "Connecter un lecteur réseau...". Choisir un lecteur (ex X: comme ci-dessus) puis "Parcourir..." pour sélectionner le dossier réseau partagé. Après validation, ce dossier apparaît dans le volet de navigation au-dessus et dans "Réseau" avec un un intitulé en majuscule : \\VBOXSVR |    => suggestions : ['']
