
4 Mot inconnu : PowerMac [[35:43]] => ======Installation d'Ubuntu sur un PowerMac G3 Beige====== <|> powermac
4 Mot inconnu : G3 [[44:46]] => ======Installation d'Ubuntu sur un PowerMac G3 Beige====== <|> g3

5 Mot inconnu : PowerPC [[41:48]] => Cette page détaille l'installation du un PowerPC OldWorld d'Ubuntu avec son cd d'installation.  <|> powerpc
5 Mot inconnu : OldWorld [[49:57]] => Cette page détaille l'installation du un PowerPC OldWorld d'Ubuntu avec son cd d'installation.  <|> oldworld
5 Accord de genre erroné : « cd » est féminin. [[72:75]] => Cette page détaille l'installation du un PowerPC OldWorld d'Ubuntu avec son cd d'installation.  <|> son => suggestions : sa
5 Espace(s) en fin de ligne à supprimer. [[94:95]] => Cette page détaille l'installation du un PowerPC OldWorld d'Ubuntu avec son cd d'installation.  <|>  

8 Mot inconnu : Etant [[0:5]] => Etant donné la puissance des PowerPC OldWorld (moins performants que les premiers NewWorld), le plus sage est d'opter pour Xubuntu (l'interface de Xfce étant plus légère que Gnome).\\ <|> etant
8 Mot inconnu : PowerPC [[29:36]] => Etant donné la puissance des PowerPC OldWorld (moins performants que les premiers NewWorld), le plus sage est d'opter pour Xubuntu (l'interface de Xfce étant plus légère que Gnome).\\ <|> powerpc
8 Mot inconnu : OldWorld [[37:45]] => Etant donné la puissance des PowerPC OldWorld (moins performants que les premiers NewWorld), le plus sage est d'opter pour Xubuntu (l'interface de Xfce étant plus légère que Gnome).\\ <|> oldworld
8 Mot inconnu : NewWorld [[82:90]] => Etant donné la puissance des PowerPC OldWorld (moins performants que les premiers NewWorld), le plus sage est d'opter pour Xubuntu (l'interface de Xfce étant plus légère que Gnome).\\ <|> newworld

15 Mot inconnu : OS9 [[17:20]] => ===Démarrer sous OS9=== <|> os9

18 Mot inconnu : BootX [[13:18]] => ===Installer BootX=== <|> bootx

24 Mot inconnu : RamDisk [[28:35]] => ===Installer le Noyau et le RamDisk=== <|> ramdisk

28 Il manque un espace. [[47:49]] => <note>Pour ceux qui veulent installer Ubuntu 8.XX, les fichiers initrd.gz et vmlinux ne se trouvent pas dans /install/powerpc/, mais dans (cd d'Ubuntu)/casper/powerpc/. <|> xx => suggestions :  XX
28 Mot inconnu : gz [[71:73]] => <note>Pour ceux qui veulent installer Ubuntu 8.XX, les fichiers initrd.gz et vmlinux ne se trouvent pas dans /install/powerpc/, mais dans (cd d'Ubuntu)/casper/powerpc/. <|> gz
28 Mot inconnu : vmlinux [[77:84]] => <note>Pour ceux qui veulent installer Ubuntu 8.XX, les fichiers initrd.gz et vmlinux ne se trouvent pas dans /install/powerpc/, mais dans (cd d'Ubuntu)/casper/powerpc/. <|> vmlinux
28 Mot inconnu : install [[110:117]] => <note>Pour ceux qui veulent installer Ubuntu 8.XX, les fichiers initrd.gz et vmlinux ne se trouvent pas dans /install/powerpc/, mais dans (cd d'Ubuntu)/casper/powerpc/. <|> install
28 Mot inconnu : powerpc [[118:125]] => <note>Pour ceux qui veulent installer Ubuntu 8.XX, les fichiers initrd.gz et vmlinux ne se trouvent pas dans /install/powerpc/, mais dans (cd d'Ubuntu)/casper/powerpc/. <|> powerpc
28 Mot inconnu : casper [[152:158]] => <note>Pour ceux qui veulent installer Ubuntu 8.XX, les fichiers initrd.gz et vmlinux ne se trouvent pas dans /install/powerpc/, mais dans (cd d'Ubuntu)/casper/powerpc/. <|> casper
28 Mot inconnu : powerpc [[159:166]] => <note>Pour ceux qui veulent installer Ubuntu 8.XX, les fichiers initrd.gz et vmlinux ne se trouvent pas dans /install/powerpc/, mais dans (cd d'Ubuntu)/casper/powerpc/. <|> powerpc

29 Mot inconnu : tantoillane [[10:21]] => //merci @ tantoillane de macgeneration.com//</note> <|> tantoillane
29 Mot inconnu : macgeneration [[25:38]] => //merci @ tantoillane de macgeneration.com//</note> <|> macgeneration

30 Mot inconnu : BootX [[14:19]] => ===Configurer BootX=== <|> bootx
35 Mot inconnu : vmlinux [[13:20]] =>   * Kernel : vmlinux <|> vmlinux
