
4 Mot inconnu : UFO => ====== UFO : Alien Invasion ====== | ufo

6 Mot inconnu : UFO => **UFO Alien Invasion** est un jeu open source basé sur un moteur 3D Quake 2 modifié, qui a pour but de recréer l'esprit de UFO : Enemy Unknown (excellent jeu de stratégie des année 1990). | ufo
6 Mot inconnu : Quake => **UFO Alien Invasion** est un jeu open source basé sur un moteur 3D Quake 2 modifié, qui a pour but de recréer l'esprit de UFO : Enemy Unknown (excellent jeu de stratégie des année 1990). | quake
6 Accord de nombre erroné avec « 2 » : « modifié » devrait être au pluriel. => **UFO Alien Invasion** est un jeu open source basé sur un moteur 3D Quake 2 modifié, qui a pour but de recréer l'esprit de UFO : Enemy Unknown (excellent jeu de stratégie des année 1990). | modifié => suggestions : ['modifiés']
6 Mot inconnu : UFO => **UFO Alien Invasion** est un jeu open source basé sur un moteur 3D Quake 2 modifié, qui a pour but de recréer l'esprit de UFO : Enemy Unknown (excellent jeu de stratégie des année 1990). | ufo
6 Mot inconnu : Enemy => **UFO Alien Invasion** est un jeu open source basé sur un moteur 3D Quake 2 modifié, qui a pour but de recréer l'esprit de UFO : Enemy Unknown (excellent jeu de stratégie des année 1990). | enemy
6 Mot inconnu : Unknown => **UFO Alien Invasion** est un jeu open source basé sur un moteur 3D Quake 2 modifié, qui a pour but de recréer l'esprit de UFO : Enemy Unknown (excellent jeu de stratégie des année 1990). | unknown
6 Accord de nombre erroné : « année » devrait être au pluriel. => **UFO Alien Invasion** est un jeu open source basé sur un moteur 3D Quake 2 modifié, qui a pour but de recréer l'esprit de UFO : Enemy Unknown (excellent jeu de stratégie des année 1990). | année => suggestions : ['années']
7 Espace(s) en fin de ligne à supprimer. => Ce jeu se compose principalement de 2 phases :  |   => suggestions : ['']

11 Mot inconnu : UFO => Un grand nombre d'armes, de vaisseaux, etc. sont à découvrir et à fabriquer. Les graphismes sont excellents et jouabilité tout aussi bonne. Les anciens fans de UFO : Enemy Unknown se retrouveront dans ce jeu et les fans de stratégie/action/lynchage d'aliens aussi ! | ufo
11 Mot inconnu : Enemy => Un grand nombre d'armes, de vaisseaux, etc. sont à découvrir et à fabriquer. Les graphismes sont excellents et jouabilité tout aussi bonne. Les anciens fans de UFO : Enemy Unknown se retrouveront dans ce jeu et les fans de stratégie/action/lynchage d'aliens aussi ! | enemy
11 Mot inconnu : Unknown => Un grand nombre d'armes, de vaisseaux, etc. sont à découvrir et à fabriquer. Les graphismes sont excellents et jouabilité tout aussi bonne. Les anciens fans de UFO : Enemy Unknown se retrouveront dans ce jeu et les fans de stratégie/action/lynchage d'aliens aussi ! | unknown
15 Espace(s) en fin de ligne à supprimer. => Ce jeu est abouti et les développeurs ne cessent d'ajouter des armes et artefacts aliens, le tout en français !  |   => suggestions : ['']

47 Mot inconnu : maps => ==== Le chargement des maps ne se fait si l'on choisit ENTRER au lieu de MISSION AUTO ==== | maps
