
36 Mot inconnu : alt [[48:51]] => Redémarrez votre Mac, en appuyant sur la touche alt, ou option. <|> alt

40 Mot inconnu : PowerPC [[38:45]] => Si vous utilisez (encore) un modèle **PowerPC**, d'anciennes versions sont encore disponibles, mais elles sont très vieilles et non sécurisées dû au fait que les mises à jour ne sont plus assurées. <|> powerpc

47 Mot inconnu : install [[74:81]] => Dans cette deuxième partie, nous allons aborder la configuration de notre install toute fraîche Ubuntu. Les configs concernant le Wi-Fi, ainsi que certains drivers de carte graphique... <|> install
47 Typographie : points de suspension. Utilisez le caractère dédié. [[182:185]] => Dans cette deuxième partie, nous allons aborder la configuration de notre install toute fraîche Ubuntu. Les configs concernant le Wi-Fi, ainsi que certains drivers de carte graphique... <|> ... => suggestions : …

56 Guillemets typographiques ouvrants. [[40:41]] => Lancez ensuite simplement l'application "Logiciel et mises a jour" - Onglet "pilotes additionnels" et activer le driver. <|> " => suggestions : « “
56 Accord de genre erroné entre “application” et “Logiciel”. [[41:49]] => Lancez ensuite simplement l'application "Logiciel et mises a jour" - Onglet "pilotes additionnels" et activer le driver. <|> logiciel => suggestions : Logicielle
56 Confusion : “a” est une conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. [[59:60]] => Lancez ensuite simplement l'application "Logiciel et mises a jour" - Onglet "pilotes additionnels" et activer le driver. <|> a => suggestions : à
56 Guillemets typographiques fermants. [[65:66]] => Lancez ensuite simplement l'application "Logiciel et mises a jour" - Onglet "pilotes additionnels" et activer le driver. <|> " => suggestions :  »”
56 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[66:69]] => Lancez ensuite simplement l'application "Logiciel et mises a jour" - Onglet "pilotes additionnels" et activer le driver. <|>  -  => suggestions :  –  —  − 
56 Guillemets typographiques ouvrants. [[76:77]] => Lancez ensuite simplement l'application "Logiciel et mises a jour" - Onglet "pilotes additionnels" et activer le driver. <|> " => suggestions : « “
56 Guillemets typographiques fermants. [[97:98]] => Lancez ensuite simplement l'application "Logiciel et mises a jour" - Onglet "pilotes additionnels" et activer le driver. <|> " => suggestions :  »”

62 Mot inconnu : Francais [[82:90]] => Dans l'installation d'Ubuntu, sélectionnez bien, dans la sélection de claviers, **Francais (Macintosh)**. <|> francais

70 Incohérence avec “on” : “appui” devrait être un verbe, un pronom objet, un adverbe de négation, etc. [[21:26]] => Par défaut, quand on appui sur la touche F1, on obtient le réglage de la luminosité de l'écran. Pour avoir le comportement de la touche F1, il faut appuyer sur fn F1. <|> appui => suggestions : appuie
70 Mot inconnu : fn [[160:162]] => Par défaut, quand on appui sur la touche F1, on obtient le réglage de la luminosité de l'écran. Pour avoir le comportement de la touche F1, il faut appuyer sur fn F1. <|> fn

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  
