
5 Mot inconnu : Kazam => ====== Kazam ====== | kazam

8 Mot inconnu : Kazam => Kazam est un logiciel capable d'enregistrer votre écran. Il vous laissera le choix de faire soit une capture en continu (format vidéo) ou une simple capture d'écran. Le logiciel se lance depuis le menu Applications → son et vidéo et s'installe dans la barre des tâches durant la capture d'écran. | kazam

13 Mot inconnu : Kazam => Kazam permet d'enregistrer: | kazam

21 Mot inconnu : Kazam => Kazam permet également pour la capture vidéo de capturer le son des hauts-parleurs et du microphone. | kazam

23 Mot inconnu : Kazam => Et pour terminer, Kazam s'intègre avec la barre d'outils permettant de lancer/stopper l'enregistrer plus simplement. | kazam

33 Guillemets typographiques ouvrants. => En cliquant sur l'onglet "Fichier", vous aurez le choix entre "Préférences" et "Quitter". | " => suggestions : ['«\xa0', '“']
33 Guillemets typographiques fermants. => En cliquant sur l'onglet "Fichier", vous aurez le choix entre "Préférences" et "Quitter". | " => suggestions : ['\xa0»', '”']
33 Guillemets typographiques ouvrants. => En cliquant sur l'onglet "Fichier", vous aurez le choix entre "Préférences" et "Quitter". | " => suggestions : ['«\xa0', '“']
33 Guillemets typographiques fermants. => En cliquant sur l'onglet "Fichier", vous aurez le choix entre "Préférences" et "Quitter". | " => suggestions : ['\xa0»', '”']
33 Guillemets typographiques ouvrants. => En cliquant sur l'onglet "Fichier", vous aurez le choix entre "Préférences" et "Quitter". | " => suggestions : ['«\xa0', '“']
33 Guillemets typographiques fermants. => En cliquant sur l'onglet "Fichier", vous aurez le choix entre "Préférences" et "Quitter". | " => suggestions : ['\xa0»', '”']

34 Guillemets typographiques ouvrants. => Choisissez bien évidemment "Préférences" :-) | " => suggestions : ['«\xa0', '“']
34 Guillemets typographiques fermants. => Choisissez bien évidemment "Préférences" :-) | " => suggestions : ['\xa0»', '”']

46 Mot inconnu : îcone => À la droite de ces deux boutons, une îcone. | îcone
53 Guillemets typographiques ouvrants. => Sur l'écran principal, une phrase disant: "seconds to wait before capturing:" permet de choisir le décompte. | " => suggestions : ['«\xa0', '“']
53 Mot inconnu : to => Sur l'écran principal, une phrase disant: "seconds to wait before capturing:" permet de choisir le décompte. | to
53 Mot inconnu : wait => Sur l'écran principal, une phrase disant: "seconds to wait before capturing:" permet de choisir le décompte. | wait
