
3 Mot inconnu : apt-get => ====== apt-get ====== | apt-get

18 Guillemets typographiques ouvrants. => <note tip>Vous pouvez également utiliser la commande suivante "sudo apt install <packet>", elle a 2 avantages par rapport à apt-get: la coloration du texte pour mieux se repérer et une barre d'avancement durant la décompression et la configuration des paquets.</note> | " => suggestions : ['«\xa0', '“']
18 Mot inconnu : sudo => <note tip>Vous pouvez également utiliser la commande suivante "sudo apt install <packet>", elle a 2 avantages par rapport à apt-get: la coloration du texte pour mieux se repérer et une barre d'avancement durant la décompression et la configuration des paquets.</note> | sudo
18 Mot inconnu : install => <note tip>Vous pouvez également utiliser la commande suivante "sudo apt install <packet>", elle a 2 avantages par rapport à apt-get: la coloration du texte pour mieux se repérer et une barre d'avancement durant la décompression et la configuration des paquets.</note> | install
18 Mot inconnu : apt-get => <note tip>Vous pouvez également utiliser la commande suivante "sudo apt install <packet>", elle a 2 avantages par rapport à apt-get: la coloration du texte pour mieux se repérer et une barre d'avancement durant la décompression et la configuration des paquets.</note> | apt-get

22 Une de ces ponctuations est superflue. => Avant de lancer l'installation, il est parfois utile de vérifier la version qui sera installée, les dépendances, ...\\ | , . => suggestions : [',', '.']
22 Typographie : points de suspension. Utilisez le caractère dédié. => Avant de lancer l'installation, il est parfois utile de vérifier la version qui sera installée, les dépendances, ...\\ | ... => suggestions : ['…']

27 Guillemets typographiques ouvrants. => Très utile pour revenir à une version officielle d'un paquet (qui aurait été "upgradé à la main"). | " => suggestions : ['«\xa0', '“']
27 Guillemets typographiques fermants. => Très utile pour revenir à une version officielle d'un paquet (qui aurait été "upgradé à la main"). | " => suggestions : ['\xa0»', '”']

41 Mot inconnu : vlc => recherchera une solution pour faire fonctionner [[vlc|VLC media player]] sans corrompre le système (FIXME). | vlc
41 Mot inconnu : VLC => recherchera une solution pour faire fonctionner [[vlc|VLC media player]] sans corrompre le système (FIXME). | vlc
41 Mot inconnu : player => recherchera une solution pour faire fonctionner [[vlc|VLC media player]] sans corrompre le système (FIXME). | player
41 Mot inconnu : FIXME => recherchera une solution pour faire fonctionner [[vlc|VLC media player]] sans corrompre le système (FIXME). | fixme

45 Mot inconnu : apt-get => Il n'existe pas de solution sur apt-get pour forcer une installation. [[dpkg|Dpkg]] a quelques options dans ce sens, mais qui ne résolvent pas toutes les situations pour autant. | apt-get
45 Mot inconnu : dpkg => Il n'existe pas de solution sur apt-get pour forcer une installation. [[dpkg|Dpkg]] a quelques options dans ce sens, mais qui ne résolvent pas toutes les situations pour autant. | dpkg

47 Mot inconnu : sudo => sudo dpkg -i --force-all package.deb</code> | sudo
47 Mot inconnu : dpkg => sudo dpkg -i --force-all package.deb</code> | dpkg
47 Il manque un espace à côté du tiret. => sudo dpkg -i --force-all package.deb</code> |  - => suggestions : [' – ', ' — ']
47 Mot inconnu : force-all => sudo dpkg -i --force-all package.deb</code> | force-all
47 Mot inconnu : deb => sudo dpkg -i --force-all package.deb</code> | deb

58 Mot inconnu : dpkg => <note tip> Pour rechercher un paquet installé, il faut utiliser [[dpkg]], par exemple : | dpkg

67 Guillemets typographiques ouvrants. => Notez que "apt-get source" se sert des entrées "deb-src" dans le fichier **/etc/apt/sources.list** ou autres dans **/etc/apt/sources.list.d**. | " => suggestions : ['«\xa0', '“']
67 Mot inconnu : apt-get => Notez que "apt-get source" se sert des entrées "deb-src" dans le fichier **/etc/apt/sources.list** ou autres dans **/etc/apt/sources.list.d**. | apt-get
67 Guillemets typographiques fermants. => Notez que "apt-get source" se sert des entrées "deb-src" dans le fichier **/etc/apt/sources.list** ou autres dans **/etc/apt/sources.list.d**. | " => suggestions : ['\xa0»', '”']
67 Guillemets typographiques ouvrants. => Notez que "apt-get source" se sert des entrées "deb-src" dans le fichier **/etc/apt/sources.list** ou autres dans **/etc/apt/sources.list.d**. | " => suggestions : ['«\xa0', '“']
67 Mot inconnu : deb-src => Notez que "apt-get source" se sert des entrées "deb-src" dans le fichier **/etc/apt/sources.list** ou autres dans **/etc/apt/sources.list.d**. | deb-src
67 Guillemets typographiques fermants. => Notez que "apt-get source" se sert des entrées "deb-src" dans le fichier **/etc/apt/sources.list** ou autres dans **/etc/apt/sources.list.d**. | " => suggestions : ['\xa0»', '”']

69 Guillemets typographiques ouvrants. => L'instruction "apt-get source" va de pair avec "apt-get build-dep", qui installera les dépendances du paquet. Exemple complet: | " => suggestions : ['«\xa0', '“']
69 Mot inconnu : apt-get => L'instruction "apt-get source" va de pair avec "apt-get build-dep", qui installera les dépendances du paquet. Exemple complet: | apt-get
69 Guillemets typographiques fermants. => L'instruction "apt-get source" va de pair avec "apt-get build-dep", qui installera les dépendances du paquet. Exemple complet: | " => suggestions : ['\xa0»', '”']
69 Guillemets typographiques ouvrants. => L'instruction "apt-get source" va de pair avec "apt-get build-dep", qui installera les dépendances du paquet. Exemple complet: | " => suggestions : ['«\xa0', '“']
69 Mot inconnu : apt-get => L'instruction "apt-get source" va de pair avec "apt-get build-dep", qui installera les dépendances du paquet. Exemple complet: | apt-get
69 Mot inconnu : build-dep => L'instruction "apt-get source" va de pair avec "apt-get build-dep", qui installera les dépendances du paquet. Exemple complet: | build-dep
69 Guillemets typographiques fermants. => L'instruction "apt-get source" va de pair avec "apt-get build-dep", qui installera les dépendances du paquet. Exemple complet: | " => suggestions : ['\xa0»', '”']
116 Guillemets typographiques ouvrants. => Remarque : taper "man apt-get" dans un terminal donne une réponse en français et une explication plus complète et plus claire. | " => suggestions : ['«\xa0', '“']
