
4 Mot inconnu : Nautilus => ====== Nautilus Actions ====== | nautilus

8 Mot inconnu : Nautilus-actions => Nautilus-actions est une extension de nautilus permettant d'ajouter des fonctions au menu contextuel (menu lors d'un clic droit). Ces fonctions sont appelées actions. | nautilus-actions
8 Mot inconnu : nautilus => Nautilus-actions est une extension de nautilus permettant d'ajouter des fonctions au menu contextuel (menu lors d'un clic droit). Ces fonctions sont appelées actions. | nautilus

12 Mot inconnu : sudo => Il permet aussi de filtrer les fichiers auxquels les actions peuvent s'appliquer (on ne peut pas étiqueter un fichier texte, inversement on ne peut pas éditer en sudo un fichier mp3). | sudo

23 Mot inconnu : zenity => Beaucoup d'actions nécessitent le paquet zenity qui permet de faire une interface graphique en GTK à partir de n'importe quel script. | zenity

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Vous [[#Créer une action|créez vous-même vos actions]], |    => suggestions : ['']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Vous téléchargez les [[#actions|actions disponibles ci-dessous]] puis vous les [[#importer_une_action|importez]]. |    => suggestions : ['']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Faites un clic droit dans le champs de gauche, et choisissez "Nouvelle action", |    => suggestions : ['']
32 Accord de nombre erroné : « champs » est au pluriel. =>   * Faites un clic droit dans le champs de gauche, et choisissez "Nouvelle action", | le => suggestions : ['les']
32 Accord de nombre erroné : « champs » devrait être au singulier. =>   * Faites un clic droit dans le champs de gauche, et choisissez "Nouvelle action", | champs => suggestions : ['champ']
32 Guillemets typographiques ouvrants. =>   * Faites un clic droit dans le champs de gauche, et choisissez "Nouvelle action", | " => suggestions : ['«\xa0', '“']
32 Guillemets typographiques fermants. =>   * Faites un clic droit dans le champs de gauche, et choisissez "Nouvelle action", | " => suggestions : ['\xa0»', '”']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cliquez sur le texte "Nouvelle action" qui s'ajoute et donnez-lui le nom de votre choix.  |    => suggestions : ['']
33 Guillemets typographiques ouvrants. =>   * Cliquez sur le texte "Nouvelle action" qui s'ajoute et donnez-lui le nom de votre choix.  | " => suggestions : ['«\xa0', '“']
33 Accord de genre erroné : « le texte » est masculin, « Nouvelle » est féminin. =>   * Cliquez sur le texte "Nouvelle action" qui s'ajoute et donnez-lui le nom de votre choix.  | nouvelle => suggestions : ['Nouveau']
33 Guillemets typographiques fermants. =>   * Cliquez sur le texte "Nouvelle action" qui s'ajoute et donnez-lui le nom de votre choix.  | " => suggestions : ['\xa0»', '”']
33 Espace(s) en fin de ligne à supprimer. =>   * Cliquez sur le texte "Nouvelle action" qui s'ajoute et donnez-lui le nom de votre choix.  |   => suggestions : ['']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * "Étiquette du contexte"  où s'affiche le texte qui sera visible dans le menu contextuel, |    => suggestions : ['']
40 Guillemets typographiques ouvrants. =>   * "Étiquette du contexte"  où s'affiche le texte qui sera visible dans le menu contextuel, | " => suggestions : ['«\xa0', '“']
40 Guillemets typographiques fermants. =>   * "Étiquette du contexte"  où s'affiche le texte qui sera visible dans le menu contextuel, | " => suggestions : ['\xa0»', '”']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * "Informations" où s'affiche le texte qui sera visible au survol de l'action dans le menu, |    => suggestions : ['']
41 Guillemets typographiques ouvrants. =>   * "Informations" où s'affiche le texte qui sera visible au survol de l'action dans le menu, | " => suggestions : ['«\xa0', '“']
41 Guillemets typographiques fermants. =>   * "Informations" où s'affiche le texte qui sera visible au survol de l'action dans le menu, | " => suggestions : ['\xa0»', '”']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * "Icône" où vous pouvez mettre l'icône de votre choix, qui s'affichera à gauche du titre de l'action dans le menu de nautilus. |    => suggestions : ['']
