
5 Mot inconnu : Jump’n’Bump => ====== Jump’n’Bump : jeux de lapins, jeux de vilains… ====== | jump’n’bump

7 Mot inconnu : Jump’n’Bump => **Jump’n’Bump** est un petit jeu très prenant où chaque joueur (jusqu'à 4) contrôle un petit lapin qu'il fait sauter sur les autres pour les écraser (les effusions de sang sont désactivables). | jump’n’bump

23 Mettez des guillemets fermants plutôt qu’ouvrants. => Ensuite on décompresse le dossier téléchargé ainsi que les fichiers qu'il contient dans un répertoire de son choix. On obtient ainsi des fichiers avec l'extension « .dat ». |  « => suggestions : ['\xa0»', '”']
23 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Ensuite on décompresse le dossier téléchargé ainsi que les fichiers qu'il contient dans un répertoire de son choix. On obtient ainsi des fichiers avec l'extension « .dat ». |  . => suggestions : ['. ', '.']
23 Mot inconnu : dat => Ensuite on décompresse le dossier téléchargé ainsi que les fichiers qu'il contient dans un répertoire de son choix. On obtient ainsi des fichiers avec l'extension « .dat ». | dat

25 Mot inconnu : superutilisateur => Copier ces fichiers en mode superutilisateur dans le dossier /usr/share/games/jumpnbump/ | superutilisateur

30 Mot inconnu : jumpnbump => Options à rajouter après //jumpnbump// lors du lancement : | jumpnbump

44 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => Il est possible de jouer sur un serveur mais je ne sait pas comment faire, si quelqu'un peut nous renseigner sur ce sujet… |  mais => suggestions : [', mais']
44 Conjugaison erronée. Accord avec “je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. => Il est possible de jouer sur un serveur mais je ne sait pas comment faire, si quelqu'un peut nous renseigner sur ce sujet… | sait => suggestions : ['sais']

46 Mot inconnu : jumpnbump-menu => === jumpnbump-menu === | jumpnbump-menu

48 Mot inconnu : Jump’n’Bump => La nouvelle version de Jump’n’Bump comprend un lanceur qui permet de configurer la partie graphiquement. | jump’n’bump

56 Guillemets typographiques ouvrants. => À partir du menu, il suffit de sélectionner "server" et d'indiquer le nombre d'ordinateurs supplémentaires qui participeront à la partie (dans notre exemple, un seul). Choisissez le Level et sélectionner éventuellement différentes options, puis cliquer sur "run". L'écran de jeu reste noir en attendant la connexion d'un "client". À partir du second ordinateur, sélectionner "client" et indiquer l'adresse ip du "serveur" sur le réseau local (clic droit sur nm-applet et "Informations sur la connexion" par exemple). Cliquez sur "run" et jouez ! | " => suggestions : ['«\xa0', '“']
56 Mot inconnu : server => À partir du menu, il suffit de sélectionner "server" et d'indiquer le nombre d'ordinateurs supplémentaires qui participeront à la partie (dans notre exemple, un seul). Choisissez le Level et sélectionner éventuellement différentes options, puis cliquer sur "run". L'écran de jeu reste noir en attendant la connexion d'un "client". À partir du second ordinateur, sélectionner "client" et indiquer l'adresse ip du "serveur" sur le réseau local (clic droit sur nm-applet et "Informations sur la connexion" par exemple). Cliquez sur "run" et jouez ! | server
56 Guillemets typographiques fermants. => À partir du menu, il suffit de sélectionner "server" et d'indiquer le nombre d'ordinateurs supplémentaires qui participeront à la partie (dans notre exemple, un seul). Choisissez le Level et sélectionner éventuellement différentes options, puis cliquer sur "run". L'écran de jeu reste noir en attendant la connexion d'un "client". À partir du second ordinateur, sélectionner "client" et indiquer l'adresse ip du "serveur" sur le réseau local (clic droit sur nm-applet et "Informations sur la connexion" par exemple). Cliquez sur "run" et jouez ! | " => suggestions : ['\xa0»', '”']
56 Mot inconnu : Level => À partir du menu, il suffit de sélectionner "server" et d'indiquer le nombre d'ordinateurs supplémentaires qui participeront à la partie (dans notre exemple, un seul). Choisissez le Level et sélectionner éventuellement différentes options, puis cliquer sur "run". L'écran de jeu reste noir en attendant la connexion d'un "client". À partir du second ordinateur, sélectionner "client" et indiquer l'adresse ip du "serveur" sur le réseau local (clic droit sur nm-applet et "Informations sur la connexion" par exemple). Cliquez sur "run" et jouez ! | level
56 Guillemets typographiques ouvrants. => À partir du menu, il suffit de sélectionner "server" et d'indiquer le nombre d'ordinateurs supplémentaires qui participeront à la partie (dans notre exemple, un seul). Choisissez le Level et sélectionner éventuellement différentes options, puis cliquer sur "run". L'écran de jeu reste noir en attendant la connexion d'un "client". À partir du second ordinateur, sélectionner "client" et indiquer l'adresse ip du "serveur" sur le réseau local (clic droit sur nm-applet et "Informations sur la connexion" par exemple). Cliquez sur "run" et jouez ! | " => suggestions : ['«\xa0', '“']
56 Mot inconnu : run => À partir du menu, il suffit de sélectionner "server" et d'indiquer le nombre d'ordinateurs supplémentaires qui participeront à la partie (dans notre exemple, un seul). Choisissez le Level et sélectionner éventuellement différentes options, puis cliquer sur "run". L'écran de jeu reste noir en attendant la connexion d'un "client". À partir du second ordinateur, sélectionner "client" et indiquer l'adresse ip du "serveur" sur le réseau local (clic droit sur nm-applet et "Informations sur la connexion" par exemple). Cliquez sur "run" et jouez ! | run
56 Guillemets typographiques fermants. => À partir du menu, il suffit de sélectionner "server" et d'indiquer le nombre d'ordinateurs supplémentaires qui participeront à la partie (dans notre exemple, un seul). Choisissez le Level et sélectionner éventuellement différentes options, puis cliquer sur "run". L'écran de jeu reste noir en attendant la connexion d'un "client". À partir du second ordinateur, sélectionner "client" et indiquer l'adresse ip du "serveur" sur le réseau local (clic droit sur nm-applet et "Informations sur la connexion" par exemple). Cliquez sur "run" et jouez ! | " => suggestions : ['\xa0»', '”']
56 Guillemets typographiques ouvrants. => À partir du menu, il suffit de sélectionner "server" et d'indiquer le nombre d'ordinateurs supplémentaires qui participeront à la partie (dans notre exemple, un seul). Choisissez le Level et sélectionner éventuellement différentes options, puis cliquer sur "run". L'écran de jeu reste noir en attendant la connexion d'un "client". À partir du second ordinateur, sélectionner "client" et indiquer l'adresse ip du "serveur" sur le réseau local (clic droit sur nm-applet et "Informations sur la connexion" par exemple). Cliquez sur "run" et jouez ! | " => suggestions : ['«\xa0', '“']
56 Guillemets typographiques fermants. => À partir du menu, il suffit de sélectionner "server" et d'indiquer le nombre d'ordinateurs supplémentaires qui participeront à la partie (dans notre exemple, un seul). Choisissez le Level et sélectionner éventuellement différentes options, puis cliquer sur "run". L'écran de jeu reste noir en attendant la connexion d'un "client". À partir du second ordinateur, sélectionner "client" et indiquer l'adresse ip du "serveur" sur le réseau local (clic droit sur nm-applet et "Informations sur la connexion" par exemple). Cliquez sur "run" et jouez ! | " => suggestions : ['\xa0»', '”']
56 Guillemets typographiques ouvrants. => À partir du menu, il suffit de sélectionner "server" et d'indiquer le nombre d'ordinateurs supplémentaires qui participeront à la partie (dans notre exemple, un seul). Choisissez le Level et sélectionner éventuellement différentes options, puis cliquer sur "run". L'écran de jeu reste noir en attendant la connexion d'un "client". À partir du second ordinateur, sélectionner "client" et indiquer l'adresse ip du "serveur" sur le réseau local (clic droit sur nm-applet et "Informations sur la connexion" par exemple). Cliquez sur "run" et jouez ! | " => suggestions : ['«\xa0', '“']
56 Guillemets typographiques fermants. => À partir du menu, il suffit de sélectionner "server" et d'indiquer le nombre d'ordinateurs supplémentaires qui participeront à la partie (dans notre exemple, un seul). Choisissez le Level et sélectionner éventuellement différentes options, puis cliquer sur "run". L'écran de jeu reste noir en attendant la connexion d'un "client". À partir du second ordinateur, sélectionner "client" et indiquer l'adresse ip du "serveur" sur le réseau local (clic droit sur nm-applet et "Informations sur la connexion" par exemple). Cliquez sur "run" et jouez ! | " => suggestions : ['\xa0»', '”']
