
4 Mot inconnu : Minitube => ====== Minitube ====== | minitube

6 Mot inconnu : Minitube => Minitube est un logiciel qui permet de lire des vidéos Youtube à partir de mots-clés, sans besoin de flash ni de navigateur internet. | minitube

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

21 Mot inconnu : Minitube => <note important>Cette version est très souvent inutilisable (c'est le cas si vous voyez un message d'erreur dans Minitube), y compris dans la version 16.04 de Ubuntu. Dans ce cas, installez Minitube via l'archive du site officiel Minitube.</note> | minitube
21 Mot inconnu : Minitube => <note important>Cette version est très souvent inutilisable (c'est le cas si vous voyez un message d'erreur dans Minitube), y compris dans la version 16.04 de Ubuntu. Dans ce cas, installez Minitube via l'archive du site officiel Minitube.</note> | minitube
21 Mot inconnu : Minitube => <note important>Cette version est très souvent inutilisable (c'est le cas si vous voyez un message d'erreur dans Minitube), y compris dans la version 16.04 de Ubuntu. Dans ce cas, installez Minitube via l'archive du site officiel Minitube.</note> | minitube

22 Mot inconnu : Minitube => ==== Via l'archive du site Minitube (paquets DEB) ==== | minitube
22 Mot inconnu : DEB => ==== Via l'archive du site Minitube (paquets DEB) ==== | deb

34 Espace(s) en fin de ligne à supprimer. => Pour passer de mode fenêtré au mode plein écran, il existe un bouton dans la barre de menu.  |   => suggestions : ['']
36 Mot inconnu : ctrle => Pour passer du mode fenêtré avec barre latérale de recherche au mode fenêtré sans cette barre : **ctrle + shift + c**. | ctrle
36 Mot inconnu : shift => Pour passer du mode fenêtré avec barre latérale de recherche au mode fenêtré sans cette barre : **ctrle + shift + c**. | shift
