
3 Mot inconnu : iconv => ====== iconv ====== | iconv

5 Mot inconnu : iconv => **iconv** est un utilitaire permettant de modifier l'encodage des fichiers texte. **iconv** est utile lorsqu'on souhaite lire dans Linux des fichiers textes qui ont été produit avec un autre système d'exploitation.  | iconv
5 Mot inconnu : iconv => **iconv** est un utilitaire permettant de modifier l'encodage des fichiers texte. **iconv** est utile lorsqu'on souhaite lire dans Linux des fichiers textes qui ont été produit avec un autre système d'exploitation.  | iconv
5 Accord avec la forme verbale “ont” : “produit” devrait être au pluriel. => **iconv** est un utilitaire permettant de modifier l'encodage des fichiers texte. **iconv** est utile lorsqu'on souhaite lire dans Linux des fichiers textes qui ont été produit avec un autre système d'exploitation.  | produit => suggestions : ['produits']
5 Espace(s) en fin de ligne à supprimer. => **iconv** est un utilitaire permettant de modifier l'encodage des fichiers texte. **iconv** est utile lorsqu'on souhaite lire dans Linux des fichiers textes qui ont été produit avec un autre système d'exploitation.  |   => suggestions : ['']

6 Accord de genre erroné : « un mac » est masculin, « vieille » est féminin. => Par exemple un mac vieille génération (avant Mac os 10.5) ou Windows. L'encodage par défaut sous Linux est en général UTF-8. L'encodage par défaut dans les Mac vieille génération s'appelle applemac ou macintosh. Les encodages les plus courants sous Windows sont Latin1, MS-ANSI CP1252, ISO-8859-1 ou ISO-8859-15.  | vieille => suggestions : ['vieux']
6 Accord de genre erroné entre « Mac » et « vieille ». => Par exemple un mac vieille génération (avant Mac os 10.5) ou Windows. L'encodage par défaut sous Linux est en général UTF-8. L'encodage par défaut dans les Mac vieille génération s'appelle applemac ou macintosh. Les encodages les plus courants sous Windows sont Latin1, MS-ANSI CP1252, ISO-8859-1 ou ISO-8859-15.  | vieille => suggestions : []
6 Mot inconnu : applemac => Par exemple un mac vieille génération (avant Mac os 10.5) ou Windows. L'encodage par défaut sous Linux est en général UTF-8. L'encodage par défaut dans les Mac vieille génération s'appelle applemac ou macintosh. Les encodages les plus courants sous Windows sont Latin1, MS-ANSI CP1252, ISO-8859-1 ou ISO-8859-15.  | applemac
6 Mot inconnu : macintosh => Par exemple un mac vieille génération (avant Mac os 10.5) ou Windows. L'encodage par défaut sous Linux est en général UTF-8. L'encodage par défaut dans les Mac vieille génération s'appelle applemac ou macintosh. Les encodages les plus courants sous Windows sont Latin1, MS-ANSI CP1252, ISO-8859-1 ou ISO-8859-15.  | macintosh
6 Accord avec la forme verbale “sont” : “Latin” devrait être au pluriel. => Par exemple un mac vieille génération (avant Mac os 10.5) ou Windows. L'encodage par défaut sous Linux est en général UTF-8. L'encodage par défaut dans les Mac vieille génération s'appelle applemac ou macintosh. Les encodages les plus courants sous Windows sont Latin1, MS-ANSI CP1252, ISO-8859-1 ou ISO-8859-15.  | latin => suggestions : ['Latins']
6 Mot inconnu : Latin1 => Par exemple un mac vieille génération (avant Mac os 10.5) ou Windows. L'encodage par défaut sous Linux est en général UTF-8. L'encodage par défaut dans les Mac vieille génération s'appelle applemac ou macintosh. Les encodages les plus courants sous Windows sont Latin1, MS-ANSI CP1252, ISO-8859-1 ou ISO-8859-15.  | latin1
6 Mot inconnu : MS-ANSI => Par exemple un mac vieille génération (avant Mac os 10.5) ou Windows. L'encodage par défaut sous Linux est en général UTF-8. L'encodage par défaut dans les Mac vieille génération s'appelle applemac ou macintosh. Les encodages les plus courants sous Windows sont Latin1, MS-ANSI CP1252, ISO-8859-1 ou ISO-8859-15.  | ms-ansi
6 Mot inconnu : CP1252 => Par exemple un mac vieille génération (avant Mac os 10.5) ou Windows. L'encodage par défaut sous Linux est en général UTF-8. L'encodage par défaut dans les Mac vieille génération s'appelle applemac ou macintosh. Les encodages les plus courants sous Windows sont Latin1, MS-ANSI CP1252, ISO-8859-1 ou ISO-8859-15.  | cp1252
6 Espace(s) en fin de ligne à supprimer. => Par exemple un mac vieille génération (avant Mac os 10.5) ou Windows. L'encodage par défaut sous Linux est en général UTF-8. L'encodage par défaut dans les Mac vieille génération s'appelle applemac ou macintosh. Les encodages les plus courants sous Windows sont Latin1, MS-ANSI CP1252, ISO-8859-1 ou ISO-8859-15.  |   => suggestions : ['']

8 Si vous parlez de la langue, pas de majuscule. => L'encodage est particulièrement important pour toutes les langues contenant des accents et des caractères spéciaux. En général, pour un texte en Anglais, il n'y a aucun problème d'encodage.  | anglais => suggestions : ['anglais']
8 Espace(s) en fin de ligne à supprimer. => L'encodage est particulièrement important pour toutes les langues contenant des accents et des caractères spéciaux. En général, pour un texte en Anglais, il n'y a aucun problème d'encodage.  |   => suggestions : ['']

12 Mot inconnu : iconv => Pour vérifier qu'iconv est bien présent sur l'ordinateur, il suffit d'ouvrir un terminal et de taper:  | iconv
12 Espace(s) en fin de ligne à supprimer. => Pour vérifier qu'iconv est bien présent sur l'ordinateur, il suffit d'ouvrir un terminal et de taper:  |   => suggestions : ['']

21 Mot inconnu : chardet => On peut aussi utiliser **chardet**, un utilitaire qui permet de détecter l'encodage lorsque `file -i` ne retourne rien.  | chardet
21 Il manque un espace à côté du tiret. => On peut aussi utiliser **chardet**, un utilitaire qui permet de détecter l'encodage lorsque `file -i` ne retourne rien.  |  - => suggestions : [' – ', ' — ']
21 Espace(s) en fin de ligne à supprimer. => On peut aussi utiliser **chardet**, un utilitaire qui permet de détecter l'encodage lorsque `file -i` ne retourne rien.  |   => suggestions : ['']

23 Mot inconnu : chardet => Pour installer [chardet](http://chardet.github.io/) :  | chardet
23 Espace(s) en fin de ligne à supprimer. => Pour installer [chardet](http://chardet.github.io/) :  |   => suggestions : ['']

33 Mot inconnu : NK => Pour convertir un fichier texte (ici NK.tex) d'un encodage mac vers un encodage UTF-8, on peut utiliser la ligne de commande suivante :  | nk
33 Il manque un espace. => Pour convertir un fichier texte (ici NK.tex) d'un encodage mac vers un encodage UTF-8, on peut utiliser la ligne de commande suivante :  | tex => suggestions : [' tex']
33 Espace(s) en fin de ligne à supprimer. => Pour convertir un fichier texte (ici NK.tex) d'un encodage mac vers un encodage UTF-8, on peut utiliser la ligne de commande suivante :  |   => suggestions : ['']

36 Mot inconnu : NK2 => On crée ainsi un fichier NK2.tex encodé en UTF-8 et qui pourra donc être lu facilement sous Linux/Ubuntu.\\ | nk2
36 Il manque un espace. => On crée ainsi un fichier NK2.tex encodé en UTF-8 et qui pourra donc être lu facilement sous Linux/Ubuntu.\\ | tex => suggestions : [' tex']

37 Il manque un espace à côté du tiret. => L'option -c permet de supprimer les caractères qui ne sont pas convertibles, si vous avez des caractères d'un autre codage que celui du fichier par exemple qui, sans cette option, vont bloquer la conversion! |  - => suggestions : [' – ', ' — ']
