1 Mot inconnu : K52JT [[13:18]] => ======  Asus K52JT ====== <|> k52jt
9 Espace(s) en fin de ligne à supprimer. [[36:37]] => Il utilise les notations suivantes :  <|>  

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  * **Fonctionne immédiatement** : <|>  
19 Espace(s) en fin de ligne à supprimer. [[126:127]] => ^ Version ^ Installation ^ Carte \\ graphique ^ Son ^ Wifi ^ Webcam ^ Touchpad ^ Raccourcis \\ multimédia ^ Lecteur de carte ^  <|>  

47 Pas d’espace après ce signe. [[30:32]] => Afin d'en profiter pleinement ( défilement vertical, horizontal, ect... ), référez-vous à ce document : https://doc.ubuntu-fr.org/touchpad <|> (  => suggestions : (
47 Mot inconnu : ect [[65:68]] => Afin d'en profiter pleinement ( défilement vertical, horizontal, ect... ), référez-vous à ce document : https://doc.ubuntu-fr.org/touchpad <|> ect
47 Typographie : points de suspension. Utilisez le caractère dédié. [[68:71]] => Afin d'en profiter pleinement ( défilement vertical, horizontal, ect... ), référez-vous à ce document : https://doc.ubuntu-fr.org/touchpad <|> ... => suggestions : …
47 Pas d’espace avant ce signe. [[71:73]] => Afin d'en profiter pleinement ( défilement vertical, horizontal, ect... ), référez-vous à ce document : https://doc.ubuntu-fr.org/touchpad <|>  ) => suggestions : )

51 Accord erroné : “installation” et “recommandé” ne sont pas accordés. Mettez au féminin singulier. [[106:116]] => La carte graphique du PC est nativement fonctionnel. Cependant, l'installation de pilote propriétaire est recommandé pour une meilleur utilisation. <|> recommandé => suggestions : recommandée
51 Accord de genre erroné avec « meilleur ». [[122:125]] => La carte graphique du PC est nativement fonctionnel. Cependant, l'installation de pilote propriétaire est recommandé pour une meilleur utilisation. <|> une => suggestions : un
51 Accord de genre erroné avec « une ». [[126:134]] => La carte graphique du PC est nativement fonctionnel. Cependant, l'installation de pilote propriétaire est recommandé pour une meilleur utilisation. <|> meilleur => suggestions : meilleure
