
5 Mot inconnu : VLVC => ====== VLVC ====== | vlvc

7 Mot inconnu : VideoLan => VideoLan VideoConference (VLVC) est un module additionnel de [[vlc]], permet de: | videolan
7 Mot inconnu : VideoConference => VideoLan VideoConference (VLVC) est un module additionnel de [[vlc]], permet de: | videoconference
7 Mot inconnu : VLVC => VideoLan VideoConference (VLVC) est un module additionnel de [[vlc]], permet de: | vlvc
7 Mot inconnu : vlc => VideoLan VideoConference (VLVC) est un module additionnel de [[vlc]], permet de: | vlc

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Salle de Discussion : tout le monde peut parler en même temps. |    => suggestions : ['']

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Conférence : un seul parle, les autre ne peuvent qu’écouter. |    => suggestions : ['']
10 Accord de nombre erroné : « autre » devrait être au pluriel. =>   * Conférence : un seul parle, les autre ne peuvent qu’écouter. | autre => suggestions : ['autres']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Amphithéâtre : un modérateur donne la parole à une seule personne à la fois. |    => suggestions : ['']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Réunion : un modérateur donne la parole à plusieurs personnes à la fois |    => suggestions : ['']

16 Pas d’espace avant une virgule. => Pour installer , lancez le [[terminal]] et tapez (ligne par ligne): |  , => suggestions : [',']
16 S’il s’agit d’un impératif, mettez un trait d’union. => Pour installer , lancez le [[terminal]] et tapez (ligne par ligne): | lancez le => suggestions : ['lancez-le']

24 Mot inconnu : vlc => ./vlc</code> | vlc

29 Mot inconnu : VLVC => et choisissez le mode de conférence de VLVC: | vlvc

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Chatroom |    => suggestions : ['']
31 Mot inconnu : Chatroom =>   * Chatroom | chatroom

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Conférence |    => suggestions : ['']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Réunion |    => suggestions : ['']

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Amphithéâtre |    => suggestions : ['']

38 Mot inconnu : accés => Le champ mot de passe correspond au mot de passe pour protéger l’accés à votre Vidéoconférence. | accés

39 Après “être”, le verbe ne devrait pas être à l’infinitif. => Le Champ Nom d'utilisateur, spécifie le nom qui sera afficher aux autres participants. | afficher => suggestions : ['affichées', 'affiché', 'affichés', 'affichée']

47 Mot inconnu : linux => Sur la ligne nom du périphérique vidéo et nom du périphérique audio si vous êtes sous Windows laissez vide, et sous linux laissez les valeurs inscrites par défaut. | linux

58 Mot inconnu : vlc => ./vlc: error while loading shared libraries: libdvbpsi.so.4: cannot open shared object file: No such file or directory</code> | vlc
58 Mot inconnu : error => ./vlc: error while loading shared libraries: libdvbpsi.so.4: cannot open shared object file: No such file or directory</code> | error
58 Mot inconnu : while => ./vlc: error while loading shared libraries: libdvbpsi.so.4: cannot open shared object file: No such file or directory</code> | while
58 Mot inconnu : loading => ./vlc: error while loading shared libraries: libdvbpsi.so.4: cannot open shared object file: No such file or directory</code> | loading
58 Mot inconnu : shared => ./vlc: error while loading shared libraries: libdvbpsi.so.4: cannot open shared object file: No such file or directory</code> | shared
