
4 Mot inconnu : Simplenote [[7:17]] => ====== Simplenote ====== <|> simplenote

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

24 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[299:300]] => La fenêtre de l'application est divisée en 3 parties. En haut, on trouve une barre d'outils permettant notamment de créer une nouvelle note (bouton note avec un plus). La plus grande partie (en bas à droite) est la fenêtre d'édition des notes. C'est dans cette dernière que les notes sont rédigées. A gauche, on trouve le panneau de gestion, dans lequel on peut accéder aux différentes notes et épingler celles auxquelles on souhaite pourvoir accéder plus rapidement. <|> a => suggestions : À

26 Accord erroné : “notes” et “prise” ne sont pas accordés. Mettez au pluriel. [[23:28]] => Les notes peuvent être prise soit sans formatage spécifique, soit en suivant la syntaxe Markdown. Cette dernière permet de formater rapidement un document (indiquer les titres, créer des listes à puces, mettre du texte en italique, etc.) en rajoutant des caractères spéciaux (nommés balises) avant ou après le texte à formater. Quelques exemples de formatage sont indiqués sur l'image d'illustration. Pour basculer vers le document mis en page, il suffit de cliquer sur l'icône représentant un oeil sur la barre d'outils. <|> prise => suggestions : prises
26 Mot inconnu : Markdown [[88:96]] => Les notes peuvent être prise soit sans formatage spécifique, soit en suivant la syntaxe Markdown. Cette dernière permet de formater rapidement un document (indiquer les titres, créer des listes à puces, mettre du texte en italique, etc.) en rajoutant des caractères spéciaux (nommés balises) avant ou après le texte à formater. Quelques exemples de formatage sont indiqués sur l'image d'illustration. Pour basculer vers le document mis en page, il suffit de cliquer sur l'icône représentant un oeil sur la barre d'outils. <|> markdown
26 Mot inconnu : oeil [[494:498]] => Les notes peuvent être prise soit sans formatage spécifique, soit en suivant la syntaxe Markdown. Cette dernière permet de formater rapidement un document (indiquer les titres, créer des listes à puces, mettre du texte en italique, etc.) en rajoutant des caractères spéciaux (nommés balises) avant ou après le texte à formater. Quelques exemples de formatage sont indiqués sur l'image d'illustration. Pour basculer vers le document mis en page, il suffit de cliquer sur l'icône représentant un oeil sur la barre d'outils. <|> oeil

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  
