
5 Mot inconnu : djmount => ====== djmount ====== | djmount

8 Mot inconnu : djmount => Le logiciel djmount est un client [[https://fr.wikipedia.org/wiki/Universal_Plug_and_Play|UPnP]] sous licence libre ([[http://fr.wikipedia.org/wiki/Licence_publique_g%C3%A9n%C3%A9rale_GNU|GPL]]). Il sert à monter tous les services UPnP disponibles sur le réseau sous forme de répertoire du système de fichier. On peut alors utiliser son lecteur média préféré pour lire directement les fichiers comme s'ils étaient sur notre système. | djmount

11 Mot inconnu : UPnP => <note>Pour rappel, UPnP est un protocole réseau. On distingue les serveurs et les clients. Les serveurs mettent des fichiers média à disposition sur le réseau (local). Les clients peuvent lire ces fichiers. La plupart des clients sont liés à des lecteurs audio ou vidéo. La particularité de djmount est justement de ne pas être lié à un lecteur, et donc de fournir un service différent: l'accès au contenu UPnP sous forme de simple répertoire.</note> | upnp
11 Mot inconnu : djmount => <note>Pour rappel, UPnP est un protocole réseau. On distingue les serveurs et les clients. Les serveurs mettent des fichiers média à disposition sur le réseau (local). Les clients peuvent lire ces fichiers. La plupart des clients sont liés à des lecteurs audio ou vidéo. La particularité de djmount est justement de ne pas être lié à un lecteur, et donc de fournir un service différent: l'accès au contenu UPnP sous forme de simple répertoire.</note> | djmount
11 Mot inconnu : UPnP => <note>Pour rappel, UPnP est un protocole réseau. On distingue les serveurs et les clients. Les serveurs mettent des fichiers média à disposition sur le réseau (local). Les clients peuvent lire ces fichiers. La plupart des clients sont liés à des lecteurs audio ou vidéo. La particularité de djmount est justement de ne pas être lié à un lecteur, et donc de fournir un service différent: l'accès au contenu UPnP sous forme de simple répertoire.</note> | upnp

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée pour le téléchargement. |    => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion réseau local configurée et activée pour accéder au contenu UPnP |    => suggestions : ['']
17 Mot inconnu : UPnP =>   * Disposer d'une connexion réseau local configurée et activée pour accéder au contenu UPnP | upnp

27 Mot inconnu : djmount => Il n'y a pas de configuration particulière à effectuer pour utiliser djmount. Cependant, suivant l'utilisation qu'on veut en faire, il peut être utile de préparer son système de fichier. | djmount

29 Mot inconnu : UPnP => Nous partons ici de l'hypothèse que le but est de monter les contenus UPnP au démarrage de la session pour qu'ils soient disponibles aisément. | upnp

30 Espace(s) surnuméraire(s) à supprimer. => Nous allons donc créer un répertoire sous lequel les contenus seront montés  (l'utilisateur qui lance djmount doit avoir les droits en lecture/ecriture sur le répertoire de montage) |    => suggestions : [' ']
30 Mot inconnu : djmount => Nous allons donc créer un répertoire sous lequel les contenus seront montés  (l'utilisateur qui lance djmount doit avoir les droits en lecture/ecriture sur le répertoire de montage) | djmount
30 Mot inconnu : ecriture => Nous allons donc créer un répertoire sous lequel les contenus seront montés  (l'utilisateur qui lance djmount doit avoir les droits en lecture/ecriture sur le répertoire de montage) | ecriture

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo mkdir /media/UPnP |    => suggestions : ['']
32 Mot inconnu : sudo =>   sudo mkdir /media/UPnP | sudo
32 Mot inconnu : mkdir =>   sudo mkdir /media/UPnP | mkdir
32 Mot inconnu : UPnP =>   sudo mkdir /media/UPnP | upnp

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo chmod 777 /media/UPnP |    => suggestions : ['']
33 Mot inconnu : sudo =>   sudo chmod 777 /media/UPnP | sudo
33 Mot inconnu : chmod =>   sudo chmod 777 /media/UPnP | chmod
33 Mot inconnu : UPnP =>   sudo chmod 777 /media/UPnP | upnp

