
5 Mot inconnu : KFTPGrabber => ====== KFTPGrabber, le client FTP KDE ====== | kftpgrabber
5 Mot inconnu : KDE => ====== KFTPGrabber, le client FTP KDE ====== | kde

7 Mot inconnu : KFTPGrabber => <note important>**KFTPGrabber** n'a pas été mis à jour depuis juillet 2011 et souffre donc de multiples problèmes. Préférez utiliser [[dolphin|Dolphin]] qui gère également de gérer le transfert FTP. Pour plus de détails sur les clients FTP disponibles, rendez-vous sur la page traitant du protocole [[ftp|FTP]]..</note> | kftpgrabber
7 Mot inconnu : dolphin => <note important>**KFTPGrabber** n'a pas été mis à jour depuis juillet 2011 et souffre donc de multiples problèmes. Préférez utiliser [[dolphin|Dolphin]] qui gère également de gérer le transfert FTP. Pour plus de détails sur les clients FTP disponibles, rendez-vous sur la page traitant du protocole [[ftp|FTP]]..</note> | dolphin
7 Typographie : un ou trois points ? => <note important>**KFTPGrabber** n'a pas été mis à jour depuis juillet 2011 et souffre donc de multiples problèmes. Préférez utiliser [[dolphin|Dolphin]] qui gère également de gérer le transfert FTP. Pour plus de détails sur les clients FTP disponibles, rendez-vous sur la page traitant du protocole [[ftp|FTP]]..</note> | .. => suggestions : ['…', '.']

9 Mot inconnu : kde => Ce logiciel **kde** est l'équivalent de [[GFTP]] de [[Gnome]] ou encore de [[Filezilla]]. | kde
9 Mot inconnu : GFTP => Ce logiciel **kde** est l'équivalent de [[GFTP]] de [[Gnome]] ou encore de [[Filezilla]]. | gftp
9 Mot inconnu : Filezilla => Ce logiciel **kde** est l'équivalent de [[GFTP]] de [[Gnome]] ou encore de [[Filezilla]]. | filezilla

11 Mot inconnu : kde => Sous **kde**, il y a déjà [[Konqueror]] qui peut déjà faire office de **client ftp**, mais celui-ci ne gère pas forcement très bien les droits des fichiers, les rendant parfois, inaccessibles aux visiteurs, ou encore sur certains FTP privés, il ne marche tout simplement pas... | kde
11 Mot inconnu : Konqueror => Sous **kde**, il y a déjà [[Konqueror]] qui peut déjà faire office de **client ftp**, mais celui-ci ne gère pas forcement très bien les droits des fichiers, les rendant parfois, inaccessibles aux visiteurs, ou encore sur certains FTP privés, il ne marche tout simplement pas... | konqueror
11 Confusion probable : le forcement est l’action de forcer quelque chose. L’adverbe s’écrit “forcément”. => Sous **kde**, il y a déjà [[Konqueror]] qui peut déjà faire office de **client ftp**, mais celui-ci ne gère pas forcement très bien les droits des fichiers, les rendant parfois, inaccessibles aux visiteurs, ou encore sur certains FTP privés, il ne marche tout simplement pas... | forcement => suggestions : ['forcément']
11 Typographie : points de suspension. Utilisez le caractère dédié. => Sous **kde**, il y a déjà [[Konqueror]] qui peut déjà faire office de **client ftp**, mais celui-ci ne gère pas forcement très bien les droits des fichiers, les rendant parfois, inaccessibles aux visiteurs, ou encore sur certains FTP privés, il ne marche tout simplement pas... | ... => suggestions : ['…']

13 Mot inconnu : kde => Il est surtout (//comme tous les logiciels kde//) très bien intégré à **kde**. | kde
