
5 Mot inconnu : Klibido => ====== Klibido : KDE LInux BInaries DOwnloader ====== | klibido
5 Mot inconnu : KDE => ====== Klibido : KDE LInux BInaries DOwnloader ====== | kde
5 Mot inconnu : LInux => ====== Klibido : KDE LInux BInaries DOwnloader ====== | linux
5 Mot inconnu : BInaries => ====== Klibido : KDE LInux BInaries DOwnloader ====== | binaries
5 Mot inconnu : DOwnloader => ====== Klibido : KDE LInux BInaries DOwnloader ====== | downloader

7 Mot inconnu : Klibido => Klibido est un lecteur/grabeur de newsgroups, c'est un peu l'équivalent de Grabit sous Windows. Il est conçu pour le bureau [[KDE]]. Il est aussi plus léger que son homologue pour GNOME [[Pan]]. | klibido
7 Mot inconnu : grabeur => Klibido est un lecteur/grabeur de newsgroups, c'est un peu l'équivalent de Grabit sous Windows. Il est conçu pour le bureau [[KDE]]. Il est aussi plus léger que son homologue pour GNOME [[Pan]]. | grabeur
7 Mot inconnu : newsgroups => Klibido est un lecteur/grabeur de newsgroups, c'est un peu l'équivalent de Grabit sous Windows. Il est conçu pour le bureau [[KDE]]. Il est aussi plus léger que son homologue pour GNOME [[Pan]]. | newsgroups
7 Mot inconnu : Grabit => Klibido est un lecteur/grabeur de newsgroups, c'est un peu l'équivalent de Grabit sous Windows. Il est conçu pour le bureau [[KDE]]. Il est aussi plus léger que son homologue pour GNOME [[Pan]]. | grabit
7 Mot inconnu : KDE => Klibido est un lecteur/grabeur de newsgroups, c'est un peu l'équivalent de Grabit sous Windows. Il est conçu pour le bureau [[KDE]]. Il est aussi plus léger que son homologue pour GNOME [[Pan]]. | kde

9 Typographie : points de suspension. Utilisez le caractère dédié. => //À noter que ce logiciel n'a plus été mis à jour depuis 2006...// | ... => suggestions : ['…']

17 Mot inconnu : Settings => Au premier lancement, le logiciel vous demande de choisir les chemins des dossiers de stockage pour les bases de données, les fichiers temporaires et les fichiers téléchargés. Vous pouvez les modifier par la suite depuis le menu **Settings => Configure Klibido...** | settings
17 Mot inconnu : Klibido => Au premier lancement, le logiciel vous demande de choisir les chemins des dossiers de stockage pour les bases de données, les fichiers temporaires et les fichiers téléchargés. Vous pouvez les modifier par la suite depuis le menu **Settings => Configure Klibido...** | klibido
17 Typographie : points de suspension. Utilisez le caractère dédié. => Au premier lancement, le logiciel vous demande de choisir les chemins des dossiers de stockage pour les bases de données, les fichiers temporaires et les fichiers téléchargés. Vous pouvez les modifier par la suite depuis le menu **Settings => Configure Klibido...** | ... => suggestions : ['…']

21 Mot inconnu : Server => Cliquez sur **Server** dans le menu puis sur **Nouveau Serveur...** | server
21 Typographie : points de suspension. Utilisez le caractère dédié. => Cliquez sur **Server** dans le menu puis sur **Nouveau Serveur...** | ... => suggestions : ['…']

43 Mot inconnu : NZB => ==== Générer un fichier NZB ==== | nzb

47 Mot inconnu : nzb => Pour générer les **nzb** il faut se rendre sur un site de référencement et de créer le **nzb**. Soit on l'ouvre directement avec Klibido soit on l'enregistre puis l'ouvre depuis Klibido. | nzb
47 Mot inconnu : nzb => Pour générer les **nzb** il faut se rendre sur un site de référencement et de créer le **nzb**. Soit on l'ouvre directement avec Klibido soit on l'enregistre puis l'ouvre depuis Klibido. | nzb
47 Mot inconnu : Klibido => Pour générer les **nzb** il faut se rendre sur un site de référencement et de créer le **nzb**. Soit on l'ouvre directement avec Klibido soit on l'enregistre puis l'ouvre depuis Klibido. | klibido
47 Mot inconnu : Klibido => Pour générer les **nzb** il faut se rendre sur un site de référencement et de créer le **nzb**. Soit on l'ouvre directement avec Klibido soit on l'enregistre puis l'ouvre depuis Klibido. | klibido

51 Mot inconnu : par2 => ==== Réparation d'archives à l'aide des fichiers par2 ==== | par2

53 Mot inconnu : Klibido => Des archives récupérées avec Klibido peuvent être réparées avec des fichiers par2. | klibido
53 Mot inconnu : par2 => Des archives récupérées avec Klibido peuvent être réparées avec des fichiers par2. | par2

55 Pas d’espace après ce signe. => --[ section à déplacer dans une page spécialisée ]-- | [  => suggestions : ['[']
55 Pas d’espace avant ce signe. => --[ section à déplacer dans une page spécialisée ]-- |  ] => suggestions : [']']

57 Si vous parlez de la langue, pas de majuscule. => La réparation d'archives endommagées est possible en ligne de commande mais plusieurs utilitaires graphiques (en Français) existent : | français => suggestions : ['français']

59 Mot inconnu : Pypar2 => **Pypar2** | pypar2

63 Mot inconnu : Pypar2 => Pypar2 est une interface graphique en python/GTK utilisant par2cmdline.  | pypar2
63 Mot inconnu : par2cmdline => Pypar2 est une interface graphique en python/GTK utilisant par2cmdline.  | par2cmdline
63 Espace(s) en fin de ligne à supprimer. => Pypar2 est une interface graphique en python/GTK utilisant par2cmdline.  |   => suggestions : ['']

64 Mot inconnu : PAR2 => Il permet de récupérer des fichiers erronés à partir de fichiers de parité (PAR2). Il permet aussi de générer des fichiers de parité.  | par2
64 Espace(s) en fin de ligne à supprimer. => Il permet de récupérer des fichiers erronés à partir de fichiers de parité (PAR2). Il permet aussi de générer des fichiers de parité.  |   => suggestions : ['']

68 Mot inconnu : Gpar2 => **Gpar2** | gpar2

72 Pas d’espace après ce signe. => --[ fin section à déplacer ]-- | [  => suggestions : ['[']
72 Pas d’espace avant ce signe. => --[ fin section à déplacer ]-- |  ] => suggestions : [']']

76 Mot inconnu : non-anglo-saxons => ==== Caractères non-anglo-saxons dans un .nzb ==== | non-anglo-saxons
76 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => ==== Caractères non-anglo-saxons dans un .nzb ==== |  . => suggestions : ['. ', '.']
76 Mot inconnu : nzb => ==== Caractères non-anglo-saxons dans un .nzb ==== | nzb

78 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Un fichier .nzb contenant des caractères non-anglo-saxons fait planter klibido. |  . => suggestions : ['. ', '.']
78 Mot inconnu : nzb => Un fichier .nzb contenant des caractères non-anglo-saxons fait planter klibido. | nzb
78 Mot inconnu : non-anglo-saxons => Un fichier .nzb contenant des caractères non-anglo-saxons fait planter klibido. | non-anglo-saxons
78 Mot inconnu : klibido => Un fichier .nzb contenant des caractères non-anglo-saxons fait planter klibido. | klibido

