1 Mot inconnu : OpenModelica => ====== OpenModelica ====== | openmodelica

3 Mot inconnu : Modelica => Le langage de modélisation orienté objet Modelica est destiné à permettre une modélisation pratique de systèmes complexes, par exemple, des systèmes comportant des composantes mécaniques, électriques, hydraulique, thermique, etc. Son usage se rapproche des langages VHDL-AMS et Verilog-A (tous deux issus de l'industrie électronique) dans le sens où il décrit un système sous la forme d'un ensemble d'équations. Le simulateur associé a pour tâche de résoudre le système d'équations à chaque pas temporel. | modelica
3 Mot inconnu : VHDL-AMS => Le langage de modélisation orienté objet Modelica est destiné à permettre une modélisation pratique de systèmes complexes, par exemple, des systèmes comportant des composantes mécaniques, électriques, hydraulique, thermique, etc. Son usage se rapproche des langages VHDL-AMS et Verilog-A (tous deux issus de l'industrie électronique) dans le sens où il décrit un système sous la forme d'un ensemble d'équations. Le simulateur associé a pour tâche de résoudre le système d'équations à chaque pas temporel. | vhdl-ams
3 Mot inconnu : Verilog-A => Le langage de modélisation orienté objet Modelica est destiné à permettre une modélisation pratique de systèmes complexes, par exemple, des systèmes comportant des composantes mécaniques, électriques, hydraulique, thermique, etc. Son usage se rapproche des langages VHDL-AMS et Verilog-A (tous deux issus de l'industrie électronique) dans le sens où il décrit un système sous la forme d'un ensemble d'équations. Le simulateur associé a pour tâche de résoudre le système d'équations à chaque pas temporel. | verilog-a

5 Mot inconnu : VHDL-AMS => Il a cependant une vocation plus généraliste que ses concurrents et bénéficie des avantages de son orientation objet (héritage des caractéristiques d'un modèle par un autre, typage flexible). Par contre, son usage reste pour l'instant assez limité en électronique, domaine de prédilection du VHDL-AMS ou du Verilog-A. | vhdl-ams
5 Mot inconnu : Verilog-A => Il a cependant une vocation plus généraliste que ses concurrents et bénéficie des avantages de son orientation objet (héritage des caractéristiques d'un modèle par un autre, typage flexible). Par contre, son usage reste pour l'instant assez limité en électronique, domaine de prédilection du VHDL-AMS ou du Verilog-A. | verilog-a

7 Mot inconnu : Modelica => Le langage, les bibliothèques et certains outils de simulation de Modelica sont libres, prêts à l'emploi et sont issus d'une demande industrielle. Le développement et la promotion de Modelica est organisée par l'association à but non lucratif "Modelica Association". | modelica
7 Mot inconnu : Modelica => Le langage, les bibliothèques et certains outils de simulation de Modelica sont libres, prêts à l'emploi et sont issus d'une demande industrielle. Le développement et la promotion de Modelica est organisée par l'association à but non lucratif "Modelica Association". | modelica
7 Guillemets typographiques ouvrants. => Le langage, les bibliothèques et certains outils de simulation de Modelica sont libres, prêts à l'emploi et sont issus d'une demande industrielle. Le développement et la promotion de Modelica est organisée par l'association à but non lucratif "Modelica Association". | " => suggestions : ['«\xa0', '“']
7 Mot inconnu : Modelica => Le langage, les bibliothèques et certains outils de simulation de Modelica sont libres, prêts à l'emploi et sont issus d'une demande industrielle. Le développement et la promotion de Modelica est organisée par l'association à but non lucratif "Modelica Association". | modelica
7 Guillemets typographiques fermants. => Le langage, les bibliothèques et certains outils de simulation de Modelica sont libres, prêts à l'emploi et sont issus d'une demande industrielle. Le développement et la promotion de Modelica est organisée par l'association à but non lucratif "Modelica Association". | " => suggestions : ['\xa0»', '”']

11 Mot inconnu : OpenModelica => OpenModelica n'est pas présent dans les dépôts officiels d'Ubuntu. Cependant, l'installation est très simple puisqu'il suffit d'ajouter le dépôt officiel d'OpenModelica à la liste des dépôts de votre ordinateur. | openmodelica
11 Mot inconnu : OpenModelica => OpenModelica n'est pas présent dans les dépôts officiels d'Ubuntu. Cependant, l'installation est très simple puisqu'il suffit d'ajouter le dépôt officiel d'OpenModelica à la liste des dépôts de votre ordinateur. | openmodelica

13 Mot inconnu : list => Ajouter ce dépôt à votre source.list | list

15 Mot inconnu : deb => deb http://build.openmodelica.org/apt stable contrib</code> | deb
15 Mot inconnu : contrib => deb http://build.openmodelica.org/apt stable contrib</code> | contrib

17 Mot inconnu : GPG => Ajouter la clé GPG | gpg

20 Mot inconnu : OpenModélica => Dernière étape, installons OpenModélica | openmodélica

22 Mot inconnu : sudo => sudo apt-get install openmodelica</code> | sudo
22 Mot inconnu : apt-get => sudo apt-get install openmodelica</code> | apt-get
22 Mot inconnu : install => sudo apt-get install openmodelica</code> | install
22 Mot inconnu : openmodelica => sudo apt-get install openmodelica</code> | openmodelica

24 Mot inconnu : OpenModelica => OpenModelica est maintenant installé et fonctionnel ! | openmodelica
