
4 Mot inconnu : Ngspice => ====== Ngspice rework ====== | ngspice
4 Mot inconnu : rework => ====== Ngspice rework ====== | rework

6 Mot inconnu : Ngspice => Ngspice est un logiciel de simulation électronique permettant notamment d'étudier des montages électriques, de tracer des diagrammes de Bode, de calculer des gains, etc. | ngspice

8 Mot inconnu : Spice3f5 => Il est basé sur Spice3f5, Cider1b1 et Xspice. | spice3f5
8 Mot inconnu : Cider1b1 => Il est basé sur Spice3f5, Cider1b1 et Xspice. | cider1b1
8 Mot inconnu : Xspice => Il est basé sur Spice3f5, Cider1b1 et Xspice. | xspice

15 Mot inconnu : netlist => Copiez les exemples de netlist de ngspice | netlist
15 Mot inconnu : ngspice => Copiez les exemples de netlist de ngspice | ngspice

23 Mot inconnu : capacitée => Simulation de la charge d'une capacitée | capacitée

69 Mot inconnu : vc => Affichage du résultat des nœuds vin vs et vc | vc

75 Mot inconnu : netlist => Pour réaliser vos propres netlist utilisez //gschem// de [[geda]] pour dessiner le schéma électronique (**schema.sch**) ou [[kicad]]. Puis pour //gschem// convertissez le schéma en un fichier netlist (**schema.net**) avec la commande //gnetlist// suivante : | netlist
75 Mot inconnu : gschem => Pour réaliser vos propres netlist utilisez //gschem// de [[geda]] pour dessiner le schéma électronique (**schema.sch**) ou [[kicad]]. Puis pour //gschem// convertissez le schéma en un fichier netlist (**schema.net**) avec la commande //gnetlist// suivante : | gschem
75 Mot inconnu : geda => Pour réaliser vos propres netlist utilisez //gschem// de [[geda]] pour dessiner le schéma électronique (**schema.sch**) ou [[kicad]]. Puis pour //gschem// convertissez le schéma en un fichier netlist (**schema.net**) avec la commande //gnetlist// suivante : | geda
75 Mot inconnu : schema => Pour réaliser vos propres netlist utilisez //gschem// de [[geda]] pour dessiner le schéma électronique (**schema.sch**) ou [[kicad]]. Puis pour //gschem// convertissez le schéma en un fichier netlist (**schema.net**) avec la commande //gnetlist// suivante : | schema
75 Mot inconnu : sch => Pour réaliser vos propres netlist utilisez //gschem// de [[geda]] pour dessiner le schéma électronique (**schema.sch**) ou [[kicad]]. Puis pour //gschem// convertissez le schéma en un fichier netlist (**schema.net**) avec la commande //gnetlist// suivante : | sch
75 Mot inconnu : kicad => Pour réaliser vos propres netlist utilisez //gschem// de [[geda]] pour dessiner le schéma électronique (**schema.sch**) ou [[kicad]]. Puis pour //gschem// convertissez le schéma en un fichier netlist (**schema.net**) avec la commande //gnetlist// suivante : | kicad
75 Mot inconnu : gschem => Pour réaliser vos propres netlist utilisez //gschem// de [[geda]] pour dessiner le schéma électronique (**schema.sch**) ou [[kicad]]. Puis pour //gschem// convertissez le schéma en un fichier netlist (**schema.net**) avec la commande //gnetlist// suivante : | gschem
75 Mot inconnu : netlist => Pour réaliser vos propres netlist utilisez //gschem// de [[geda]] pour dessiner le schéma électronique (**schema.sch**) ou [[kicad]]. Puis pour //gschem// convertissez le schéma en un fichier netlist (**schema.net**) avec la commande //gnetlist// suivante : | netlist
75 Mot inconnu : schema => Pour réaliser vos propres netlist utilisez //gschem// de [[geda]] pour dessiner le schéma électronique (**schema.sch**) ou [[kicad]]. Puis pour //gschem// convertissez le schéma en un fichier netlist (**schema.net**) avec la commande //gnetlist// suivante : | schema
75 Mot inconnu : gnetlist => Pour réaliser vos propres netlist utilisez //gschem// de [[geda]] pour dessiner le schéma électronique (**schema.sch**) ou [[kicad]]. Puis pour //gschem// convertissez le schéma en un fichier netlist (**schema.net**) avec la commande //gnetlist// suivante : | gnetlist

98 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => n1 et n2 sont deux nœuds de connexion. Valeur est la résistance (en ohms), elle peut-être positive ou négative mais non nulle. | n1 => suggestions : ['N1']
98 Mot inconnu : n1 => n1 et n2 sont deux nœuds de connexion. Valeur est la résistance (en ohms), elle peut-être positive ou négative mais non nulle. | n1
