
5 Mot inconnu : server [[14:20]] => ====== Ubuntu server ====== <|> server

12 Espace(s) surnuméraire(s) à supprimer. [[176:178]] => L'édition serveur offre un socle pour le support de serveurs applicatifs de toutes sortes. C'est une version minimale de la plate-forme, qui permet d'offrir les services voulus  comme le partage de fichiers, le service d'impression, l'hébergement de sites web, le service de messagerie ((sous condition d'avoir un nom de domaine et une IP fixe en ce qui concerne le partage de fichier et l'hébergement de sites web)) , etc. <|>    => suggestions : [' ']
12 Pas d’espace avant une virgule. [[416:418]] => L'édition serveur offre un socle pour le support de serveurs applicatifs de toutes sortes. C'est une version minimale de la plate-forme, qui permet d'offrir les services voulus  comme le partage de fichiers, le service d'impression, l'hébergement de sites web, le service de messagerie ((sous condition d'avoir un nom de domaine et une IP fixe en ce qui concerne le partage de fichier et l'hébergement de sites web)) , etc. <|>  , => suggestions : [',']

16 Mot inconnu : desktop [[42:49]] => ==== Différences entre version serveur et desktop ==== <|> desktop

17 Espace(s) en fin de ligne à supprimer. [[52:53]] => Il y a quelques différences entre ces deux versions.  <|>   => suggestions : ['']

21 Il manque un espace avant la parenthèse. [[170:171]] => Les différences entre les deux éditions sont l'absence d'environnement graphique X sur la version serveur, le processus d'installation et les options différentes du noyau((Il semble ne plus y avoir de différence entre les deux noyaux depuis la 12.04 -> https://help.ubuntu.com/community/ServerFaq#What.27s_the_difference_between_the_kernels_linux-image-server_and_linux-image-generic.3F_What_architecture_is_linux-image-server.3F_Which_one_should_I_use.3F)). <|> ( => suggestions : [' (']

32 Confusion probable : “sur” est une préposition ou un adjectif signifiant acide ou aigre ; utilisez “sûr” pour certain, vrai ou sans danger. [[52:55]] => Avant d'installer Ubuntu Serveur, vous devriez être sur d'avoir sauvegardé la totalité des données présentes sur le disque dur. <|> sur => suggestions : ['sûr']

