
5 Mot inconnu : Lock => ======Précautions contre le tatouage d'ordinateur (Bios Lock)====== | lock

14 Mot inconnu : OEM => Si vous avez un ordinateur de marque ayant **Windows pré-installé (version OEM)**((Si vous aviez totalement supprimé et réinstallé Windows, ou que vous utilisez une version de Windows que vous avez vous-même installée, alors votre ordinateur n'est pas tatoué.)), suivez ces 2 conseils avant d'installer Ubuntu : | oem

24 Guillemets typographiques ouvrants. => Le tatouage est un dispositif technique visant à combattre le piratage de Windows en interdisant, ou au moins en rendant plus difficile, l'installation d'une version de Windows autre que celle qui a été installée d'origine. Cette pratique n'est plus autorisée en France et il est peu probable que les ordinateurs les plus récents soient concernés. Cependant, dans la mesure où Ubuntu est à même de "rajeunir" d'anciens ordinateurs qui n'auraient pas supporté la boulimie incessante des Windows successifs, vous pouvez y être confrontés dans votre tentative de réhabilitation de votre ancien PC. | " => suggestions : ['«\xa0', '“']
24 Guillemets typographiques fermants. => Le tatouage est un dispositif technique visant à combattre le piratage de Windows en interdisant, ou au moins en rendant plus difficile, l'installation d'une version de Windows autre que celle qui a été installée d'origine. Cette pratique n'est plus autorisée en France et il est peu probable que les ordinateurs les plus récents soient concernés. Cependant, dans la mesure où Ubuntu est à même de "rajeunir" d'anciens ordinateurs qui n'auraient pas supporté la boulimie incessante des Windows successifs, vous pouvez y être confrontés dans votre tentative de réhabilitation de votre ancien PC. | " => suggestions : ['\xa0»', '”']

26 Mot inconnu : Boot => Sans entrer dans les détails, sachez que ce tatouage se traduit généralement par l'enregistrement d'informations particulières sur la carte mère ou sur le Master Boot Record (MBR) du disque dur, ou sur ces deux éléments. Elles y sont placées dès l'origine, mais également lors de toute nouvelle installation effectuée à partir de la partition de restauration présente sur le disque dur ou des CD de réinstallation livrés avec la machine. | boot
26 Mot inconnu : MBR => Sans entrer dans les détails, sachez que ce tatouage se traduit généralement par l'enregistrement d'informations particulières sur la carte mère ou sur le Master Boot Record (MBR) du disque dur, ou sur ces deux éléments. Elles y sont placées dès l'origine, mais également lors de toute nouvelle installation effectuée à partir de la partition de restauration présente sur le disque dur ou des CD de réinstallation livrés avec la machine. | mbr

28 Guillemets typographiques ouvrants. => Une variété particulière de tatouage est le "BIOS Lock", qui consiste à introduire les contrôles, ou un premier niveau de contrôle, dans le BIOS lui-même. Il est alors possible, mais déconseillé car dangereux, de remplacer celui-ci par un BIOS d'une autre provenance. Si vous voulez vous lancer dans une telle opération, n'omettez surtout pas de faire une copie sur disquette de la version courante pour pouvoir, le cas échéant, restaurer la version originale. | " => suggestions : ['«\xa0', '“']
28 Mot inconnu : Lock => Une variété particulière de tatouage est le "BIOS Lock", qui consiste à introduire les contrôles, ou un premier niveau de contrôle, dans le BIOS lui-même. Il est alors possible, mais déconseillé car dangereux, de remplacer celui-ci par un BIOS d'une autre provenance. Si vous voulez vous lancer dans une telle opération, n'omettez surtout pas de faire une copie sur disquette de la version courante pour pouvoir, le cas échéant, restaurer la version originale. | lock
28 Guillemets typographiques fermants. => Une variété particulière de tatouage est le "BIOS Lock", qui consiste à introduire les contrôles, ou un premier niveau de contrôle, dans le BIOS lui-même. Il est alors possible, mais déconseillé car dangereux, de remplacer celui-ci par un BIOS d'une autre provenance. Si vous voulez vous lancer dans une telle opération, n'omettez surtout pas de faire une copie sur disquette de la version courante pour pouvoir, le cas échéant, restaurer la version originale. | " => suggestions : ['\xa0»', '”']

30 Mot inconnu : MBR => Si votre PC est tatoué, vous risquez fort de ne pas pouvoir installer Ubuntu aux côtés de Windows, ou, si vous le faites, de ne plus pouvoir lancer Windows. En effet, la cohabitation de plusieurs systèmes dans votre machine nécessite la modification du MBR, modification qui sera détectée par le tatouage et refusée par Windows. Ubuntu bien sûr n'en sera pas troublé le moins du monde. | mbr
30 Accord erroné : “Ubuntu” et “troublé” ne sont pas accordés. Mettez au féminin pluriel. => Si votre PC est tatoué, vous risquez fort de ne pas pouvoir installer Ubuntu aux côtés de Windows, ou, si vous le faites, de ne plus pouvoir lancer Windows. En effet, la cohabitation de plusieurs systèmes dans votre machine nécessite la modification du MBR, modification qui sera détectée par le tatouage et refusée par Windows. Ubuntu bien sûr n'en sera pas troublé le moins du monde. | troublé => suggestions : ['troublée']
34 Espace(s) en fin de ligne à supprimer. => Le but du tatouage est de lutter contre le «piratage». Le tatouage ne sert normalement qu'à interdire l'utilisation illégale de la licence préinstallée ; cependant, certains constructeurs ont profité du mécanisme pour rendre impossible l'installation d'un autre système d'exploitation que celui préinstallé.  |   => suggestions : ['']

37 Mot inconnu : DGCCRF => Si vous rencontrez ce cas, en particulier si ceci n'était pas clairement documenté avant l'achat, nous vous conseillons, afin que ces pratiques cessent, de rapporter votre cas à la DGCCRF en postant votre lettre à l'adresse :\\  | dgccrf
37 Espace(s) en fin de ligne à supprimer. => Si vous rencontrez ce cas, en particulier si ceci n'était pas clairement documenté avant l'achat, nous vous conseillons, afin que ces pratiques cessent, de rapporter votre cas à la DGCCRF en postant votre lettre à l'adresse :\\  |   => suggestions : ['']

74 Mot inconnu : cohabitation_ubuntu_windows => La procédure suivante permet de repérer certains tatouages seulement, donc inutile dans la plupart des cas (pour être tranquille dans tous les cas, ne suivez pas cette procédure mais suivez les recommandations de [[cohabitation_ubuntu_windows|cette page]]). | cohabitation_ubuntu_windows

89 Typographie : points de suspension. Utilisez le caractère dédié. => La méthode la plus simple pour se débarrasser du tatouage, c'est de récupérer votre clé Windows (normalement vous avez l'autocollant, sinon, avec ce [[http://www.magicaljellybean.com/keyfinder.shtml|petit logiciel]]...), et de faire une nouvelle installation de Windows (Pensez à sauvegarder vos documents sur un support externe de préférence).  | ... => suggestions : ['…']
89 Espace(s) en fin de ligne à supprimer. => La méthode la plus simple pour se débarrasser du tatouage, c'est de récupérer votre clé Windows (normalement vous avez l'autocollant, sinon, avec ce [[http://www.magicaljellybean.com/keyfinder.shtml|petit logiciel]]...), et de faire une nouvelle installation de Windows (Pensez à sauvegarder vos documents sur un support externe de préférence).  |   => suggestions : ['']
91 Mot inconnu : OEM => Attention ! Vous devez absolument installer la même version, et sur le même PC, sinon vous sortiriez de la notice légale de Windows OEM (la légalité de cette clause du CLUF est cependant discutable en regard de l'article L.122-1 du Code la consommation). | oem
91 Mot inconnu : CLUF => Attention ! Vous devez absolument installer la même version, et sur le même PC, sinon vous sortiriez de la notice légale de Windows OEM (la légalité de cette clause du CLUF est cependant discutable en regard de l'article L.122-1 du Code la consommation). | cluf

95 Accord de nombre erroné : « bios » est au pluriel. => Toutefois attention, il se peut qu'un petit programme contenu dans votre carte-mère (généralement dans le BIOS) fasse une vérification de ces premiers 512 octets. S'il voit qu'ils ont changé, le bios devrait afficher un message. Si votre BIOS est customisé (c'est-à-dire que vous voyez le nom ou logo du constructeur à la place des fabricants habituels, Phoenix, AMI ou Award), c'est surement le cas. Pour éviter les ennuis, vous serez peut-être dans l'obligation de flasher votre BIOS. | le => suggestions : ['les']
95 Accord de nombre erroné : « bios » devrait être au singulier. => Toutefois attention, il se peut qu'un petit programme contenu dans votre carte-mère (généralement dans le BIOS) fasse une vérification de ces premiers 512 octets. S'il voit qu'ils ont changé, le bios devrait afficher un message. Si votre BIOS est customisé (c'est-à-dire que vous voyez le nom ou logo du constructeur à la place des fabricants habituels, Phoenix, AMI ou Award), c'est surement le cas. Pour éviter les ennuis, vous serez peut-être dans l'obligation de flasher votre BIOS. | bios => suggestions : ['bio']
95 Mot inconnu : Award => Toutefois attention, il se peut qu'un petit programme contenu dans votre carte-mère (généralement dans le BIOS) fasse une vérification de ces premiers 512 octets. S'il voit qu'ils ont changé, le bios devrait afficher un message. Si votre BIOS est customisé (c'est-à-dire que vous voyez le nom ou logo du constructeur à la place des fabricants habituels, Phoenix, AMI ou Award), c'est surement le cas. Pour éviter les ennuis, vous serez peut-être dans l'obligation de flasher votre BIOS. | award

96 Typographie : points de suspension. Utilisez le caractère dédié. => Auquel cas, vos compétences ont intérêt à être solides... | ... => suggestions : ['…']

103 Espace(s) surnuméraire(s) à supprimer. => ===== Solution Alternative  ===== |    => suggestions : [' ']

105 Mot inconnu : MBR => Ayant détruit le MBR d'un portable sans avoir fait de sauvegarde, et ayant à réinstaller XP, je me suis trouvé face aux solutions ci-dessus. Cependant, aucune solution n'a marché sur mon portable. Impossible de booter depuis le CD fourni avec l'ordinateur, impossible de booter d'un XP SP1 ni d'un XP SP2. Dans tous les cas, juste après le boot sur le CD apparaissait "inspection de votre configuration matérielle" et puis plus rien, rideau noir. | mbr
105 Mot inconnu : XP => Ayant détruit le MBR d'un portable sans avoir fait de sauvegarde, et ayant à réinstaller XP, je me suis trouvé face aux solutions ci-dessus. Cependant, aucune solution n'a marché sur mon portable. Impossible de booter depuis le CD fourni avec l'ordinateur, impossible de booter d'un XP SP1 ni d'un XP SP2. Dans tous les cas, juste après le boot sur le CD apparaissait "inspection de votre configuration matérielle" et puis plus rien, rideau noir. | xp
105 Mot inconnu : booter => Ayant détruit le MBR d'un portable sans avoir fait de sauvegarde, et ayant à réinstaller XP, je me suis trouvé face aux solutions ci-dessus. Cependant, aucune solution n'a marché sur mon portable. Impossible de booter depuis le CD fourni avec l'ordinateur, impossible de booter d'un XP SP1 ni d'un XP SP2. Dans tous les cas, juste après le boot sur le CD apparaissait "inspection de votre configuration matérielle" et puis plus rien, rideau noir. | booter
105 Mot inconnu : booter => Ayant détruit le MBR d'un portable sans avoir fait de sauvegarde, et ayant à réinstaller XP, je me suis trouvé face aux solutions ci-dessus. Cependant, aucune solution n'a marché sur mon portable. Impossible de booter depuis le CD fourni avec l'ordinateur, impossible de booter d'un XP SP1 ni d'un XP SP2. Dans tous les cas, juste après le boot sur le CD apparaissait "inspection de votre configuration matérielle" et puis plus rien, rideau noir. | booter
105 Mot inconnu : XP => Ayant détruit le MBR d'un portable sans avoir fait de sauvegarde, et ayant à réinstaller XP, je me suis trouvé face aux solutions ci-dessus. Cependant, aucune solution n'a marché sur mon portable. Impossible de booter depuis le CD fourni avec l'ordinateur, impossible de booter d'un XP SP1 ni d'un XP SP2. Dans tous les cas, juste après le boot sur le CD apparaissait "inspection de votre configuration matérielle" et puis plus rien, rideau noir. | xp
105 Mot inconnu : SP1 => Ayant détruit le MBR d'un portable sans avoir fait de sauvegarde, et ayant à réinstaller XP, je me suis trouvé face aux solutions ci-dessus. Cependant, aucune solution n'a marché sur mon portable. Impossible de booter depuis le CD fourni avec l'ordinateur, impossible de booter d'un XP SP1 ni d'un XP SP2. Dans tous les cas, juste après le boot sur le CD apparaissait "inspection de votre configuration matérielle" et puis plus rien, rideau noir. | sp1
105 Mot inconnu : XP => Ayant détruit le MBR d'un portable sans avoir fait de sauvegarde, et ayant à réinstaller XP, je me suis trouvé face aux solutions ci-dessus. Cependant, aucune solution n'a marché sur mon portable. Impossible de booter depuis le CD fourni avec l'ordinateur, impossible de booter d'un XP SP1 ni d'un XP SP2. Dans tous les cas, juste après le boot sur le CD apparaissait "inspection de votre configuration matérielle" et puis plus rien, rideau noir. | xp
105 Mot inconnu : SP2 => Ayant détruit le MBR d'un portable sans avoir fait de sauvegarde, et ayant à réinstaller XP, je me suis trouvé face aux solutions ci-dessus. Cependant, aucune solution n'a marché sur mon portable. Impossible de booter depuis le CD fourni avec l'ordinateur, impossible de booter d'un XP SP1 ni d'un XP SP2. Dans tous les cas, juste après le boot sur le CD apparaissait "inspection de votre configuration matérielle" et puis plus rien, rideau noir. | sp2
105 Mot inconnu : boot => Ayant détruit le MBR d'un portable sans avoir fait de sauvegarde, et ayant à réinstaller XP, je me suis trouvé face aux solutions ci-dessus. Cependant, aucune solution n'a marché sur mon portable. Impossible de booter depuis le CD fourni avec l'ordinateur, impossible de booter d'un XP SP1 ni d'un XP SP2. Dans tous les cas, juste après le boot sur le CD apparaissait "inspection de votre configuration matérielle" et puis plus rien, rideau noir. | boot
