
11 Il manque un espace à côté du tiret. [[25:27]] => ===== Utiliser des thèmes -skins- ===== <|>  - => suggestions : [' – ', ' — ']
15 Guillemets typographiques ouvrants. [[56:57]] => Wine peut gérer des thèmes (skins) de Windows au format "msstyles". Vous pourrez en trouver de nombreux par exemple sur le site de Deviant Art.  <|> " => suggestions : ['«\xa0', '“']
15 Mot inconnu : msstyles [[57:65]] => Wine peut gérer des thèmes (skins) de Windows au format "msstyles". Vous pourrez en trouver de nombreux par exemple sur le site de Deviant Art.  <|> msstyles
15 Guillemets typographiques fermants. [[65:66]] => Wine peut gérer des thèmes (skins) de Windows au format "msstyles". Vous pourrez en trouver de nombreux par exemple sur le site de Deviant Art.  <|> " => suggestions : ['\xa0»', '”']
15 Mot inconnu : Deviant [[131:138]] => Wine peut gérer des thèmes (skins) de Windows au format "msstyles". Vous pourrez en trouver de nombreux par exemple sur le site de Deviant Art.  <|> deviant
15 Espace(s) en fin de ligne à supprimer. [[143:144]] => Wine peut gérer des thèmes (skins) de Windows au format "msstyles". Vous pourrez en trouver de nombreux par exemple sur le site de Deviant Art.  <|>   => suggestions : ['']
16 Il manque un espace. [[32:34]] => https://www.deviantart.com/?amp;qh=&section=&q=msstyles <|> qh => suggestions : [' qh']
16 Mot inconnu : qh [[32:34]] => https://www.deviantart.com/?amp;qh=&section=&q=msstyles <|> qh
16 Mot inconnu : msstyles [[47:55]] => https://www.deviantart.com/?amp;qh=&section=&q=msstyles <|> msstyles
34 Espace(s) en fin de ligne à supprimer. [[65:66]] => Vous trouvez le gris foncé des applications Wine peu esthétique ?  <|>   => suggestions : ['']

41 Guillemets typographiques ouvrants. [[33:34]] => Ici, l'objectif est de donner un "look & feel" Ubuntu à Wine. Le thème est plus proche de Radiance que d'Ambiance car ce dernier ne donnait pas de très bon résultats. <|> " => suggestions : ['«\xa0', '“']
41 Mot inconnu : feel [[41:45]] => Ici, l'objectif est de donner un "look & feel" Ubuntu à Wine. Le thème est plus proche de Radiance que d'Ambiance car ce dernier ne donnait pas de très bon résultats. <|> feel
41 Guillemets typographiques fermants. [[45:46]] => Ici, l'objectif est de donner un "look & feel" Ubuntu à Wine. Le thème est plus proche de Radiance que d'Ambiance car ce dernier ne donnait pas de très bon résultats. <|> " => suggestions : ['\xa0»', '”']
41 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. [[113:117]] => Ici, l'objectif est de donner un "look & feel" Ubuntu à Wine. Le thème est plus proche de Radiance que d'Ambiance car ce dernier ne donnait pas de très bon résultats. <|>  car => suggestions : [', car']
41 Accord de nombre erroné avec « résultats ». [[152:155]] => Ici, l'objectif est de donner un "look & feel" Ubuntu à Wine. Le thème est plus proche de Radiance que d'Ambiance car ce dernier ne donnait pas de très bon résultats. <|> bon => suggestions : ['bons']
41 Accord de nombre erroné avec « bon ». [[156:165]] => Ici, l'objectif est de donner un "look & feel" Ubuntu à Wine. Le thème est plus proche de Radiance que d'Ambiance car ce dernier ne donnait pas de très bon résultats. <|> résultats => suggestions : ['résultat']
45 Mot inconnu : wineconfig [[11:21]] =>   * Lancer wineconfig : Applications / Wine / Configurer Wine <|> wineconfig
46 Guillemets typographiques ouvrants. [[18:19]] =>   * Sous l'onglet 'Affichage' dans Résolution de l'écran choisissez (ex : 120 pour un écran 1024 x768), <|> ' => suggestions : ['“', '‘', '‹']
46 Guillemets typographiques fermants. [[28:29]] =>   * Sous l'onglet 'Affichage' dans Résolution de l'écran choisissez (ex : 120 pour un écran 1024 x768), <|> ' => suggestions : ['”', '’', '›']
46 Si “x768” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[92:101]] =>   * Sous l'onglet 'Affichage' dans Résolution de l'écran choisissez (ex : 120 pour un écran 1024 x768), <|> 1024 x768 => suggestions : ['1\xa0024\xa0x768']
46 Mot inconnu : x768 [[97:101]] =>   * Sous l'onglet 'Affichage' dans Résolution de l'écran choisissez (ex : 120 pour un écran 1024 x768), <|> x768
47 Guillemets typographiques ouvrants. [[58:59]] =>   * Si vous avez fait précédemment des modifications dans 'Intégration avec le bureau', revenez à aucun thème. <|> ' => suggestions : ['“', '‘', '‹']
52 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[25:27]] =>   * Allez dans le dossier .wine de votre dossier utilisateur <|>  . => suggestions : ['. ', '.']
53 Guillemets typographiques ouvrants. [[22:23]] =>   * Copier le fichier "user.reg" et collez-le pour en avoir une sauvegarde <|> " => suggestions : ['«\xa0', '“']
53 Il manque un espace. [[28:31]] =>   * Copier le fichier "user.reg" et collez-le pour en avoir une sauvegarde <|> reg => suggestions : [' reg']
53 Guillemets typographiques fermants. [[31:32]] =>   * Copier le fichier "user.reg" et collez-le pour en avoir une sauvegarde <|> " => suggestions : ['\xa0»', '”']
55 Guillemets typographiques ouvrants. [[60:61]] =>   * Nous allons modifier toutes les rubriques **précédant** "iCalendarType" en mettant à la place ce qui suit : <|> " => suggestions : ['«\xa0', '“']
55 Mot inconnu : iCalendarType [[61:74]] =>   * Nous allons modifier toutes les rubriques **précédant** "iCalendarType" en mettant à la place ce qui suit : <|> icalendartype
55 Guillemets typographiques fermants. [[74:75]] =>   * Nous allons modifier toutes les rubriques **précédant** "iCalendarType" en mettant à la place ce qui suit : <|> " => suggestions : ['\xa0»', '”']

161 Typographie : points de suspension. Utilisez le caractère dédié. [[0:3]] => ... <|> ... => suggestions : ['…']
168 Espace(s) en fin de ligne à supprimer. [[34:35]] =>   * Si vous en préférez une autre,  <|>   => suggestions : ['']
