
5 Mot inconnu : last => ====== Webradio last.fm ====== | last
5 Il manque un espace. => ====== Webradio last.fm ====== | fm => suggestions : [' fm']

9 Mot inconnu : last => Ce document présente les différentes façons de profiter de last.fm pour les utilisateurs de Ubuntu plus particulièrement, mais une bonne partie du document s'applique à tous les utilisateurs des systèmes Debian. | last
9 Il manque un espace. => Ce document présente les différentes façons de profiter de last.fm pour les utilisateurs de Ubuntu plus particulièrement, mais une bonne partie du document s'applique à tous les utilisateurs des systèmes Debian. | fm => suggestions : [' fm']

11 Mot inconnu : Last => <note important>Si vous vivez en dehors des États-Unis, du Royaume-Uni ou de l’Allemagne, les radios Last.fm ne sont dorénavant accessible que par abonnement. | last
11 Il manque un espace. => <note important>Si vous vivez en dehors des États-Unis, du Royaume-Uni ou de l’Allemagne, les radios Last.fm ne sont dorénavant accessible que par abonnement. | fm => suggestions : [' fm']
11 Accord avec la forme verbale “sont” : “accessible” devrait être au pluriel. => <note important>Si vous vivez en dehors des États-Unis, du Royaume-Uni ou de l’Allemagne, les radios Last.fm ne sont dorénavant accessible que par abonnement. | accessible => suggestions : ['accessibles']
13 Mot inconnu : lastfm => [[http://www.lastfm.fr/help/faq?category=Ecouter+de+la+musique+sur+Last.fm#331|Source : site lastfm.fr]]</note> | lastfm

16 Mot inconnu : last => Si vous n'utilisez pas last.fm et ne souhaitez pas l'utiliser, ou si vous avez autre chose à faire pour le moment, vous pouvez arrêter la lecture de ce document ici :-). | last
16 Il manque un espace. => Si vous n'utilisez pas last.fm et ne souhaitez pas l'utiliser, ou si vous avez autre chose à faire pour le moment, vous pouvez arrêter la lecture de ce document ici :-). | fm => suggestions : [' fm']

19 Mot inconnu : Audioscrobbler => ===== Audioscrobbler ===== | audioscrobbler

21 Mot inconnu : Audioscrobbler => Audioscrobbler est à la fois le nom de la base de données recueillant les titres que vous écoutez, et le plug-in utilisé par votre lecteur audio pour envoyer les données. | audioscrobbler

22 Élision de l’article devant un mot commençant par une voyelle. => L'utilisation de audioscrobbler est tout à fait opérationnelle dans le monde de Linux, vous ne devriez rencontrer aucun problème à l'utiliser vous aussi. Il existe des plugins audioscrobbler pour tous les principaux lecteurs : | de  => suggestions : ['d’']
22 Mot inconnu : audioscrobbler => L'utilisation de audioscrobbler est tout à fait opérationnelle dans le monde de Linux, vous ne devriez rencontrer aucun problème à l'utiliser vous aussi. Il existe des plugins audioscrobbler pour tous les principaux lecteurs : | audioscrobbler
22 Mot inconnu : audioscrobbler => L'utilisation de audioscrobbler est tout à fait opérationnelle dans le monde de Linux, vous ne devriez rencontrer aucun problème à l'utiliser vous aussi. Il existe des plugins audioscrobbler pour tous les principaux lecteurs : | audioscrobbler

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[Rhythmbox]] : supporté nativement. Edition > Greffons, puis activez last.fm, cliquez dessus et sur le bouton 'configurer' pour vos informations d'identification. |    => suggestions : ['']
24 Mot inconnu : Rhythmbox =>   * [[Rhythmbox]] : supporté nativement. Edition > Greffons, puis activez last.fm, cliquez dessus et sur le bouton 'configurer' pour vos informations d'identification. | rhythmbox
24 Mot inconnu : Edition =>   * [[Rhythmbox]] : supporté nativement. Edition > Greffons, puis activez last.fm, cliquez dessus et sur le bouton 'configurer' pour vos informations d'identification. | edition
24 Mot inconnu : last =>   * [[Rhythmbox]] : supporté nativement. Edition > Greffons, puis activez last.fm, cliquez dessus et sur le bouton 'configurer' pour vos informations d'identification. | last
24 Il manque un espace. =>   * [[Rhythmbox]] : supporté nativement. Edition > Greffons, puis activez last.fm, cliquez dessus et sur le bouton 'configurer' pour vos informations d'identification. | fm => suggestions : [' fm']
24 Guillemets typographiques ouvrants. =>   * [[Rhythmbox]] : supporté nativement. Edition > Greffons, puis activez last.fm, cliquez dessus et sur le bouton 'configurer' pour vos informations d'identification. | ' => suggestions : ['“', '‘', '‹']
24 Guillemets typographiques fermants. =>   * [[Rhythmbox]] : supporté nativement. Edition > Greffons, puis activez last.fm, cliquez dessus et sur le bouton 'configurer' pour vos informations d'identification. | ' => suggestions : ['”', '’', '›']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[Amarok]] : supporté nativement. Settings > Configurer Amarok > Modules externes, rubrique Services internet |    => suggestions : ['']
25 Mot inconnu : Amarok =>   * [[Amarok]] : supporté nativement. Settings > Configurer Amarok > Modules externes, rubrique Services internet | amarok
25 Mot inconnu : Settings =>   * [[Amarok]] : supporté nativement. Settings > Configurer Amarok > Modules externes, rubrique Services internet | settings
25 Mot inconnu : Amarok =>   * [[Amarok]] : supporté nativement. Settings > Configurer Amarok > Modules externes, rubrique Services internet | amarok

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[Exaile]] : supporté nativement. Edition > Préférences, Last.fm |    => suggestions : ['']
26 Mot inconnu : Exaile =>   * [[Exaile]] : supporté nativement. Edition > Préférences, Last.fm | exaile
26 Mot inconnu : Edition =>   * [[Exaile]] : supporté nativement. Edition > Préférences, Last.fm | edition
26 Mot inconnu : Last =>   * [[Exaile]] : supporté nativement. Edition > Préférences, Last.fm | last
26 Il manque un espace. =>   * [[Exaile]] : supporté nativement. Edition > Préférences, Last.fm | fm => suggestions : [' fm']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[XMMS]] |    => suggestions : ['']
27 Mot inconnu : XMMS =>   * [[XMMS]] | xmms

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[Spotify]] : Modifier > Préférences > Last.fm |    => suggestions : ['']
28 Mot inconnu : Spotify =>   * [[Spotify]] : Modifier > Préférences > Last.fm | spotify
28 Mot inconnu : Last =>   * [[Spotify]] : Modifier > Préférences > Last.fm | last
28 Il manque un espace. =>   * [[Spotify]] : Modifier > Préférences > Last.fm | fm => suggestions : [' fm']

32 Mot inconnu : last => ===== Radios last.fm ===== | last
32 Il manque un espace. => ===== Radios last.fm ===== | fm => suggestions : [' fm']

34 Mot inconnu : Last => ==== Last.fm ==== | last
34 Il manque un espace. => ==== Last.fm ==== | fm => suggestions : [' fm']

