
4 Mot inconnu : Plank => ====== Plank ====== | plank
10 Guillemets typographiques ouvrants. => Voici ce qu'indique la page du projet : "Plank se veut le dock le plus simple de la planète. L'objectif est de répondre seulement aux besoins d'un dock et à absolument rien de plus. Plank est la technologie sous-jacente de Docky (à partir de la version 3.0.0) et vise à offrir toutes les fonctions de base de Docky, lequel y ajoute des choses plus fantaisistes comme Docklets,  boîtes de dialogue, etc..". | " => suggestions : ['«\xa0', '“']
10 Mot inconnu : Plank => Voici ce qu'indique la page du projet : "Plank se veut le dock le plus simple de la planète. L'objectif est de répondre seulement aux besoins d'un dock et à absolument rien de plus. Plank est la technologie sous-jacente de Docky (à partir de la version 3.0.0) et vise à offrir toutes les fonctions de base de Docky, lequel y ajoute des choses plus fantaisistes comme Docklets,  boîtes de dialogue, etc..". | plank
10 Mot inconnu : Plank => Voici ce qu'indique la page du projet : "Plank se veut le dock le plus simple de la planète. L'objectif est de répondre seulement aux besoins d'un dock et à absolument rien de plus. Plank est la technologie sous-jacente de Docky (à partir de la version 3.0.0) et vise à offrir toutes les fonctions de base de Docky, lequel y ajoute des choses plus fantaisistes comme Docklets,  boîtes de dialogue, etc..". | plank
10 Mot inconnu : Docky => Voici ce qu'indique la page du projet : "Plank se veut le dock le plus simple de la planète. L'objectif est de répondre seulement aux besoins d'un dock et à absolument rien de plus. Plank est la technologie sous-jacente de Docky (à partir de la version 3.0.0) et vise à offrir toutes les fonctions de base de Docky, lequel y ajoute des choses plus fantaisistes comme Docklets,  boîtes de dialogue, etc..". | docky
10 Mot inconnu : Docky => Voici ce qu'indique la page du projet : "Plank se veut le dock le plus simple de la planète. L'objectif est de répondre seulement aux besoins d'un dock et à absolument rien de plus. Plank est la technologie sous-jacente de Docky (à partir de la version 3.0.0) et vise à offrir toutes les fonctions de base de Docky, lequel y ajoute des choses plus fantaisistes comme Docklets,  boîtes de dialogue, etc..". | docky
10 Mot inconnu : Docklets => Voici ce qu'indique la page du projet : "Plank se veut le dock le plus simple de la planète. L'objectif est de répondre seulement aux besoins d'un dock et à absolument rien de plus. Plank est la technologie sous-jacente de Docky (à partir de la version 3.0.0) et vise à offrir toutes les fonctions de base de Docky, lequel y ajoute des choses plus fantaisistes comme Docklets,  boîtes de dialogue, etc..". | docklets
10 Espace(s) surnuméraire(s) à supprimer. => Voici ce qu'indique la page du projet : "Plank se veut le dock le plus simple de la planète. L'objectif est de répondre seulement aux besoins d'un dock et à absolument rien de plus. Plank est la technologie sous-jacente de Docky (à partir de la version 3.0.0) et vise à offrir toutes les fonctions de base de Docky, lequel y ajoute des choses plus fantaisistes comme Docklets,  boîtes de dialogue, etc..". |    => suggestions : [' ']
10 Typographie : un ou trois points ? => Voici ce qu'indique la page du projet : "Plank se veut le dock le plus simple de la planète. L'objectif est de répondre seulement aux besoins d'un dock et à absolument rien de plus. Plank est la technologie sous-jacente de Docky (à partir de la version 3.0.0) et vise à offrir toutes les fonctions de base de Docky, lequel y ajoute des choses plus fantaisistes comme Docklets,  boîtes de dialogue, etc..". | .. => suggestions : ['…', '.']
10 Guillemets typographiques fermants. => Voici ce qu'indique la page du projet : "Plank se veut le dock le plus simple de la planète. L'objectif est de répondre seulement aux besoins d'un dock et à absolument rien de plus. Plank est la technologie sous-jacente de Docky (à partir de la version 3.0.0) et vise à offrir toutes les fonctions de base de Docky, lequel y ajoute des choses plus fantaisistes comme Docklets,  boîtes de dialogue, etc..". | " => suggestions : ['\xa0»', '”']

