
4 Mot inconnu : Zebra => ======= Zebra ======= | zebra

14 Incohérence avec “qu’”. Confusion probable : “à” est une préposition. Écrivez “a” pour la conjugaison de “avoir”. => Depuis le temps qu'il n'a pas été mis à jour, ne vous attendez pas à qu'il existe en paquet .deb, l'installation se fait donc à partir des sources. | à => suggestions : ['a']
14 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Depuis le temps qu'il n'a pas été mis à jour, ne vous attendez pas à qu'il existe en paquet .deb, l'installation se fait donc à partir des sources. |  . => suggestions : ['. ', '.']
14 Mot inconnu : deb => Depuis le temps qu'il n'a pas été mis à jour, ne vous attendez pas à qu'il existe en paquet .deb, l'installation se fait donc à partir des sources. | deb
20 Espace(s) en fin de ligne à supprimer. => Ensuite, décompressez l'archive :  |   => suggestions : ['']
28 Espace(s) en fin de ligne à supprimer. => Et maintenant, compilez et installez le en faisant :  |   => suggestions : ['']

44 Il manque un espace. => Par défaut, le fichier de configuration zebra.conf.sample est dans le dossier /usr/local/etc/ | conf => suggestions : [' conf']
46 Espace(s) en fin de ligne à supprimer. => On va le renommer et l'éditer avec la ligne suivante :  |   => suggestions : ['']

50 Mot inconnu : nano => Bien-sûr, vous pouvez utiliser un autre éditeur texte que nano (vi, vim, gedit, emacs, etc....) | nano
50 Mot inconnu : vi => Bien-sûr, vous pouvez utiliser un autre éditeur texte que nano (vi, vim, gedit, emacs, etc....) | vi
50 Mot inconnu : vim => Bien-sûr, vous pouvez utiliser un autre éditeur texte que nano (vi, vim, gedit, emacs, etc....) | vim
50 Mot inconnu : gedit => Bien-sûr, vous pouvez utiliser un autre éditeur texte que nano (vi, vim, gedit, emacs, etc....) | gedit
50 Mot inconnu : emacs => Bien-sûr, vous pouvez utiliser un autre éditeur texte que nano (vi, vim, gedit, emacs, etc....) | emacs
50 Un seul point après « etc. » => Bien-sûr, vous pouvez utiliser un autre éditeur texte que nano (vi, vim, gedit, emacs, etc....) | etc.... => suggestions : ['etc.']
52 Espace(s) en fin de ligne à supprimer. => Il faut le modifier de la façon suivante :  |   => suggestions : ['']

55 Mot inconnu : Hostname => Hostname Rx (remplacez Rx par le nom de votre station, ou ce que vous voulez) | hostname
55 Mot inconnu : Rx => Hostname Rx (remplacez Rx par le nom de votre station, ou ce que vous voulez) | rx
55 Mot inconnu : Rx => Hostname Rx (remplacez Rx par le nom de votre station, ou ce que vous voulez) | rx

56 Mot inconnu : Password => Password [mot-de-passe] (Vous mettez le mot de passe que vous voulez) | password

57 Mot inconnu : Enable => Enable password [mot-de-passe] (Idem) | enable
57 Mot inconnu : password => Enable password [mot-de-passe] (Idem) | password

60 Mot inconnu : Zebra => Voila, enregistrez ce fichier, et votre Zebra est prêt à router !!! | zebra

64 Mot inconnu : tapper => Pour le lancez, tapper la commande suivante : | tapper

66 Mot inconnu : Zebra => <file>Zebra -d</file> | zebra
66 Il manque un espace à côté du tiret. => <file>Zebra -d</file> |  - => suggestions : [' – ', ' — ']

70 Mot inconnu : Zebra => Zebra se contrôlant par telnet, et par défaut sur le port 2601. Connectez vous en tappant la commande :  | zebra
70 Mot inconnu : telnet => Zebra se contrôlant par telnet, et par défaut sur le port 2601. Connectez vous en tappant la commande :  | telnet
70 Forme interrogative ? Mettez un trait d’union. => Zebra se contrôlant par telnet, et par défaut sur le port 2601. Connectez vous en tappant la commande :  | connectez vous => suggestions : ['Connectez-vous']
70 Mot inconnu : tappant => Zebra se contrôlant par telnet, et par défaut sur le port 2601. Connectez vous en tappant la commande :  | tappant
70 Espace(s) en fin de ligne à supprimer. => Zebra se contrôlant par telnet, et par défaut sur le port 2601. Connectez vous en tappant la commande :  |   => suggestions : ['']

72 Mot inconnu : telnet => <file>telnet adresse_ip 2601</file> | telnet
72 Mot inconnu : adresse_ip => <file>telnet adresse_ip 2601</file> | adresse_ip

73 Mot inconnu : adresse_ip => Si vous travaillez directement sur la machine, remplacez adresse_ip par localhost, ou 127.0.0.1 | adresse_ip
