
6 Mot inconnu : Azureus => ====== Azureus : Client Bittorent ====== | azureus
6 Mot inconnu : Bittorent => ====== Azureus : Client Bittorent ====== | bittorent

13 Espace(s) surnuméraire(s) à supprimer. => //Description traduite du site officiel  [[http://azureus.sourceforge.net/|Sourceforge]]// |    => suggestions : [' ']

15 Mot inconnu : Azureus => Un [[http://fr.azureuswiki.com/index.php/Accueil|wiki de Azureus]] en langue française est également à votre disposition | azureus

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Téléchargement de plusieurs torrents en même temps |    => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Limite d'envoi et de téléchargement, de façon globale et par torrent |    => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Règles d'envoi avancées |    => suggestions : ['']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cache du disque réglable |    => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Utilise seulement un port pour tous les torrents |    => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * UPnP règle automatiquement les ports sur votre routeur |    => suggestions : ['']
24 Mot inconnu : UPnP =>   * UPnP règle automatiquement les ports sur votre routeur | upnp

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Possibilité d'utiliser un proxy, pour la communication vers le tracker et les peers |    => suggestions : ['']
25 Mot inconnu : tracker =>   * Possibilité d'utiliser un proxy, pour la communication vers le tracker et les peers | tracker
25 Mot inconnu : peers =>   * Possibilité d'utiliser un proxy, pour la communication vers le tracker et les peers | peers

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Reprise rapide |    => suggestions : ['']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Possibitilité de définir un répertoire de téléchargement par défaut, et de déplacer les fichiers complétés |    => suggestions : ['']
27 Mot inconnu : Possibitilité =>   * Possibitilité de définir un répertoire de téléchargement par défaut, et de déplacer les fichiers complétés | possibitilité

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Possibilité d'importer des torrents automatiquement à partir d'un répertoire défini |    => suggestions : ['']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Interface hautement personnalisable |    => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Plugin IRC inclus pour une aide rapide |    => suggestions : ['']
30 Mot inconnu : IRC =>   * Plugin IRC inclus pour une aide rapide | irc

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Tracker intégré, mettez à disposition vos propres torrents, automatisez vos fichiers partagés (scann periodique d'un répertoire défini) |    => suggestions : ['']
31 Mot inconnu : Tracker =>   * Tracker intégré, mettez à disposition vos propres torrents, automatisez vos fichiers partagés (scann periodique d'un répertoire défini) | tracker
31 Mot inconnu : scann =>   * Tracker intégré, mettez à disposition vos propres torrents, automatisez vos fichiers partagés (scann periodique d'un répertoire défini) | scann

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * "Distributed Hash Table": sur lequel est instauré un système de tracker décentralisé ce qui est bénéfique quand le tracker original ne fonctionne plus. |    => suggestions : ['']
32 Guillemets typographiques ouvrants. =>   * "Distributed Hash Table": sur lequel est instauré un système de tracker décentralisé ce qui est bénéfique quand le tracker original ne fonctionne plus. | " => suggestions : ['«\xa0', '“']
32 Mot inconnu : Distributed =>   * "Distributed Hash Table": sur lequel est instauré un système de tracker décentralisé ce qui est bénéfique quand le tracker original ne fonctionne plus. | distributed
32 Mot inconnu : Hash =>   * "Distributed Hash Table": sur lequel est instauré un système de tracker décentralisé ce qui est bénéfique quand le tracker original ne fonctionne plus. | hash
32 Guillemets typographiques fermants. =>   * "Distributed Hash Table": sur lequel est instauré un système de tracker décentralisé ce qui est bénéfique quand le tracker original ne fonctionne plus. | " => suggestions : ['\xa0»', '”']
32 Mot inconnu : tracker =>   * "Distributed Hash Table": sur lequel est instauré un système de tracker décentralisé ce qui est bénéfique quand le tracker original ne fonctionne plus. | tracker
32 Mot inconnu : tracker =>   * "Distributed Hash Table": sur lequel est instauré un système de tracker décentralisé ce qui est bénéfique quand le tracker original ne fonctionne plus. | tracker

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

49 Mot inconnu : I2P => ====Configuration pour le réseau anonyme I2P ==== | i2p

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cliquer sur suivant |    => suggestions : ['']

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cliquer sur suivant (attendre le téléchargement). |    => suggestions : ['']

60 Mot inconnu : Azureus => ===== Lorsque Azureus refuse de s'ouvrir ===== | azureus

61 Mot inconnu : Azureus => Il arrive parfois que lorsque vous ouvrez Azureus, il se ferme automatiquement après une demi-seconde. Pour réparer cette erreur, supprimez le dossier ~/.azureus/logs | azureus
61 Mot inconnu : azureus => Il arrive parfois que lorsque vous ouvrez Azureus, il se ferme automatiquement après une demi-seconde. Pour réparer cette erreur, supprimez le dossier ~/.azureus/logs | azureus
