
6 Mot inconnu : Wicd => ====== Wicd ====== | wicd

9 Mot inconnu : Wicd => **Wicd gère les réseaux filaire et WiFi** en permettant d'automatiser les différentes configurations et de vérifier la qualité du réseau WiFi. Cependant, contrairement à NetworkManager, **Wicd ne permet pas la gestion des VPN** ([[OpenVPN]] et [[VPNC]]) et de certains modes de chiffrement. | wicd
9 Mot inconnu : WiFi => **Wicd gère les réseaux filaire et WiFi** en permettant d'automatiser les différentes configurations et de vérifier la qualité du réseau WiFi. Cependant, contrairement à NetworkManager, **Wicd ne permet pas la gestion des VPN** ([[OpenVPN]] et [[VPNC]]) et de certains modes de chiffrement. | wifi
9 Mot inconnu : WiFi => **Wicd gère les réseaux filaire et WiFi** en permettant d'automatiser les différentes configurations et de vérifier la qualité du réseau WiFi. Cependant, contrairement à NetworkManager, **Wicd ne permet pas la gestion des VPN** ([[OpenVPN]] et [[VPNC]]) et de certains modes de chiffrement. | wifi
9 Mot inconnu : NetworkManager => **Wicd gère les réseaux filaire et WiFi** en permettant d'automatiser les différentes configurations et de vérifier la qualité du réseau WiFi. Cependant, contrairement à NetworkManager, **Wicd ne permet pas la gestion des VPN** ([[OpenVPN]] et [[VPNC]]) et de certains modes de chiffrement. | networkmanager
9 Mot inconnu : Wicd => **Wicd gère les réseaux filaire et WiFi** en permettant d'automatiser les différentes configurations et de vérifier la qualité du réseau WiFi. Cependant, contrairement à NetworkManager, **Wicd ne permet pas la gestion des VPN** ([[OpenVPN]] et [[VPNC]]) et de certains modes de chiffrement. | wicd
9 Mot inconnu : OpenVPN => **Wicd gère les réseaux filaire et WiFi** en permettant d'automatiser les différentes configurations et de vérifier la qualité du réseau WiFi. Cependant, contrairement à NetworkManager, **Wicd ne permet pas la gestion des VPN** ([[OpenVPN]] et [[VPNC]]) et de certains modes de chiffrement. | openvpn
9 Mot inconnu : VPNC => **Wicd gère les réseaux filaire et WiFi** en permettant d'automatiser les différentes configurations et de vérifier la qualité du réseau WiFi. Cependant, contrairement à NetworkManager, **Wicd ne permet pas la gestion des VPN** ([[OpenVPN]] et [[VPNC]]) et de certains modes de chiffrement. | vpnc

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée ; |    => suggestions : ['']

30 Mot inconnu : wicd => L'applet wicd devrait s'afficher sur votre tableau de bord, cliquez dessus pour accéder aux paramètres et aux réseaux. | wicd

32 Mot inconnu : WPA => ==== Configurer le WPA ==== | wpa

34 Mot inconnu : Wicd => **Wicd** utilise ''wpa_supplicant'' afin de se connecter aux réseaux sécurisés. | wicd
34 Guillemets typographiques ouvrants. => **Wicd** utilise ''wpa_supplicant'' afin de se connecter aux réseaux sécurisés. | '' => suggestions : ['«\xa0', '“']
