
4 Mot inconnu : Belkin => ====== Onduleur Belkin UPS ====== | belkin
4 Mot inconnu : UPS => ====== Onduleur Belkin UPS ====== | ups

5 Mot inconnu : FIXME => > FIXME Page confuse, gros bouillon | fixme

7 Mot inconnu : antoinel12 => Par antoinel12\\  | antoinel12
7 Espace(s) en fin de ligne à supprimer. => Par antoinel12\\  |   => suggestions : ['']
8 Espace(s) en fin de ligne à supprimer. => Mon site web: http://www.antoinel12.qc.cx\\  |   => suggestions : ['']
9 Espace(s) en fin de ligne à supprimer. => Voir en ligne : http://www.antoinel12.qc.cx/spip.php?article3\\  |   => suggestions : ['']
10 Espace(s) en fin de ligne à supprimer. => Contact : http://www.antoinel12.qc.cx/spip.php?auteur1\\  |   => suggestions : ['']

14 Mot inconnu : TODO => L'article n'est pas terminé (voir TODO à la fin). Il sera bientôt complété. | todo

19 Mot inconnu : UPS => **Après avoir eu beaucoup de difficulté à installer mon UPS Belkin sous mon serveur Ubuntu Linux, j'ai décidé de rédiger un tutoriel pour vous faire bénéficier de la solution et vous faire sauver du temps. | ups
19 Mot inconnu : Belkin => **Après avoir eu beaucoup de difficulté à installer mon UPS Belkin sous mon serveur Ubuntu Linux, j'ai décidé de rédiger un tutoriel pour vous faire bénéficier de la solution et vous faire sauver du temps. | belkin

25 Mot inconnu : UPS => Tout d'abord, assurez-vous que votre noyau Linux supporte bien le USB (fréquemment supporté). Ensuite, branchez votre UPS dans un port USB de votre  | ups
25 Espace(s) en fin de ligne à supprimer. => Tout d'abord, assurez-vous que votre noyau Linux supporte bien le USB (fréquemment supporté). Ensuite, branchez votre UPS dans un port USB de votre  |   => suggestions : ['']

29 Mot inconnu : Belkin => N'installez pas tout de suite le logiciel fourni sur le CD-Rom de Belkin. Vérifiez d'abbord que votre périphérique USB soit détecté avec la commande suivante: | belkin
29 Mot inconnu : abbord => N'installez pas tout de suite le logiciel fourni sur le CD-Rom de Belkin. Vérifiez d'abbord que votre périphérique USB soit détecté avec la commande suivante: | abbord

31 Mot inconnu : lsusb => > %%$ lsusb%% | lsusb

35 Mot inconnu : Device => > Bus 001 Device 003: ID 047d:1001 Kensington | device
35 Il manque un espace. => > Bus 001 Device 003: ID 047d:1001 Kensington | 1001 => suggestions : [' 1001']
35 Mot inconnu : Kensington => > Bus 001 Device 003: ID 047d:1001 Kensington | kensington

36 Mot inconnu : Device => > Bus 001 Device 002: ID 050d:0751 Belkin Components | device
36 Il manque un espace. => > Bus 001 Device 002: ID 050d:0751 Belkin Components | 0751 => suggestions : [' 0751']
36 Mot inconnu : Belkin => > Bus 001 Device 002: ID 050d:0751 Belkin Components | belkin
36 Mot inconnu : Components => > Bus 001 Device 002: ID 050d:0751 Belkin Components | components

37 Mot inconnu : Device => > Bus 001 Device 001: ID 0000:0000 | device

39 Mot inconnu : UPS => Il faut ensuite monter le UPS dans le répertoire /dev/. Le UPS est de type HID. Sur mon système, il ne se montait pas automatiquement. Il faut donc le faire manuellement par cette commande : | ups
39 Mot inconnu : UPS => Il faut ensuite monter le UPS dans le répertoire /dev/. Le UPS est de type HID. Sur mon système, il ne se montait pas automatiquement. Il faut donc le faire manuellement par cette commande : | ups
39 Mot inconnu : HID => Il faut ensuite monter le UPS dans le répertoire /dev/. Le UPS est de type HID. Sur mon système, il ne se montait pas automatiquement. Il faut donc le faire manuellement par cette commande : | hid

41 Il manque un espace. => > %%mkdir /dev/usb%% | mkdir => suggestions : [' mkdir']
41 Mot inconnu : mkdir => > %%mkdir /dev/usb%% | mkdir

42 Il manque un espace. => > %%mknod /dev/usb/hiddev0 c 180 96 %% | mknod => suggestions : [' mknod']
42 Mot inconnu : mknod => > %%mknod /dev/usb/hiddev0 c 180 96 %% | mknod

47 Il manque un espace. => > %%dmesg | grep Belkin%% | dmesg => suggestions : [' dmesg']
47 Mot inconnu : dmesg => > %%dmesg | grep Belkin%% | dmesg
47 Mot inconnu : grep => > %%dmesg | grep Belkin%% | grep
47 Mot inconnu : Belkin => > %%dmesg | grep Belkin%% | belkin

51 Il manque un espace. => > %%hiddev96: USB HID v1.11 Device [Belkin  Belkin UPS] on | hiddev96 => suggestions : [' hiddev96']
51 Mot inconnu : hiddev96 => > %%hiddev96: USB HID v1.11 Device [Belkin  Belkin UPS] on | hiddev96
51 Mot inconnu : HID => > %%hiddev96: USB HID v1.11 Device [Belkin  Belkin UPS] on | hid
51 Mot inconnu : v1 => > %%hiddev96: USB HID v1.11 Device [Belkin  Belkin UPS] on | v1
51 Mot inconnu : Device => > %%hiddev96: USB HID v1.11 Device [Belkin  Belkin UPS] on | device
51 Mot inconnu : Belkin => > %%hiddev96: USB HID v1.11 Device [Belkin  Belkin UPS] on | belkin
51 Doublon. => > %%hiddev96: USB HID v1.11 Device [Belkin  Belkin UPS] on | belkin  belkin => suggestions : ['Belkin']
51 Espace(s) surnuméraire(s) à supprimer. => > %%hiddev96: USB HID v1.11 Device [Belkin  Belkin UPS] on |    => suggestions : [' ']
51 Mot inconnu : Belkin => > %%hiddev96: USB HID v1.11 Device [Belkin  Belkin UPS] on | belkin
51 Mot inconnu : UPS => > %%hiddev96: USB HID v1.11 Device [Belkin  Belkin UPS] on | ups

52 Mot inconnu : usb-0000 => usb-0000:00:13.1-1 %% | usb-0000

54 Mot inconnu : maintenants => Vous êtes maintenants prêt à installer le logiciel de Belkin. Décompressez le logiciel inclus sur votre CD-Rom dans un dossier temporaire. Suivez les options inclus dans le document PDF. Une fois rendu à cette étape: | maintenants
54 Mot inconnu : Belkin => Vous êtes maintenants prêt à installer le logiciel de Belkin. Décompressez le logiciel inclus sur votre CD-Rom dans un dossier temporaire. Suivez les options inclus dans le document PDF. Une fois rendu à cette étape: | belkin

60 Il manque un espace. => > %%dev/usb%% | dev => suggestions : [' dev']
60 Mot inconnu : dev => > %%dev/usb%% | dev
60 Mot inconnu : usb => > %%dev/usb%% | usb

62 Mot inconnu : UPS => Voilà, votre UPS est installé et fonctionne! Il ne vous reste plus qu'à le configurer. | ups

67 Mot inconnu : TODO => **TODO:**  | todo
67 Espace(s) en fin de ligne à supprimer. => **TODO:**  |   => suggestions : ['']

69 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. => -Ajouter un guide de la configuration | - => suggestions : ['—\xa0', '–\xa0']

71 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. => -Ajouter le montage du UPS au démarrage du système | - => suggestions : ['—\xa0', '–\xa0']
71 Mot inconnu : UPS => -Ajouter le montage du UPS au démarrage du système | ups

75 Mot inconnu : davy014 => Merci à davy014 pour m'avoir permis de corriger une erreur dans ce tutoriel. | davy014
