5 Mot inconnu : Elitebook [[11:20]] => ======  HP Elitebook Revolve 810 ====== <|> elitebook
5 Mot inconnu : Revolve [[21:28]] => ======  HP Elitebook Revolve 810 ====== <|> revolve

19 Mot inconnu : Touchpad [[94:102]] => ^ Version ^ Installation ^ Carte graphique ^ Son ^ Casque audio ^ Wifi ^ Bluetooth ^ Webcam ^ Touchpad ^ Raccourcis multimédia ^ Autres  <|> touchpad
19 Espace(s) en fin de ligne à supprimer. [[135:136]] => ^ Version ^ Installation ^ Carte graphique ^ Son ^ Casque audio ^ Wifi ^ Bluetooth ^ Webcam ^ Touchpad ^ Raccourcis multimédia ^ Autres  <|>   => suggestions : ['']

27 Mot inconnu : MàN [[2:5]] => * MàN = Mise à Niveau depuis une version antérieure <|> màn

66 Mot inconnu : WWAN [[15:19]] => ==== Connexion WWAN (3G via une carte SIM) ==== <|> wwan
66 Mot inconnu : SIM [[38:41]] => ==== Connexion WWAN (3G via une carte SIM) ==== <|> sim

67 Mot inconnu : Network-Manager [[74:89]] => Bien qu'Ubuntu reconnaisse la présence d'une carte 3G, son activation par Network-Manager ("Activer le connexion mobile à large bande") ne fonctionne semble-t-il pas (pour plus d'infos; voir dans les liens en bas de cette page). <|> network-manager
67 Guillemets typographiques ouvrants. [[91:92]] => Bien qu'Ubuntu reconnaisse la présence d'une carte 3G, son activation par Network-Manager ("Activer le connexion mobile à large bande") ne fonctionne semble-t-il pas (pour plus d'infos; voir dans les liens en bas de cette page). <|> " => suggestions : ['«\xa0', '“']
67 Accord de genre erroné : « connexion » est féminin. [[100:102]] => Bien qu'Ubuntu reconnaisse la présence d'une carte 3G, son activation par Network-Manager ("Activer le connexion mobile à large bande") ne fonctionne semble-t-il pas (pour plus d'infos; voir dans les liens en bas de cette page). <|> le => suggestions : ['la']
67 Guillemets typographiques fermants. [[133:134]] => Bien qu'Ubuntu reconnaisse la présence d'une carte 3G, son activation par Network-Manager ("Activer le connexion mobile à large bande") ne fonctionne semble-t-il pas (pour plus d'infos; voir dans les liens en bas de cette page). <|> " => suggestions : ['\xa0»', '”']

70 Forme interrogative ? Mettez un trait d’union. [[88:102]] => Pour cela, démarrez sur Windows puis redémarrez ensuite votre ordinateur sous Ubuntu et connectez vous au réseau à large bande que vous souhaitez. <|> connectez vous => suggestions : ['connectez-vous']

71 Guillemets typographiques ouvrants. [[59:60]] => <note warning>Attention, il vous faut utiliser la commande "Redémarrer" dans Windows. Si vous éteignez votre ordinateur complètement, puis le redémarrez via le bouton d'alimentation, cette méthode ne fonctionnera pas car le module 3G aura été éteint par la même!</note> <|> " => suggestions : ['«\xa0', '“']
71 Guillemets typographiques fermants. [[70:71]] => <note warning>Attention, il vous faut utiliser la commande "Redémarrer" dans Windows. Si vous éteignez votre ordinateur complètement, puis le redémarrez via le bouton d'alimentation, cette méthode ne fonctionnera pas car le module 3G aura été éteint par la même!</note> <|> " => suggestions : ['\xa0»', '”']
71 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. [[216:220]] => <note warning>Attention, il vous faut utiliser la commande "Redémarrer" dans Windows. Si vous éteignez votre ordinateur complètement, puis le redémarrez via le bouton d'alimentation, cette méthode ne fonctionnera pas car le module 3G aura été éteint par la même!</note> <|>  car => suggestions : [', car']

73 Accord erroné : “méthode” et “testé” ne sont pas accordés. [[38:43]] => <note important>Cette méthode n'a été testé qu'avec la version 14.04. Elle devrait à priori être aussi valable pour les versions précédentes. <|> testé => suggestions : ['testée']

75 Espace(s) en fin de ligne à supprimer. [[199:200]] => Cette méthode n'est toutefois qu'une alternative pour profiter des capacités 3G de cet ordinateur sous Ubuntu et ne constitue pas une solution parfaite, car elle requiert l'utilisation d'un autre OS.  <|>   => suggestions : ['']

80 Mot inconnu : Ambient [[39:46]] => ==== Détecteur de luminosité ambiante (Ambient Light Sensor ALS) ==== <|> ambient
80 Mot inconnu : Sensor [[53:59]] => ==== Détecteur de luminosité ambiante (Ambient Light Sensor ALS) ==== <|> sensor
80 Mot inconnu : ALS [[60:63]] => ==== Détecteur de luminosité ambiante (Ambient Light Sensor ALS) ==== <|> als

82 Confusion : “coté” est le participe passé du verbe “coter”. [[73:77]] => Cet ordinateur comporte un détecteur de luminosité, situé sous l'écran à coté du bouton "Windows". <|> coté => suggestions : ['côté', 'côtés']
82 Guillemets typographiques ouvrants. [[88:89]] => Cet ordinateur comporte un détecteur de luminosité, situé sous l'écran à coté du bouton "Windows". <|> " => suggestions : ['«\xa0', '“']
82 Guillemets typographiques fermants. [[96:97]] => Cet ordinateur comporte un détecteur de luminosité, situé sous l'écran à coté du bouton "Windows". <|> " => suggestions : ['\xa0»', '”']

92 Guillemets typographiques ouvrants. [[19:20]] => (avec 1 ou 0 après "echo" selon le statut qu'on veut avoir) <|> " => suggestions : ['«\xa0', '“']
92 Mot inconnu : echo [[20:24]] => (avec 1 ou 0 après "echo" selon le statut qu'on veut avoir) <|> echo
92 Guillemets typographiques fermants. [[24:25]] => (avec 1 ou 0 après "echo" selon le statut qu'on veut avoir) <|> " => suggestions : ['\xa0»', '”']

94 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[16:17]] => <note important>A compléter</note> <|> a => suggestions : ['À']
