
2 Mot inconnu : ColorHug [[39:47]] => ====== Calibrer un écran avec la sonde ColorHug ====== <|> colorhug
16 Guillemets typographiques ouvrants. [[69:70]] => Dans le menu système sont alors disponibles deux nouveaux lanceurs : "CCMX" et "Gestionnaire de mise à jour du micrologiciel". <|> " => suggestions : « “
16 Mot inconnu : CCMX [[70:74]] => Dans le menu système sont alors disponibles deux nouveaux lanceurs : "CCMX" et "Gestionnaire de mise à jour du micrologiciel". <|> ccmx
16 Guillemets typographiques fermants. [[74:75]] => Dans le menu système sont alors disponibles deux nouveaux lanceurs : "CCMX" et "Gestionnaire de mise à jour du micrologiciel". <|> " => suggestions :  »”
16 Guillemets typographiques ouvrants. [[79:80]] => Dans le menu système sont alors disponibles deux nouveaux lanceurs : "CCMX" et "Gestionnaire de mise à jour du micrologiciel". <|> " => suggestions : « “
16 Guillemets typographiques fermants. [[124:125]] => Dans le menu système sont alors disponibles deux nouveaux lanceurs : "CCMX" et "Gestionnaire de mise à jour du micrologiciel". <|> " => suggestions :  »”
28 Guillemets typographiques ouvrants. [[11:12]] =>   * Lancer "Couleur" (depuis le menu Personnalisation ou via les Paramètres Systèmes > Matériel) ou avec la commande suivante depuis un terminal : <|> " => suggestions : « “
28 Guillemets typographiques fermants. [[19:20]] =>   * Lancer "Couleur" (depuis le menu Personnalisation ou via les Paramètres Systèmes > Matériel) ou avec la commande suivante depuis un terminal : <|> " => suggestions :  »”
30 Guillemets typographiques ouvrants. [[50:51]] =>   * Sélectionner l'écran à calibrer, puis cliquer "Calibrer..." <|> " => suggestions : « “
30 Typographie : points de suspension. Utilisez le caractère dédié. [[59:62]] =>   * Sélectionner l'écran à calibrer, puis cliquer "Calibrer..." <|> ... => suggestions : …
30 Guillemets typographiques fermants. [[62:63]] =>   * Sélectionner l'écran à calibrer, puis cliquer "Calibrer..." <|> " => suggestions :  »”
34 Typographie : points de suspension. Utilisez le caractère dédié. [[198:201]] =>   * Poser la sonde contre l'écran au centre du carré de couleur qui apparait : il est nécessaire de la maintenir plaquée durant toute la calibration, par exemple avec un ruban ou des livres inclinés... <|> ... => suggestions : …
35 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[4:5]] =>   * A la fin de l'étalonnage, le nouveau profil est appliqué. <|> a => suggestions : À
