
5 Mot inconnu : Logitech => ====== Souris Logitech MX1000, MX700, RX1000======  | logitech
5 Mot inconnu : MX1000 => ====== Souris Logitech MX1000, MX700, RX1000======  | mx1000
5 Mot inconnu : MX700 => ====== Souris Logitech MX1000, MX700, RX1000======  | mx700
5 Mot inconnu : RX1000 => ====== Souris Logitech MX1000, MX700, RX1000======  | rx1000
5 Espace(s) en fin de ligne à supprimer. => ====== Souris Logitech MX1000, MX700, RX1000======  |   => suggestions : ['']

7 Mot inconnu : Heron => Les boutons précédent/suivant fonctionnent nativement à partir de Hardy Heron 8.04. Utiliser btnx ou xbindeys. | heron
7 Mot inconnu : btnx => Les boutons précédent/suivant fonctionnent nativement à partir de Hardy Heron 8.04. Utiliser btnx ou xbindeys. | btnx
7 Mot inconnu : xbindeys => Les boutons précédent/suivant fonctionnent nativement à partir de Hardy Heron 8.04. Utiliser btnx ou xbindeys. | xbindeys
9 Espace(s) en fin de ligne à supprimer. => Ce tutoriel fonctionne également :  |   => suggestions : ['']

14 Mot inconnu : logitech => Ce tutoriel vous permettra d'activer les 12 boutons de votre souris logitech MX1000, dont les boutons latéraux, qui permettront le défilement horizontal, et le défilement rapide vertical (boutons au-dessus et en-dessous de la molette). | logitech
14 Mot inconnu : MX1000 => Ce tutoriel vous permettra d'activer les 12 boutons de votre souris logitech MX1000, dont les boutons latéraux, qui permettront le défilement horizontal, et le défilement rapide vertical (boutons au-dessus et en-dessous de la molette). | mx1000
14 Pas de trait d’union. => Ce tutoriel vous permettra d'activer les 12 boutons de votre souris logitech MX1000, dont les boutons latéraux, qui permettront le défilement horizontal, et le défilement rapide vertical (boutons au-dessus et en-dessous de la molette). | en-dessous => suggestions : ['en dessous']

23 Mot inconnu : firefox => ====Configurer firefox==== | firefox

25 Mot inconnu : sidescroll => Maintenant, on active le sidescroll (scroll horizontal) dans firefox: | sidescroll
25 Mot inconnu : scroll => Maintenant, on active le sidescroll (scroll horizontal) dans firefox: | scroll
25 Mot inconnu : firefox => Maintenant, on active le sidescroll (scroll horizontal) dans firefox: | firefox

32 Mot inconnu : xbindkeys => ====Configurer xbindkeys==== | xbindkeys

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
59 Mot inconnu : MX1000 => <note tip>Ce sujet sur le forum avec des captures d'écran peut vous aider à configurer votre souris comme vous le souhaitez : [[http://forum.ubuntu-fr.org/viewtopic.php?pid=1318722#p1318722|Table d'attribution de la MX1000]].</note> | mx1000

61 Mot inconnu : MX700 => == Adaptation pour la MX700 et la Cordless Mini Optical Mouse== | mx700
61 Mot inconnu : Cordless => == Adaptation pour la MX700 et la Cordless Mini Optical Mouse== | cordless
61 Mot inconnu : Optical => == Adaptation pour la MX700 et la Cordless Mini Optical Mouse== | optical
61 Mot inconnu : Mouse => == Adaptation pour la MX700 et la Cordless Mini Optical Mouse== | mouse
