
4 Mot inconnu : Postfix => ====== Système Satellite pour Postfix ====== | postfix

8 Mot inconnu : Postfix => Un système satellite pour Postfix signifie simplement que les mails du système seront envoyés automatiquement à un serveur SMTP. | postfix

9 Mot inconnu : mailx => Ceci vous permettra d'utiliser la commande mail (du package mailx) directement pour envoyer des emails. | mailx
9 Mot inconnu : emails => Ceci vous permettra d'utiliser la commande mail (du package mailx) directement pour envoyer des emails. | emails

11 Mot inconnu : emails => Il pourra par la suite être utilisé pour envoyer des emails automatiquement comme par exemple des fichiers de logs grâce à cron. | emails
11 Pléonasme. => Il pourra par la suite être utilisé pour envoyer des emails automatiquement comme par exemple des fichiers de logs grâce à cron. | comme par exemple => suggestions : ['comme', 'par exemple']
11 Mot inconnu : cron => Il pourra par la suite être utilisé pour envoyer des emails automatiquement comme par exemple des fichiers de logs grâce à cron. | cron

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

25 Mot inconnu : Postfix => Si l'assistant ne se lance pas ou si Postfix est déjà installé sur votre système, faites un | postfix

30 Mot inconnu : Postfix => ===== Configuration de Postfix ===== | postfix

32 Mot inconnu : postfix => Voici comment configurer postfix grâce à assistant: | postfix

48 Mot inconnu : Postfix => Le serveur Postfix va alors redémarrer, et l'envoi de mail est désormais fonctionnel. | postfix

52 Mot inconnu : postfix => Si le serveur SMTP que vous allez utiliser possède un jeu de login et mot de passe, il faut le préciser dans le fichier de configuration de postfix : | postfix

54 Il manque un espace. => ==== Modifier le fichier « main.cf » ==== | cf => suggestions : [' cf']

59 Accord de nombre erroné avec « les lignes » : « suivante » devrait être au pluriel. => et ajouter les lignes suivante à la fin : | suivante => suggestions : ['suivantes']

62 Mot inconnu : smtp_sasl_auth_enable => smtp_sasl_auth_enable = yes | smtp_sasl_auth_enable
62 Mot inconnu : yes => smtp_sasl_auth_enable = yes | yes

63 Mot inconnu : smtp_sasl_password_maps => smtp_sasl_password_maps = hash:/etc/postfix/sasl/sasl_passwd | smtp_sasl_password_maps
63 Mot inconnu : hash => smtp_sasl_password_maps = hash:/etc/postfix/sasl/sasl_passwd | hash

64 Mot inconnu : smtp_sasl_security_options => smtp_sasl_security_options = noanonymous | smtp_sasl_security_options
64 Mot inconnu : noanonymous => smtp_sasl_security_options = noanonymous | noanonymous

