
4 Mot inconnu : imageFORMULA => ====== Scanner Canon imageFORMULA P-215 ====== | imageformula

6 Mot inconnu : Utopic => Ce scanner est reconnu automatiquement à partir d'Ubuntu 14.10 (Utopic), mais pas dans les versions précédentes. | utopic

8 Mot inconnu : SANE => Concrètement, c'est la version 1.0.24 de SANE qui le prend en charge (driver canon_dr) : [[https://sane.alioth.debian.org/sane-backends-1.0.24.html#S-CANON-DR]]. Or cette version est introduite à partir d'Ubuntu 14.10 : [[http://packages.ubuntu.com/search?keywords=libsane]]. Ubuntu 14.04 (Trusty) n'a que la version 1.0.23 : [[http://packages.ubuntu.com/trusty/libsane]] | sane
8 Mot inconnu : canon_dr => Concrètement, c'est la version 1.0.24 de SANE qui le prend en charge (driver canon_dr) : [[https://sane.alioth.debian.org/sane-backends-1.0.24.html#S-CANON-DR]]. Or cette version est introduite à partir d'Ubuntu 14.10 : [[http://packages.ubuntu.com/search?keywords=libsane]]. Ubuntu 14.04 (Trusty) n'a que la version 1.0.23 : [[http://packages.ubuntu.com/trusty/libsane]] | canon_dr

32 Mot inconnu : NB => NB : pour plus d'informations sur le fonctionnement des PPA, voir cette [[ppa|page du wiki]]. | nb

34 Guillemets typographiques ouvrants. => ===== Message d'erreur "Impossible de monter CaptureOnTouch Lite for Mac" et scanner non reconnu ===== | " => suggestions : ['«\xa0', '“']
34 Mot inconnu : CaptureOnTouch => ===== Message d'erreur "Impossible de monter CaptureOnTouch Lite for Mac" et scanner non reconnu ===== | captureontouch
34 Guillemets typographiques fermants. => ===== Message d'erreur "Impossible de monter CaptureOnTouch Lite for Mac" et scanner non reconnu ===== | " => suggestions : ['\xa0»', '”']

40 Guillemets typographiques ouvrants. => Si le code affiché est 1083:1647, il faut changer la position du bouton "Auto start" derrière l'appareil : le placer en position OFF est nécessaire pour qu'il soit détecté sur Linux (le débrancher/rebrancher ensuite). Cela doit modifier le code USB en 1083:1646. Si vous ne trouvez pas le bouton, regarder page 13 de la documentation de l'appareil (lien à la fin de cette page). | " => suggestions : ['«\xa0', '“']
40 Mot inconnu : start => Si le code affiché est 1083:1647, il faut changer la position du bouton "Auto start" derrière l'appareil : le placer en position OFF est nécessaire pour qu'il soit détecté sur Linux (le débrancher/rebrancher ensuite). Cela doit modifier le code USB en 1083:1646. Si vous ne trouvez pas le bouton, regarder page 13 de la documentation de l'appareil (lien à la fin de cette page). | start
40 Guillemets typographiques fermants. => Si le code affiché est 1083:1647, il faut changer la position du bouton "Auto start" derrière l'appareil : le placer en position OFF est nécessaire pour qu'il soit détecté sur Linux (le débrancher/rebrancher ensuite). Cela doit modifier le code USB en 1083:1646. Si vous ne trouvez pas le bouton, regarder page 13 de la documentation de l'appareil (lien à la fin de cette page). | " => suggestions : ['\xa0»', '”']
