
5 Espace(s) surnuméraire(s) à supprimer. [[33:35]] => ====== Gestion du rétro-éclairage  ====== <|>    => suggestions :  

11 Mot inconnu : Xbacklight [[6:16]] => ===== Xbacklight ===== <|> xbacklight

12 Mot inconnu : Xbacklight [[2:12]] => **Xbacklight** est un ensemble de commandes permettant la gestion de la luminosité.  <|> xbacklight
12 Espace(s) en fin de ligne à supprimer. [[83:84]] => **Xbacklight** est un ensemble de commandes permettant la gestion de la luminosité.  <|>  

24 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. [[0:2]] => - dans le champ "Commande", pour augmenter légèrement la luminosité, saisissez : **xbacklight +1** \\ <|> -  => suggestions : – — 
24 Guillemets typographiques ouvrants. [[16:17]] => - dans le champ "Commande", pour augmenter légèrement la luminosité, saisissez : **xbacklight +1** \\ <|> " => suggestions : « “
24 Guillemets typographiques fermants. [[25:26]] => - dans le champ "Commande", pour augmenter légèrement la luminosité, saisissez : **xbacklight +1** \\ <|> " => suggestions :  »”
24 Mot inconnu : xbacklight [[83:93]] => - dans le champ "Commande", pour augmenter légèrement la luminosité, saisissez : **xbacklight +1** \\ <|> xbacklight

25 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. [[0:2]] => - ensuite les touches de raccourcis : **Ctrl ►** \\ <|> -  => suggestions : – — 
27 Mot inconnu : xbacklight [[37:47]] => Idem pour diminuer la luminosité : **xbacklight -1** associé à **Ctrl ◄** \\ <|> xbacklight
27 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. [[48:50]] => Idem pour diminuer la luminosité : **xbacklight -1** associé à **Ctrl ◄** \\ <|> -1 => suggestions : – 1— 1−1

29 Mot inconnu : NB [[1:3]] => (NB : les symboles ◄ et ► représentent les touches "déplacement vers la gauche" et "déplacement vers la droite" de votre clavier) \\ <|> nb
29 Guillemets typographiques ouvrants. [[51:52]] => (NB : les symboles ◄ et ► représentent les touches "déplacement vers la gauche" et "déplacement vers la droite" de votre clavier) \\ <|> " => suggestions : « “
29 Guillemets typographiques fermants. [[78:79]] => (NB : les symboles ◄ et ► représentent les touches "déplacement vers la gauche" et "déplacement vers la droite" de votre clavier) \\ <|> " => suggestions :  »”
29 Guillemets typographiques ouvrants. [[83:84]] => (NB : les symboles ◄ et ► représentent les touches "déplacement vers la gauche" et "déplacement vers la droite" de votre clavier) \\ <|> " => suggestions : « “
29 Guillemets typographiques fermants. [[110:111]] => (NB : les symboles ◄ et ► représentent les touches "déplacement vers la gauche" et "déplacement vers la droite" de votre clavier) \\ <|> " => suggestions :  »”

176 Mot inconnu : igp [[34:37]] => Pour d'autres portables Asus avec igp intel il est possible de tester: <|> igp

