1 Mot inconnu : A17 => ====== Asus séries A17 TUF766IU, TUF7606IU  (testé sur Asus A17-TUF766IU-H7074T)  ====== | a17
1 Mot inconnu : TUF766IU => ====== Asus séries A17 TUF766IU, TUF7606IU  (testé sur Asus A17-TUF766IU-H7074T)  ====== | tuf766iu
1 Mot inconnu : TUF7606IU => ====== Asus séries A17 TUF766IU, TUF7606IU  (testé sur Asus A17-TUF766IU-H7074T)  ====== | tuf7606iu
1 Espace(s) surnuméraire(s) à supprimer. => ====== Asus séries A17 TUF766IU, TUF7606IU  (testé sur Asus A17-TUF766IU-H7074T)  ====== |    => suggestions : [' ']
1 Mot inconnu : A17-TUF766IU-H7074T => ====== Asus séries A17 TUF766IU, TUF7606IU  (testé sur Asus A17-TUF766IU-H7074T)  ====== | a17-tuf766iu-h7074t

6 Confusion : “à” est une préposition. Pour le verbe avoir, écrivez “a”. => Tout ce qui est dit ci-dessous à été testé sur le portable Asus A17-TUF766IU-H7074T dont la configuration est notamment :  | à => suggestions : ['a']
6 Mot inconnu : A17-TUF766IU-H7074T => Tout ce qui est dit ci-dessous à été testé sur le portable Asus A17-TUF766IU-H7074T dont la configuration est notamment :  | a17-tuf766iu-h7074t
6 Espace(s) en fin de ligne à supprimer. => Tout ce qui est dit ci-dessous à été testé sur le portable Asus A17-TUF766IU-H7074T dont la configuration est notamment :  |   => suggestions : ['']

22 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A noter que la machine est de **très bonne facture** : bel écran, bonne qualité sonore, plastiques de qualité... | a => suggestions : ['À']
22 Typographie : points de suspension. Utilisez le caractère dédié. => A noter que la machine est de **très bonne facture** : bel écran, bonne qualité sonore, plastiques de qualité... | ... => suggestions : ['…']

24 Mot inconnu : usb => ===== Test de la distribution en Live usb ===== | usb

26 Guillemets typographiques ouvrants. => Au démarrage quand apparaît le menu appuyer sur la touche "e". | " => suggestions : ['«\xa0', '“']
26 Guillemets typographiques fermants. => Au démarrage quand apparaît le menu appuyer sur la touche "e". | " => suggestions : ['\xa0»', '”']

30 Mot inconnu : F6 => A priori cela peut aussi être fait graphiquement en appuyant sur F6 (lors de l'apparition du menu Ubuntu) puis en validant nomodeset. | f6
30 Mot inconnu : nomodeset => A priori cela peut aussi être fait graphiquement en appuyant sur F6 (lors de l'apparition du menu Ubuntu) puis en validant nomodeset. | nomodeset
32 Espace(s) surnuméraire(s) à supprimer. => ===== Installation de Ubuntu/Kubuntu 20.04  ===== |    => suggestions : [' ']

35 Mot inconnu : linux => Pour bien fonctionner sous linux cette machine nécessite un kernel 5.6 minimum (lancement correct mais chaleur du GPU mal gérée) voire **5.8 (chaleur bien gérée)**. | linux
35 Mot inconnu : kernel => Pour bien fonctionner sous linux cette machine nécessite un kernel 5.6 minimum (lancement correct mais chaleur du GPU mal gérée) voire **5.8 (chaleur bien gérée)**. | kernel
35 Mot inconnu : GPU => Pour bien fonctionner sous linux cette machine nécessite un kernel 5.6 minimum (lancement correct mais chaleur du GPU mal gérée) voire **5.8 (chaleur bien gérée)**. | gpu

37 Guillemets typographiques ouvrants. => **Donc commencer par installer Ubuntu "classiquement" puis suivre les étapes ci-dessous. | " => suggestions : ['«\xa0', '“']
37 Guillemets typographiques fermants. => **Donc commencer par installer Ubuntu "classiquement" puis suivre les étapes ci-dessous. | " => suggestions : ['\xa0»', '”']

44 Signe “supérieur ou égal”. => <note important>Utiliser un noyau >= 5.10.6 est largement conseillé.</note> | >= => suggestions : ['≥', '⩾']

46 Mot inconnu : OEM => Le système fonctionne assez correctement avec le noyau 5.6 OEM sauf en ce qui concerne la gestion de la chaleurs (ventilateurs qui tourneront à fond pour rien). De nombreuses fonctionnalités ont été ajoutées à partir de la version 5.8 du noyau (notamment de gestion d'énergie et de l'architecture Renoir d'AMD) qu'il est donc conseillé d'utiliser. | oem
46 Accord de nombre erroné : « chaleurs » devrait être au singulier. => Le système fonctionne assez correctement avec le noyau 5.6 OEM sauf en ce qui concerne la gestion de la chaleurs (ventilateurs qui tourneront à fond pour rien). De nombreuses fonctionnalités ont été ajoutées à partir de la version 5.8 du noyau (notamment de gestion d'énergie et de l'architecture Renoir d'AMD) qu'il est donc conseillé d'utiliser. | chaleurs => suggestions : ['chaleur']

51 Signe “supérieur ou égal”. => ==== Ajout du noyau >= 5.10.6 (Recommandé) ==== | >= => suggestions : ['≥', '⩾']

53 Mot inconnu : bluetooth => <note tip> Il est conseillé d'utiliser un **noyau 5.10.6 (ou supérieur)** car entre les noyaux 5.8.18 et 5.10.5 le bluetooth ne fonctionne pas.\\ | bluetooth
63 Espace(s) surnuméraire(s) à supprimer. => === Méthode 1 : graphique   === |     => suggestions : [' ']

65 Mot inconnu : Mainline => Le logiciel **Ubuntu Mainline Kernel Installer** installable par un **ppa** permettra de faire l'installation et par la suite les mises à jour avec une interface graphique. | mainline
65 Mot inconnu : Kernel => Le logiciel **Ubuntu Mainline Kernel Installer** installable par un **ppa** permettra de faire l'installation et par la suite les mises à jour avec une interface graphique. | kernel

73 Mot inconnu : Mainline => Lancer **Ubuntu Mainline Kernel Installer** depuis le menu et installer la version 5.10.6 ou supérieure. | mainline
73 Mot inconnu : Kernel => Lancer **Ubuntu Mainline Kernel Installer** depuis le menu et installer la version 5.10.6 ou supérieure. | kernel
79 Espace(s) surnuméraire(s) à supprimer. => === Méthode 2 : avec un script   === |     => suggestions : [' ']
94 Espace(s) surnuméraire(s) à supprimer. => === Méthode 3 : manuelle   === |     => suggestions : [' ']

107 Typographie : points de suspension. Utilisez le caractère dédié. => ===== Ce qui fonctionne correctement ... ou pas  ===== | ... => suggestions : ['…']
107 Espace(s) surnuméraire(s) à supprimer. => ===== Ce qui fonctionne correctement ... ou pas  ===== |    => suggestions : [' ']

119 Mot inconnu : freeze => <note>Toutefois des problèmes de freeze ou de blocage à l'arrêt peuvent survenir mais des solutions sont proposées plus bas dans le dernier paragraphe. | freeze

121 Mot inconnu : auss => Des petites erreurs apparaissent auss dans les premiers instants après le démarrage mais elles semblent sans incidence.</note> | auss
121 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => Des petites erreurs apparaissent auss dans les premiers instants après le démarrage mais elles semblent sans incidence.</note> |  mais => suggestions : [', mais']

126 Mot inconnu : GPU => ===== Cartes graphiques/GPU  ===== | gpu
126 Espace(s) surnuméraire(s) à supprimer. => ===== Cartes graphiques/GPU  ===== |    => suggestions : [' ']

132 Accord de nombre erroné avec « trois utilisations » : « possible » devrait être au pluriel. => Il y a donc trois utilisations possible des deux processeurs GPU : | possible => suggestions : ['possibles']
132 Mot inconnu : GPU => Il y a donc trois utilisations possible des deux processeurs GPU : | gpu

137 Mot inconnu : GPU => **Par défaut c'est le GPU AMD seul qui est utilisé comme GPU**. | gpu
137 Mot inconnu : GPU => **Par défaut c'est le GPU AMD seul qui est utilisé comme GPU**. | gpu

139 Élision de l’article devant un mot commençant par une voyelle. => **Si vous voulez utiliser le eGPU Nvidia quelque soit la méthode il faut commencer par installer les pilotes correspondants (premier paragraphe ci dessous) puis choisir et appliquer une des méthodes décrites ci-dessus** (à la demande, switch, utilisation permanente du eGPU Nvidia). | le  => suggestions : ['l’']
139 Mot inconnu : eGPU => **Si vous voulez utiliser le eGPU Nvidia quelque soit la méthode il faut commencer par installer les pilotes correspondants (premier paragraphe ci dessous) puis choisir et appliquer une des méthodes décrites ci-dessus** (à la demande, switch, utilisation permanente du eGPU Nvidia). | egpu
139 Confusion : “quelque” est un déterminant. => **Si vous voulez utiliser le eGPU Nvidia quelque soit la méthode il faut commencer par installer les pilotes correspondants (premier paragraphe ci dessous) puis choisir et appliquer une des méthodes décrites ci-dessus** (à la demande, switch, utilisation permanente du eGPU Nvidia). | quelque soit => suggestions : ['quel que soit', 'quelle que soit', 'quels que soient', 'quelles que soient']
139 Il manque un trait d’union. => **Si vous voulez utiliser le eGPU Nvidia quelque soit la méthode il faut commencer par installer les pilotes correspondants (premier paragraphe ci dessous) puis choisir et appliquer une des méthodes décrites ci-dessus** (à la demande, switch, utilisation permanente du eGPU Nvidia). | ci dessous => suggestions : ['ci-dessous']
139 Mot inconnu : switch => **Si vous voulez utiliser le eGPU Nvidia quelque soit la méthode il faut commencer par installer les pilotes correspondants (premier paragraphe ci dessous) puis choisir et appliquer une des méthodes décrites ci-dessus** (à la demande, switch, utilisation permanente du eGPU Nvidia). | switch
139 Mot inconnu : eGPU => **Si vous voulez utiliser le eGPU Nvidia quelque soit la méthode il faut commencer par installer les pilotes correspondants (premier paragraphe ci dessous) puis choisir et appliquer une des méthodes décrites ci-dessus** (à la demande, switch, utilisation permanente du eGPU Nvidia). | egpu

144 Mot inconnu : FIXME => <note>FIXME EDIT d'un autre utilisateur : Après quelques essais récents il semblerait que le ventilateur se déclenche moins fréquemment avec le eGPU Nvidia enclenché en permanence. EDIT Réponse du créateur de la page : Mais alors ne fonctionne-t-il tout simplement pas tout le temps à moyenne puissance au lieu d'utiliser des puissances variables ? Et qu'en est-il de la consommation ?</note> | fixme
144 Mot inconnu : EDIT => <note>FIXME EDIT d'un autre utilisateur : Après quelques essais récents il semblerait que le ventilateur se déclenche moins fréquemment avec le eGPU Nvidia enclenché en permanence. EDIT Réponse du créateur de la page : Mais alors ne fonctionne-t-il tout simplement pas tout le temps à moyenne puissance au lieu d'utiliser des puissances variables ? Et qu'en est-il de la consommation ?</note> | edit
144 Élision de l’article devant un mot commençant par une voyelle. => <note>FIXME EDIT d'un autre utilisateur : Après quelques essais récents il semblerait que le ventilateur se déclenche moins fréquemment avec le eGPU Nvidia enclenché en permanence. EDIT Réponse du créateur de la page : Mais alors ne fonctionne-t-il tout simplement pas tout le temps à moyenne puissance au lieu d'utiliser des puissances variables ? Et qu'en est-il de la consommation ?</note> | le  => suggestions : ['l’']
144 Mot inconnu : eGPU => <note>FIXME EDIT d'un autre utilisateur : Après quelques essais récents il semblerait que le ventilateur se déclenche moins fréquemment avec le eGPU Nvidia enclenché en permanence. EDIT Réponse du créateur de la page : Mais alors ne fonctionne-t-il tout simplement pas tout le temps à moyenne puissance au lieu d'utiliser des puissances variables ? Et qu'en est-il de la consommation ?</note> | egpu
144 Mot inconnu : EDIT => <note>FIXME EDIT d'un autre utilisateur : Après quelques essais récents il semblerait que le ventilateur se déclenche moins fréquemment avec le eGPU Nvidia enclenché en permanence. EDIT Réponse du créateur de la page : Mais alors ne fonctionne-t-il tout simplement pas tout le temps à moyenne puissance au lieu d'utiliser des puissances variables ? Et qu'en est-il de la consommation ?</note> | edit

148 Élision de l’article devant un mot commençant par une voyelle. => <note important>L'installation doit être faite à partir d'une configuration neuve et propre de ubuntu 20.04 (aucun fichier xorg modifié, etc...) | de  => suggestions : ['d’']
148 Mot inconnu : xorg => <note important>L'installation doit être faite à partir d'une configuration neuve et propre de ubuntu 20.04 (aucun fichier xorg modifié, etc...) | xorg
148 Un seul point après « etc. » => <note important>L'installation doit être faite à partir d'une configuration neuve et propre de ubuntu 20.04 (aucun fichier xorg modifié, etc...) | etc... => suggestions : ['etc.']

150 Il manque un trait d’union si “même” se rapporte à “elle”. => Cette installation est un préambule à l'utilisation de la carte graphique Nvidia. Voir paragraphe suivant pour l'utilisation en elle même.</note> | elle même => suggestions : ['elle-même']

152 Mot inconnu : nvidia => Le driver nvidia en version 440 installé par défaut n'est pas suffisamment à jour pour cette machine et ne donnera pas toutes les fonctionnalités attendues. Il faut impérativement installer une **version >= 450 par ppa**. | nvidia
152 Accord de genre erroné avec « version ». => Le driver nvidia en version 440 installé par défaut n'est pas suffisamment à jour pour cette machine et ne donnera pas toutes les fonctionnalités attendues. Il faut impérativement installer une **version >= 450 par ppa**. | installé => suggestions : ['installée']
152 Signe “supérieur ou égal”. => Le driver nvidia en version 440 installé par défaut n'est pas suffisamment à jour pour cette machine et ne donnera pas toutes les fonctionnalités attendues. Il faut impérativement installer une **version >= 450 par ppa**. | >= => suggestions : ['≥', '⩾']

158 Guillemets typographiques ouvrants. => Vérifier que la version "recommandée" est bien supérieure à 450 avec : | " => suggestions : ['«\xa0', '“']
158 Guillemets typographiques fermants. => Vérifier que la version "recommandée" est bien supérieure à 450 avec : | " => suggestions : ['\xa0»', '”']

193 Mot inconnu : iGPU => ==== Utilisation simultanée du iGPU intégré au processeur AMD et du eGPU Nvidia "à la demande" ==== | igpu
193 Mot inconnu : eGPU => ==== Utilisation simultanée du iGPU intégré au processeur AMD et du eGPU Nvidia "à la demande" ==== | egpu
193 Guillemets typographiques ouvrants. => ==== Utilisation simultanée du iGPU intégré au processeur AMD et du eGPU Nvidia "à la demande" ==== | " => suggestions : ['«\xa0', '“']
193 Guillemets typographiques fermants. => ==== Utilisation simultanée du iGPU intégré au processeur AMD et du eGPU Nvidia "à la demande" ==== | " => suggestions : ['\xa0»', '”']

196 Mot inconnu : Render => La version 450 du pilote fournit directement un outil appelé **PRIME Render Offload** qui rend obsolète toutes autres et nombreuses solutions développées précédemment ([[Bumblebee]], etc...).\\ | render
196 Mot inconnu : Offload => La version 450 du pilote fournit directement un outil appelé **PRIME Render Offload** qui rend obsolète toutes autres et nombreuses solutions développées précédemment ([[Bumblebee]], etc...).\\ | offload
