
15 Mot inconnu : xx => GNOME Shell (versions 3.xx) a plusieurs particularités notables : | xx

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * avec X11, il peut être redémarré en cours d'utilisation (faites Alt+F2 et tapez "r") ; |    => suggestions : ['']
17 Typographie des composés chimiques. =>   * avec X11, il peut être redémarré en cours d'utilisation (faites Alt+F2 et tapez "r") ; | f2 => suggestions : ['F₂']
17 Mot inconnu : F2 =>   * avec X11, il peut être redémarré en cours d'utilisation (faites Alt+F2 et tapez "r") ; | f2
17 Guillemets typographiques ouvrants. =>   * avec X11, il peut être redémarré en cours d'utilisation (faites Alt+F2 et tapez "r") ; | " => suggestions : ['«\xa0', '“']
17 Guillemets typographiques fermants. =>   * avec X11, il peut être redémarré en cours d'utilisation (faites Alt+F2 et tapez "r") ; | " => suggestions : ['\xa0»', '”']
22 Guillemets typographiques ouvrants. => Le problème sera moins destructeur en utilisant le protocole X11 ("GNOME sur Xorg" ou "Ubuntu") plutôt que Wayland.</note> | " => suggestions : ['«\xa0', '“']
22 Mot inconnu : Xorg => Le problème sera moins destructeur en utilisant le protocole X11 ("GNOME sur Xorg" ou "Ubuntu") plutôt que Wayland.</note> | xorg
22 Guillemets typographiques fermants. => Le problème sera moins destructeur en utilisant le protocole X11 ("GNOME sur Xorg" ou "Ubuntu") plutôt que Wayland.</note> | " => suggestions : ['\xa0»', '”']
22 Guillemets typographiques ouvrants. => Le problème sera moins destructeur en utilisant le protocole X11 ("GNOME sur Xorg" ou "Ubuntu") plutôt que Wayland.</note> | " => suggestions : ['«\xa0', '“']
22 Guillemets typographiques fermants. => Le problème sera moins destructeur en utilisant le protocole X11 ("GNOME sur Xorg" ou "Ubuntu") plutôt que Wayland.</note> | " => suggestions : ['\xa0»', '”']

24 Typographie des composés chimiques. => <note>En cas de bug mineur, simplement redémarrer l'interface (Alt+F2 et "r") est souvent une bonne idée. | f2 => suggestions : ['F₂']
24 Mot inconnu : F2 => <note>En cas de bug mineur, simplement redémarrer l'interface (Alt+F2 et "r") est souvent une bonne idée. | f2
24 Guillemets typographiques ouvrants. => <note>En cas de bug mineur, simplement redémarrer l'interface (Alt+F2 et "r") est souvent une bonne idée. | " => suggestions : ['«\xa0', '“']
24 Guillemets typographiques fermants. => <note>En cas de bug mineur, simplement redémarrer l'interface (Alt+F2 et "r") est souvent une bonne idée. | " => suggestions : ['\xa0»', '”']

33 Ce verbe devrait être un participe passé au masculin singulier. => Si les extensions n'ont pas toutes démarrées avec le système, faites Alt+F2 et tapez "r". | démarrées => suggestions : ['démarré']
33 Typographie des composés chimiques. => Si les extensions n'ont pas toutes démarrées avec le système, faites Alt+F2 et tapez "r". | f2 => suggestions : ['F₂']
33 Mot inconnu : F2 => Si les extensions n'ont pas toutes démarrées avec le système, faites Alt+F2 et tapez "r". | f2
33 Guillemets typographiques ouvrants. => Si les extensions n'ont pas toutes démarrées avec le système, faites Alt+F2 et tapez "r". | " => suggestions : ['«\xa0', '“']
33 Guillemets typographiques fermants. => Si les extensions n'ont pas toutes démarrées avec le système, faites Alt+F2 et tapez "r". | " => suggestions : ['\xa0»', '”']

37 Confusion probable. Écrivez “là” si vous voulez dire “ici”. => ==== Lenteur de la l'affichage ou de la navigation ==== | la => suggestions : ['là']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le pilote de carte graphique utilisé (notamment avec les cartes NVidia) peut également avoir un lourd impact (voir la partie dédiée). |    => suggestions : ['']
41 Mot inconnu : NVidia =>   * Le pilote de carte graphique utilisé (notamment avec les cartes NVidia) peut également avoir un lourd impact (voir la partie dédiée). | nvidia

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vérifiez qu'aucune [[extensions-gnome|extension]] inhibant le coin actif ne soit active. |    => suggestions : ['']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vérifiez que le problème vient bien du coin actif et pas simplement de l'ordinateur qui rame (pressez la touche Super afin de tester si la vue des activités fonctionne). |    => suggestions : ['']

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://help.gnome.org/admin/gdm/stable/troubleshooting.html.fr |    => suggestions : ['']

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://help.ubuntu.com/community/Troubleshooting#Desktop_Environments |    => suggestions : ['']

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://wiki.archlinux.org/index.php/GNOME/Troubleshooting |    => suggestions : ['']

71 Une de ces ponctuations est superflue. => , ...// | , . => suggestions : [',', '.']
71 Typographie : points de suspension. Utilisez le caractère dédié. => , ...// | ... => suggestions : ['…']
