
5 Mot inconnu : Stardict => ====== Stardict ====== | stardict

7 Mot inconnu : StarDict => StarDict est une interface permettant de consulter des dictionnaires hors-ligne et des outils de traduction en ligne depuis la version 3.0. C'est un logiciel libre distribué sous licence GPL et disponible pour Linux, Windows, FreeBSD et Solaris. | stardict
7 Mot inconnu : Solaris => StarDict est une interface permettant de consulter des dictionnaires hors-ligne et des outils de traduction en ligne depuis la version 3.0. C'est un logiciel libre distribué sous licence GPL et disponible pour Linux, Windows, FreeBSD et Solaris. | solaris

9 Mot inconnu : StarDict => StarDict ne comporte à la base aucun dictionnaire. Il faut les installer soi-même. | stardict

11 Mot inconnu : Stardict => Stardict va utiliser ces fichiers de traduction grâce à une interface en 3 zones. La zone du haut permet de saisir un mot à traduire, celle de gauche est une liste de mots se rapprochant de celui saisi, et celle principale, affiche les résultats des différents dictionnaires sélectionnés.\\ | stardict

13 Mot inconnu : stardict-editor => Enfin, avec des outils comme stardict-editor, présent dans le paquet **[[apt>stardict-tools]]**, il permet de modifier, voire de créer des dictionnaires. | stardict-editor
13 Mot inconnu : stardict-tools => Enfin, avec des outils comme stardict-editor, présent dans le paquet **[[apt>stardict-tools]]**, il permet de modifier, voire de créer des dictionnaires. | stardict-tools

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <note warning> Etre dans une version   ubuntu antérieure à la version 20.04 LTS (FOCAL ) https://www.ubuntuupdates.org/package/core/focal/universe/base/stardict</note> |    => suggestions : ['']
21 Mot inconnu : Etre =>   <note warning> Etre dans une version   ubuntu antérieure à la version 20.04 LTS (FOCAL ) https://www.ubuntuupdates.org/package/core/focal/universe/base/stardict</note> | etre
21 Espace(s) surnuméraire(s) à supprimer. =>   <note warning> Etre dans une version   ubuntu antérieure à la version 20.04 LTS (FOCAL ) https://www.ubuntuupdates.org/package/core/focal/universe/base/stardict</note> |     => suggestions : [' ']
21 Mot inconnu : LTS =>   <note warning> Etre dans une version   ubuntu antérieure à la version 20.04 LTS (FOCAL ) https://www.ubuntuupdates.org/package/core/focal/universe/base/stardict</note> | lts
