
5 Mot inconnu : Caja => ====== Caja ====== | caja

9 Mot inconnu : Caja => En plus de gérer les icônes du bureau MATE, Caja permet de parcourir les dossiers sur les disques (locaux ou à distance), de prévisualiser les fichiers et de les ouvrir en lançant les applications associées avec eux. | caja

12 Mot inconnu : Caja => ^ Caja 1.18.1 ^ | caja

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vue : organiser l'agencement **par défaut** des fichiers/dossiers à l'écran (icônes/listes, niveau de zoom, etc.). La **vue compacte** permet de perdre moins d'espace vide entre les items ; |    => suggestions : ['']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Comportement : comportement à l'ouverture des dossiers, au lancement des exécutables et lors de la suppression d'items ; |    => suggestions : ['']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Affichage : afficher certaines propriétés des fichiers en plus de leurs noms ; |    => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Colonnes des listes : choisir les colonnes présentes lors de la vue en liste, ainsi que leur ordre ; |    => suggestions : ['']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Aperçu : gérer finement l'affichage des miniatures et des aperçus pour les divers types de fichiers ; |    => suggestions : ['']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Supports : action à effectuer lors de l'insertion de périphériques externes ; |    => suggestions : ['']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Extensions : //Caja// inclut par défaut plusieurs extensions permettant d'y ajouter des fonctionnalités. Cette section permet d'en (dés)activer. Par défaut, on a : |    => suggestions : ['']
33 Mot inconnu : Caja =>   * Extensions : //Caja// inclut par défaut plusieurs extensions permettant d'y ajouter des fonctionnalités. Cette section permet d'en (dés)activer. Par défaut, on a : | caja
33 Il manque un espace après la parenthèse. =>   * Extensions : //Caja// inclut par défaut plusieurs extensions permettant d'y ajouter des fonctionnalités. Cette section permet d'en (dés)activer. Par défaut, on a : | ) => suggestions : [') ']

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Engrampa (permet de (dé)compresser les fichiers depuis le clic-droit) ; |      => suggestions : ['']
34 Mot inconnu : Engrampa =>     * Engrampa (permet de (dé)compresser les fichiers depuis le clic-droit) ; | engrampa
34 Il manque un espace après la parenthèse. =>     * Engrampa (permet de (dé)compresser les fichiers depuis le clic-droit) ; | ) => suggestions : [') ']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Folder-color (permet de changer la couleur des dossiers avec les thèmes d'icônes qui le permettent) ; |      => suggestions : ['']
35 Mot inconnu : Folder-color =>     * Folder-color (permet de changer la couleur des dossiers avec les thèmes d'icônes qui le permettent) ; | folder-color

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Envoyer à (intégration du client mail Thunderbird et du client de chat Pidgin) ; |      => suggestions : ['']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Fond d'écran (permet de définir le fond d'écran d'un simple clic-droit) ; |      => suggestions : ['']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Propriétés Atril. |      => suggestions : ['']
38 Mot inconnu : Atril =>     * Propriétés Atril. | atril

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Barre d'outils ; |    => suggestions : ['']

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Panneau latéral (à gauche, avec par défaut les emplacements favoris et les périphériques) ; |    => suggestions : ['']

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Barre d'emplacement ;  |    => suggestions : ['']
48 Espace(s) en fin de ligne à supprimer. =>   * Barre d'emplacement ;  |   => suggestions : ['']

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Barre d'état ; |    => suggestions : ['']

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Panneau supplémentaire (ça permet d'avoir 2 dossiers ouverts dans la même fenêtre !), accessible en appuyant sur "F3" |    => suggestions : ['']
50 Guillemets typographiques ouvrants. =>   * Panneau supplémentaire (ça permet d'avoir 2 dossiers ouverts dans la même fenêtre !), accessible en appuyant sur "F3" | " => suggestions : ['«\xa0', '“']
50 Mot inconnu : F3 =>   * Panneau supplémentaire (ça permet d'avoir 2 dossiers ouverts dans la même fenêtre !), accessible en appuyant sur "F3" | f3
50 Guillemets typographiques fermants. =>   * Panneau supplémentaire (ça permet d'avoir 2 dossiers ouverts dans la même fenêtre !), accessible en appuyant sur "F3" | " => suggestions : ['\xa0»', '”']

52 Mot inconnu : CB => ~CB~ | cb

61 Guillemets typographiques ouvrants. => Le menu "Aller à" permet de rejoindre rapidement vos dossiers essentiels, mais il contient aussi une gestion de l'historique ! | " => suggestions : ['«\xa0', '“']
61 Guillemets typographiques fermants. => Le menu "Aller à" permet de rejoindre rapidement vos dossiers essentiels, mais il contient aussi une gestion de l'historique ! | " => suggestions : ['\xa0»', '”']
61 Incohérence : “à” est une préposition. “permet” est un verbe conjugué. => Le menu "Aller à" permet de rejoindre rapidement vos dossiers essentiels, mais il contient aussi une gestion de l'historique ! | permet => suggestions : []

63 Guillemets typographiques ouvrants. => Le menu "Signets" permet lui de définir un ensemble de "favoris" et d'y accéder. | " => suggestions : ['«\xa0', '“']
