
4 Mot inconnu : gcalctool [[5:14]] => =====gcalctool===== <|> gcalctool

8 Accord de nombre erroné avec « 2 » : « Calculatrice » devrait être au pluriel. [[20:32]] => Calculatrice 3.10.2 Calculatrice avec des modes financiers et scientifiques. <|> calculatrice => suggestions : Calculatrices

14 Mot inconnu : galculator [[5:15]] => =====galculator===== <|> galculator

15 Mot inconnu : galculator [[0:10]] => galculator 2.1.3 a GTK+ based scientific calculator <|> galculator
15 Mot inconnu : based [[24:29]] => galculator 2.1.3 a GTK+ based scientific calculator <|> based
15 Mot inconnu : scientific [[30:40]] => galculator 2.1.3 a GTK+ based scientific calculator <|> scientific
15 Mot inconnu : calculator [[41:51]] => galculator 2.1.3 a GTK+ based scientific calculator <|> calculator

19 Mot inconnu : rpn [[7:10]] => option rpn pour les amateurs de calculatrice Hewlett Packard <|> rpn
19 Mot inconnu : Hewlett [[45:52]] => option rpn pour les amateurs de calculatrice Hewlett Packard <|> hewlett
19 Mot inconnu : Packard [[53:60]] => option rpn pour les amateurs de calculatrice Hewlett Packard <|> packard

23 Mot inconnu : hexa [[22:26]] => choix décimal binaire hexa octal qui marche bien sans ajouter de signe qui encombre l'affichage <|> hexa

25 Mot inconnu : grpn [[5:9]] => =====grpn===== <|> grpn

26 Mot inconnu : grpn [[0:4]] => grpn 1.1.2 <|> grpn

28 Mot inconnu : RPN [[13:16]] => calculatrice RPN qui marche bien mais a une lacune : pas de copier coller : impossible de copier un résultat pour le coller dans un  texte ... ni l'inverse copier une donnée ailleurs pour coller dans la calculatrice : donc aussi bête qu'une calculatrice complètement indépendante de l'ordinateur <|> rpn
28 Espace(s) surnuméraire(s) à supprimer. [[131:133]] => calculatrice RPN qui marche bien mais a une lacune : pas de copier coller : impossible de copier un résultat pour le coller dans un  texte ... ni l'inverse copier une donnée ailleurs pour coller dans la calculatrice : donc aussi bête qu'une calculatrice complètement indépendante de l'ordinateur <|>    => suggestions :  
28 Typographie : points de suspension. Utilisez le caractère dédié. [[139:142]] => calculatrice RPN qui marche bien mais a une lacune : pas de copier coller : impossible de copier un résultat pour le coller dans un  texte ... ni l'inverse copier une donnée ailleurs pour coller dans la calculatrice : donc aussi bête qu'une calculatrice complètement indépendante de l'ordinateur <|> ... => suggestions : …

30 Mot inconnu : ctrl [[0:4]] => ctrl+C ferme la calculatrice <|> ctrl

32 Mot inconnu : SpeedCrunch [[5:16]] => =====SpeedCrunch===== <|> speedcrunch

34 Accord de nombre erroné avec « les calculs » : « précédent » devrait être au pluriel. [[12:21]] => les calculs précédent restent visibles : on ne voit pas comment les sélectionner pour les coller dans le presse papier : la sélection par la souris n'a pas l'air de marcher ... il suffit de cliquer dessus et faire ctrl+C ... même si le clic ne fait apparemment rien ça sélectionne quand même le résultat qui sera copié <|> précédent => suggestions : précédents
34 Il manque probablement un trait d’union. [[105:118]] => les calculs précédent restent visibles : on ne voit pas comment les sélectionner pour les coller dans le presse papier : la sélection par la souris n'a pas l'air de marcher ... il suffit de cliquer dessus et faire ctrl+C ... même si le clic ne fait apparemment rien ça sélectionne quand même le résultat qui sera copié <|> presse papier => suggestions : presse-papier
34 Typographie : points de suspension. Utilisez le caractère dédié. [[173:176]] => les calculs précédent restent visibles : on ne voit pas comment les sélectionner pour les coller dans le presse papier : la sélection par la souris n'a pas l'air de marcher ... il suffit de cliquer dessus et faire ctrl+C ... même si le clic ne fait apparemment rien ça sélectionne quand même le résultat qui sera copié <|> ... => suggestions : …
34 Mot inconnu : ctrl [[214:218]] => les calculs précédent restent visibles : on ne voit pas comment les sélectionner pour les coller dans le presse papier : la sélection par la souris n'a pas l'air de marcher ... il suffit de cliquer dessus et faire ctrl+C ... même si le clic ne fait apparemment rien ça sélectionne quand même le résultat qui sera copié <|> ctrl
34 Typographie : points de suspension. Utilisez le caractère dédié. [[221:224]] => les calculs précédent restent visibles : on ne voit pas comment les sélectionner pour les coller dans le presse papier : la sélection par la souris n'a pas l'air de marcher ... il suffit de cliquer dessus et faire ctrl+C ... même si le clic ne fait apparemment rien ça sélectionne quand même le résultat qui sera copié <|> ... => suggestions : …

37 Mot inconnu : Qalculate [[5:14]] => =====Qalculate===== <|> qalculate

40 Mot inconnu : Genius [[40:46]] => =====Outil mathématique et calculatrice Genius===== <|> genius

42 Mot inconnu : KCalc [[5:10]] => =====KCalc===== <|> kcalc

44 Mot inconnu : calculator [[13:23]] => =====digital calculator===== <|> calculator

45 Mot inconnu : Handy [[0:5]] => Handy calculator ... bizarrerie de la logithèque ubuntu gratuit mais à acheter... <|> handy
45 Mot inconnu : calculator [[6:16]] => Handy calculator ... bizarrerie de la logithèque ubuntu gratuit mais à acheter... <|> calculator
45 Typographie : points de suspension. Utilisez le caractère dédié. [[17:20]] => Handy calculator ... bizarrerie de la logithèque ubuntu gratuit mais à acheter... <|> ... => suggestions : …
45 Typographie : points de suspension. Utilisez le caractère dédié. [[78:81]] => Handy calculator ... bizarrerie de la logithèque ubuntu gratuit mais à acheter... <|> ... => suggestions : …

47 Mot inconnu : mate-calc [[5:14]] => =====mate-calc===== <|> mate-calc
