
5 Mot inconnu : Frostwire => ====== Frostwire : client pour Gnutella====== | frostwire
5 Mot inconnu : Gnutella => ====== Frostwire : client pour Gnutella====== | gnutella

9 Mot inconnu : FrostWire => **FrostWire** est un client d'échange de fichiers pair-à-pair ([[P2P]]). Il permet de rechercher, de télécharger et de mettre à disposition en téléchargement libre de nombreux fichiers de divers types à travers le réseau d'échange //Gnutella//. Il faut savoir qu'il prend également en charge le protocole torrent. | frostwire
9 Mot inconnu : Gnutella => **FrostWire** est un client d'échange de fichiers pair-à-pair ([[P2P]]). Il permet de rechercher, de télécharger et de mettre à disposition en téléchargement libre de nombreux fichiers de divers types à travers le réseau d'échange //Gnutella//. Il faut savoir qu'il prend également en charge le protocole torrent. | gnutella

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

32 Mot inconnu : FIXME => FIXME | fixme

37 Mot inconnu : FrostWire => Faites Ctrl + O pour l’enregistrer (vous remarquez que [Format DOS] précède le nom du fichier), changez le format en faisant Alt + D ([Format DOS] disparaît) et appuyez sur Entrée pour enregistrer le fichier. Vous pouvez à présent démarrer FrostWire.    | frostwire
37 Espace(s) en fin de ligne à supprimer. => Faites Ctrl + O pour l’enregistrer (vous remarquez que [Format DOS] précède le nom du fichier), changez le format en faisant Alt + D ([Format DOS] disparaît) et appuyez sur Entrée pour enregistrer le fichier. Vous pouvez à présent démarrer FrostWire.    |     => suggestions : ['']

45 Mot inconnu : JRE => Il s'agirait d'un bug dans le JRE qui ne sait pas trop quoi faire avec Beryl/Compiz ! | jre
45 Mot inconnu : Beryl => Il s'agirait d'un bug dans le JRE qui ne sait pas trop quoi faire avec Beryl/Compiz ! | beryl
45 Mot inconnu : Compiz => Il s'agirait d'un bug dans le JRE qui ne sait pas trop quoi faire avec Beryl/Compiz ! | compiz

51 Mot inconnu : Beryl => Note si la première solution et si vous avez Beryl ou Compiz activé, vous allez avoir un écran gris. Pour résoudre ce problème créer un fichier par ex lunch_frostwire. Puis mettez dans le fichier : | beryl
51 Mot inconnu : Compiz => Note si la première solution et si vous avez Beryl ou Compiz activé, vous allez avoir un écran gris. Pour résoudre ce problème créer un fichier par ex lunch_frostwire. Puis mettez dans le fichier : | compiz
51 Mot inconnu : lunch_frostwire => Note si la première solution et si vous avez Beryl ou Compiz activé, vous allez avoir un écran gris. Pour résoudre ce problème créer un fichier par ex lunch_frostwire. Puis mettez dans le fichier : | lunch_frostwire
