5 Mot inconnu : the [[24:27]] => ====== Utilisation de « the Qemu emulator » ====== <|> the
5 Mot inconnu : Qemu [[28:32]] => ====== Utilisation de « the Qemu emulator » ====== <|> qemu
5 Mot inconnu : emulator [[33:41]] => ====== Utilisation de « the Qemu emulator » ====== <|> emulator

8 Mot inconnu : Qemu [[2:6]] => **Qemu** émule tout, y compris le microprocesseur, c'est pourquoi il est souvent plus lent que le système hôte. Cependant, la virtualisation vous permet de rentabiliser le temps processeur libre en multipliant les OS.  D'autre part, c'est une très bonne manière d'examiner une distribution sans devoir réinstaller, formater ou partitionner.  <|> qemu
8 Espace(s) surnuméraire(s) à supprimer. [[217:219]] => **Qemu** émule tout, y compris le microprocesseur, c'est pourquoi il est souvent plus lent que le système hôte. Cependant, la virtualisation vous permet de rentabiliser le temps processeur libre en multipliant les OS.  D'autre part, c'est une très bonne manière d'examiner une distribution sans devoir réinstaller, formater ou partitionner.  <|>    => suggestions : None
8 Espace(s) en fin de ligne à supprimer. [[340:341]] => **Qemu** émule tout, y compris le microprocesseur, c'est pourquoi il est souvent plus lent que le système hôte. Cependant, la virtualisation vous permet de rentabiliser le temps processeur libre en multipliant les OS.  D'autre part, c'est une très bonne manière d'examiner une distribution sans devoir réinstaller, formater ou partitionner.  <|>   => suggestions : None
10 Mot inconnu : kqemu [[28:33]] =>   * une extension, nommée **kqemu**, qui vous permettra d'accélérer sensiblement les performances de cet émulateur grâce à des techniques plus avancées indépendamment de votre processeur. <|> kqemu

18 Mot inconnu : qemu [[22:26]] => ===== Installation de qemu ===== <|> qemu

21 Mot inconnu : raring [[10:16]] => ou depuis raring <|> raring

24 Guillemets typographiques ouvrants. [[50:51]] => <note important>:-P Sous Ubuntu 14.04 la commande "qemu" ne fonctionne pas il faut utiliser "qemu-system-i386" ou "qemu-system-x86_64" ou créer le lien comme ci-dessous.</note> <|> " => suggestions : None
24 Mot inconnu : qemu [[51:55]] => <note important>:-P Sous Ubuntu 14.04 la commande "qemu" ne fonctionne pas il faut utiliser "qemu-system-i386" ou "qemu-system-x86_64" ou créer le lien comme ci-dessous.</note> <|> qemu
24 Guillemets typographiques fermants. [[55:56]] => <note important>:-P Sous Ubuntu 14.04 la commande "qemu" ne fonctionne pas il faut utiliser "qemu-system-i386" ou "qemu-system-x86_64" ou créer le lien comme ci-dessous.</note> <|> " => suggestions : None
24 Guillemets typographiques ouvrants. [[92:93]] => <note important>:-P Sous Ubuntu 14.04 la commande "qemu" ne fonctionne pas il faut utiliser "qemu-system-i386" ou "qemu-system-x86_64" ou créer le lien comme ci-dessous.</note> <|> " => suggestions : None
24 Mot inconnu : qemu-system-i386 [[93:109]] => <note important>:-P Sous Ubuntu 14.04 la commande "qemu" ne fonctionne pas il faut utiliser "qemu-system-i386" ou "qemu-system-x86_64" ou créer le lien comme ci-dessous.</note> <|> qemu-system-i386
24 Guillemets typographiques fermants. [[109:110]] => <note important>:-P Sous Ubuntu 14.04 la commande "qemu" ne fonctionne pas il faut utiliser "qemu-system-i386" ou "qemu-system-x86_64" ou créer le lien comme ci-dessous.</note> <|> " => suggestions : None
24 Guillemets typographiques ouvrants. [[114:115]] => <note important>:-P Sous Ubuntu 14.04 la commande "qemu" ne fonctionne pas il faut utiliser "qemu-system-i386" ou "qemu-system-x86_64" ou créer le lien comme ci-dessous.</note> <|> " => suggestions : None
24 Mot inconnu : qemu-system-x86_64 [[115:133]] => <note important>:-P Sous Ubuntu 14.04 la commande "qemu" ne fonctionne pas il faut utiliser "qemu-system-i386" ou "qemu-system-x86_64" ou créer le lien comme ci-dessous.</note> <|> qemu-system-x86_64
24 Guillemets typographiques fermants. [[133:134]] => <note important>:-P Sous Ubuntu 14.04 la commande "qemu" ne fonctionne pas il faut utiliser "qemu-system-i386" ou "qemu-system-x86_64" ou créer le lien comme ci-dessous.</note> <|> " => suggestions : None

25 Guillemets typographiques ouvrants. [[123:124]] => Pour obtenir une compatibilité avec des scripts ou des commandes déjà existantes, il est nécessaire de recréer la commande "qemu" en fonction de votre architecture avec : <|> " => suggestions : None
25 Mot inconnu : qemu [[124:128]] => Pour obtenir une compatibilité avec des scripts ou des commandes déjà existantes, il est nécessaire de recréer la commande "qemu" en fonction de votre architecture avec : <|> qemu
25 Guillemets typographiques fermants. [[128:129]] => Pour obtenir une compatibilité avec des scripts ou des commandes déjà existantes, il est nécessaire de recréer la commande "qemu" en fonction de votre architecture avec : <|> " => suggestions : None

33 Mot inconnu : LiveCD [[36:42]] => Téléchargez donc une image ISO d'un LiveCD (DSL par exemple qui est très compacte, moins de 50 Mo, ou bien sûr Ubuntu pour faire des tests avec quelques minutes d'attente pour le démarrage dans la machine virtuelle !). <|> livecd
33 Mot inconnu : DSL [[44:47]] => Téléchargez donc une image ISO d'un LiveCD (DSL par exemple qui est très compacte, moins de 50 Mo, ou bien sûr Ubuntu pour faire des tests avec quelques minutes d'attente pour le démarrage dans la machine virtuelle !). <|> dsl
33 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[92:97]] => Téléchargez donc une image ISO d'un LiveCD (DSL par exemple qui est très compacte, moins de 50 Mo, ou bien sûr Ubuntu pour faire des tests avec quelques minutes d'attente pour le démarrage dans la machine virtuelle !). <|> 50 mo => suggestions : None

