
3 Mot inconnu : tmpfs => ====== tmpfs ====== | tmpfs

5 Mot inconnu : tmpfs => <note warning>L'utilisation de la commande tmpfs peut aboutir à des pertes de données en cas de mauvaise manipulation, prenez le temps de bien comprendre ce système et ses implications !</note> | tmpfs

7 Mot inconnu : tmpfs => ===== Présentation de tmpfs ===== | tmpfs

9 Mot inconnu : Tmpfs => Tmpfs est intégré directement dans le noyau Linux depuis la version 2.6 | tmpfs

10 Il manque les traits d’union. => (c'est à dire qu'il est disponible dans toutes les versions d'ubuntu supportés officiellement). | c'est à dire => suggestions : ['c’est-à-dire']

12 Mot inconnu : ramdisk => Il remplace les commandes de création de **ramdisk**, et offre l'avantage de redonner la mémoire vive aux systèmes d'exploitations en cas de non utilisation de celle-ci. | ramdisk

14 Mot inconnu : RAMDisk => Un **RAMDisk** ou un volume Tmpfs dans ce cas présent est un espace dans la mémoire vive qui est utilisé pour stocker des fichiers temporairement (en effet le volume est vidé à chaque arrêt du système). | ramdisk
14 Mot inconnu : Tmpfs => Un **RAMDisk** ou un volume Tmpfs dans ce cas présent est un espace dans la mémoire vive qui est utilisé pour stocker des fichiers temporairement (en effet le volume est vidé à chaque arrêt du système). | tmpfs

16 Mot inconnu : tmpfs => Un tmpfs est donc idéal pour stocker les fichiers temporaires de votre ordinateur. Ces fichiers temporaires sont des fichiers qui sont, par exemple, créés puis effacés lors de l'extraction d'un fichier compressé, lors d'une mise à jour, etc ... | tmpfs
16 Typographie : points de suspension. Utilisez le caractère dédié. => Un tmpfs est donc idéal pour stocker les fichiers temporaires de votre ordinateur. Ces fichiers temporaires sont des fichiers qui sont, par exemple, créés puis effacés lors de l'extraction d'un fichier compressé, lors d'une mise à jour, etc ... | ... => suggestions : ['…']

20 Mot inconnu : Tmpfs => Tmpfs permet de créer un espace de stockage dans la mémoire vive, Il y a plusieurs conséquences : | tmpfs

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * __**Tous les fichiers seront effacés dès le prochain redémarrage ou après une coupure de courant !**__ (En utilisation pour des fichiers temporaires l'inconvénient devient ici un avantage, car les fichiers seront purgés même si le programme oublie de le faire !) |    => suggestions : ['']
21 Mot inconnu : __ =>   * __**Tous les fichiers seront effacés dès le prochain redémarrage ou après une coupure de courant !**__ (En utilisation pour des fichiers temporaires l'inconvénient devient ici un avantage, car les fichiers seront purgés même si le programme oublie de le faire !) | __
21 Mot inconnu : __ =>   * __**Tous les fichiers seront effacés dès le prochain redémarrage ou après une coupure de courant !**__ (En utilisation pour des fichiers temporaires l'inconvénient devient ici un avantage, car les fichiers seront purgés même si le programme oublie de le faire !) | __

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Vitesse d'accès aux fichiers accrue**. |    => suggestions : ['']
22 Accord de genre erroné entre « fichiers » et « accrue ». =>   * **Vitesse d'accès aux fichiers accrue**. | accrue => suggestions : ['accrus']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Économie de consommation électrique. |    => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Baisse de l'usure des disques (surtout pour les SSD). |    => suggestions : ['']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Baisse des coûts d'accès aux disques lors ceux-ci sont payants (par exemple pour les disques réseaux EBS d'Amazon) |    => suggestions : ['']
25 Mot inconnu : EBS =>   * Baisse des coûts d'accès aux disques lors ceux-ci sont payants (par exemple pour les disques réseaux EBS d'Amazon) | ebs

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * tmpfs, si la RAM est pleine, vient automatiquement s'écrire sur le disque dur dans la partition "swap" ce qui permet de ne pas impacter les performances si le PC a besoin de toute votre RAM |    => suggestions : ['']
26 Mot inconnu : tmpfs =>   * tmpfs, si la RAM est pleine, vient automatiquement s'écrire sur le disque dur dans la partition "swap" ce qui permet de ne pas impacter les performances si le PC a besoin de toute votre RAM | tmpfs
26 Guillemets typographiques ouvrants. =>   * tmpfs, si la RAM est pleine, vient automatiquement s'écrire sur le disque dur dans la partition "swap" ce qui permet de ne pas impacter les performances si le PC a besoin de toute votre RAM | " => suggestions : ['«\xa0', '“']
26 Guillemets typographiques fermants. =>   * tmpfs, si la RAM est pleine, vient automatiquement s'écrire sur le disque dur dans la partition "swap" ce qui permet de ne pas impacter les performances si le PC a besoin de toute votre RAM | " => suggestions : ['\xa0»', '”']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * un tmpfs de 1 GO ne prendra 1 GO de place dans la RAM que s'il est plein, en effet il ne prendra que la place des fichiers qu'il contient. |    => suggestions : ['']
27 Mot inconnu : tmpfs =>   * un tmpfs de 1 GO ne prendra 1 GO de place dans la RAM que s'il est plein, en effet il ne prendra que la place des fichiers qu'il contient. | tmpfs
27 Si “GO” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * un tmpfs de 1 GO ne prendra 1 GO de place dans la RAM que s'il est plein, en effet il ne prendra que la place des fichiers qu'il contient. | 1 go => suggestions : ['1\xa0GO']
27 Si “GO” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * un tmpfs de 1 GO ne prendra 1 GO de place dans la RAM que s'il est plein, en effet il ne prendra que la place des fichiers qu'il contient. | 1 go => suggestions : ['1\xa0GO']

31 Mot inconnu : tmpfs => ==== Mettre /tmp en tmpfs ==== | tmpfs

33 Mot inconnu : tmpfs => C'est le but même de tmpfs à l'origine ! | tmpfs

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   tmpfs /tmp tmpfs defaults,size=32M 0 0 |    => suggestions : ['']
37 Mot inconnu : tmpfs =>   tmpfs /tmp tmpfs defaults,size=32M 0 0 | tmpfs
37 Mot inconnu : tmpfs =>   tmpfs /tmp tmpfs defaults,size=32M 0 0 | tmpfs
37 Mot inconnu : defaults =>   tmpfs /tmp tmpfs defaults,size=32M 0 0 | defaults
37 Il manque un espace. =>   tmpfs /tmp tmpfs defaults,size=32M 0 0 | size => suggestions : [' size']
37 Mot inconnu : size =>   tmpfs /tmp tmpfs defaults,size=32M 0 0 | size

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

41 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => <note important>N'hésitez pas à adapter à vos besoins l'espace en Mio (ici 32) dévolu à /tmp. En effet certains programmes demanderont plus d'espace.\\ Et avant une mise à niveau - qui exige **beaucoup** plus de 32 Mio - commentez (ou supprimez) cette ligne et redémarrez. |  -  => suggestions : [' – ', ' — ', ' − ']
