
4 Mot inconnu : Lacie [[7:12]] => ====== Lacie Safe Mobile Drive sous Ubuntu Dapper ====== <|> lacie
4 Mot inconnu : Safe [[13:17]] => ====== Lacie Safe Mobile Drive sous Ubuntu Dapper ====== <|> safe

10 Mot inconnu : Safe [[26:30]] => Pour faire fonctionner le Safe Mobile Drive, il vous faut un peu d'observation... <|> safe
10 Typographie : points de suspension. Utilisez le caractère dédié. [[78:81]] => Pour faire fonctionner le Safe Mobile Drive, il vous faut un peu d'observation... <|> ... => suggestions : None

12 Il manque un trait d’union. [[32:40]] => Lorsque l'on branche le disque, celui ci s'allume en rouge... Puis juste après en rouge et vert. <|> celui ci => suggestions : None
12 Typographie : points de suspension. Utilisez le caractère dédié. [[58:61]] => Lorsque l'on branche le disque, celui ci s'allume en rouge... Puis juste après en rouge et vert. <|> ... => suggestions : None
14 Mot inconnu : led [[84:87]] => C'est ce moment qui est important : Il faut alors passer votre doigt PENDANT que la led est en Rouge et Vert. En effet, le disque va détecter votre doigt et passer en vert. <|> led
16 Typographie : points de suspension. Utilisez le caractère dédié. [[134:137]] => Si le disque passe en rouge, c'est que votre doigt n'a pas été reconnu (Attention, on ne peut pas enregistrer d'empreinte depuis linux...). <|> ... => suggestions : None

18 Mot inconnu : etre [[39:43]] => Une fois le disque reconnu, il devrait etre monté par ubuntu. Si ce n'est pas le cas, un petit <|> etre

21 Mot inconnu : ext [[68:71]] => Devrait suffire. Votre disque sera alors monté au répertoire /media/ext. <|> ext

23 Mot inconnu : tjs [[15:18]] => //Si vous avez tjs des problèmes, tentez un // <|> tjs

27 Mot inconnu : embete [[91:97]] => La suite, si tout cela fonctionne, est de faire en sorte de blacklister le module qui nous embete... Pour cela :// <|> embete
27 Typographie : points de suspension. Utilisez le caractère dédié. [[97:100]] => La suite, si tout cela fonctionne, est de faire en sorte de blacklister le module qui nous embete... Pour cela :// <|> ... => suggestions : None

31 Guillemets typographiques ouvrants. [[74:75]] => //En cas de problèmes, effacer /etc/modprobe.d/blacklist-ehci et relancez "update-initramfs" <|> " => suggestions : None
31 Mot inconnu : update-initramfs [[75:91]] => //En cas de problèmes, effacer /etc/modprobe.d/blacklist-ehci et relancez "update-initramfs" <|> update-initramfs
31 Guillemets typographiques fermants. [[91:92]] => //En cas de problèmes, effacer /etc/modprobe.d/blacklist-ehci et relancez "update-initramfs" <|> " => suggestions : None

32 Incohérence probable avec “avoir” : “aider” n’est pas un participe passé. [[23:28]] => En espérant vous avoir aider!// <|> aider => suggestions : None
