
4 Mot inconnu : OCS => ====== OCS Inventory  ====== | ocs
4 Mot inconnu : Inventory => ====== OCS Inventory  ====== | inventory
4 Espace(s) surnuméraire(s) à supprimer. => ====== OCS Inventory  ====== |    => suggestions : [' ']

6 Mot inconnu : and => **Open Computer and Software Inventory Next Generation** est une application conçue pour aider les administrateurs systèmes ou réseau à  suivre les configurations matériels et les logiciels sur le réseau. **Il peut aussi déployer des paquets sur des postes Windows ou Linux.** | and
6 Mot inconnu : Inventory => **Open Computer and Software Inventory Next Generation** est une application conçue pour aider les administrateurs systèmes ou réseau à  suivre les configurations matériels et les logiciels sur le réseau. **Il peut aussi déployer des paquets sur des postes Windows ou Linux.** | inventory
6 Mot inconnu : Next => **Open Computer and Software Inventory Next Generation** est une application conçue pour aider les administrateurs systèmes ou réseau à  suivre les configurations matériels et les logiciels sur le réseau. **Il peut aussi déployer des paquets sur des postes Windows ou Linux.** | next
6 Mot inconnu : Generation => **Open Computer and Software Inventory Next Generation** est une application conçue pour aider les administrateurs systèmes ou réseau à  suivre les configurations matériels et les logiciels sur le réseau. **Il peut aussi déployer des paquets sur des postes Windows ou Linux.** | generation
6 Espace(s) surnuméraire(s) à supprimer. => **Open Computer and Software Inventory Next Generation** est une application conçue pour aider les administrateurs systèmes ou réseau à  suivre les configurations matériels et les logiciels sur le réseau. **Il peut aussi déployer des paquets sur des postes Windows ou Linux.** |    => suggestions : [' ']
6 Accord de genre erroné entre « configurations » et « matériels ». => **Open Computer and Software Inventory Next Generation** est une application conçue pour aider les administrateurs systèmes ou réseau à  suivre les configurations matériels et les logiciels sur le réseau. **Il peut aussi déployer des paquets sur des postes Windows ou Linux.** | matériels => suggestions : ['matérielles']

9 Espace(s) surnuméraire(s) à supprimer. => Le dialogue entre les postes clients et le serveur de gestion est basé sur des standards actuels, les protocoles  HTTP/HTTPS et le format de donnée XML |    => suggestions : [' ']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Le client d'inventaire fonctionne sous  Microsoft Windows 95/98/Me/NT4/2000/XP/2003/Vista ou Linux. Des contributions existent aussi pour    Sun Solaris, *BSD, IBM AIX 5.X, HP-UX et Mac OS X. |   => suggestions : ['']
11 Espace(s) surnuméraire(s) à supprimer. =>  Le client d'inventaire fonctionne sous  Microsoft Windows 95/98/Me/NT4/2000/XP/2003/Vista ou Linux. Des contributions existent aussi pour    Sun Solaris, *BSD, IBM AIX 5.X, HP-UX et Mac OS X. |    => suggestions : [' ']
11 Mot inconnu : NT4 =>  Le client d'inventaire fonctionne sous  Microsoft Windows 95/98/Me/NT4/2000/XP/2003/Vista ou Linux. Des contributions existent aussi pour    Sun Solaris, *BSD, IBM AIX 5.X, HP-UX et Mac OS X. | nt4
11 Mot inconnu : XP =>  Le client d'inventaire fonctionne sous  Microsoft Windows 95/98/Me/NT4/2000/XP/2003/Vista ou Linux. Des contributions existent aussi pour    Sun Solaris, *BSD, IBM AIX 5.X, HP-UX et Mac OS X. | xp
11 Mot inconnu : Vista =>  Le client d'inventaire fonctionne sous  Microsoft Windows 95/98/Me/NT4/2000/XP/2003/Vista ou Linux. Des contributions existent aussi pour    Sun Solaris, *BSD, IBM AIX 5.X, HP-UX et Mac OS X. | vista
11 Espace(s) surnuméraire(s) à supprimer. =>  Le client d'inventaire fonctionne sous  Microsoft Windows 95/98/Me/NT4/2000/XP/2003/Vista ou Linux. Des contributions existent aussi pour    Sun Solaris, *BSD, IBM AIX 5.X, HP-UX et Mac OS X. |      => suggestions : [' ']
11 Mot inconnu : Sun =>  Le client d'inventaire fonctionne sous  Microsoft Windows 95/98/Me/NT4/2000/XP/2003/Vista ou Linux. Des contributions existent aussi pour    Sun Solaris, *BSD, IBM AIX 5.X, HP-UX et Mac OS X. | sun
11 Mot inconnu : Solaris =>  Le client d'inventaire fonctionne sous  Microsoft Windows 95/98/Me/NT4/2000/XP/2003/Vista ou Linux. Des contributions existent aussi pour    Sun Solaris, *BSD, IBM AIX 5.X, HP-UX et Mac OS X. | solaris
11 Mot inconnu : HP-UX =>  Le client d'inventaire fonctionne sous  Microsoft Windows 95/98/Me/NT4/2000/XP/2003/Vista ou Linux. Des contributions existent aussi pour    Sun Solaris, *BSD, IBM AIX 5.X, HP-UX et Mac OS X. | hp-ux

