
3 Mot inconnu : Network [[7:14]] => ====== Network Direct Attached Storage (NDAS) ====== <|> network
3 Mot inconnu : Attached [[22:30]] => ====== Network Direct Attached Storage (NDAS) ====== <|> attached
3 Mot inconnu : Storage [[31:38]] => ====== Network Direct Attached Storage (NDAS) ====== <|> storage
3 Mot inconnu : NDAS [[40:44]] => ====== Network Direct Attached Storage (NDAS) ====== <|> ndas
7 Mot inconnu : LPX [[214:217]] => Le disque ainsi installé n'est accessible qu'aux ordinateurs du réseau local auquel il est branché. En particulier, son contenu n'est pas accessible « à distance », c’est-à-dire depuis l'internet, car le protocole LPX n'est pas routable. <|> lpx
7 Mot inconnu : routable [[228:236]] => Le disque ainsi installé n'est accessible qu'aux ordinateurs du réseau local auquel il est branché. En particulier, son contenu n'est pas accessible « à distance », c’est-à-dire depuis l'internet, car le protocole LPX n'est pas routable. <|> routable

16 Mot inconnu : ndas [[62:66]] => Installation des paquets requis pour la compilation du module ndas sont: <|> ndas
17 Mot inconnu : dpkg-dev [[8:16]] =>   *     dpkg-dev <|> dpkg-dev
18 Mot inconnu : debhelper [[8:17]] =>   *     debhelper <|> debhelper
19 Mot inconnu : gcc [[8:11]] =>   *     gcc <|> gcc
20 Mot inconnu : bzip2 [[8:13]] =>   *     bzip2 <|> bzip2
21 Mot inconnu : fakeroot [[8:16]] =>   *     fakeroot <|> fakeroot
23 Mot inconnu : libc6-dev [[8:17]] =>   *     libc6-dev <|> libc6-dev
24 Mot inconnu : build-essential [[8:23]] =>   *     build-essential <|> build-essential

33 Mot inconnu : Ximeta [[59:65]] => Téléchargement et décompression des sources depuis le site Ximeta <|> ximeta

42 Mot inconnu : kernel [[8:14]] => Pour le kernel 2.6.27, vous trouverez les fichiers de patch Linux2.6.27.patch dans le dossier ndas-1.1-24 du CD d'installation ou sur le site https://github.com/iocellnetworks mais vous pouvez passez cette étape elle a l'air facultative dans la documentation. <|> kernel
42 Mot inconnu : Linux2 [[60:66]] => Pour le kernel 2.6.27, vous trouverez les fichiers de patch Linux2.6.27.patch dans le dossier ndas-1.1-24 du CD d'installation ou sur le site https://github.com/iocellnetworks mais vous pouvez passez cette étape elle a l'air facultative dans la documentation. <|> linux2
42 Mot inconnu : ndas-1 [[94:100]] => Pour le kernel 2.6.27, vous trouverez les fichiers de patch Linux2.6.27.patch dans le dossier ndas-1.1-24 du CD d'installation ou sur le site https://github.com/iocellnetworks mais vous pouvez passez cette étape elle a l'air facultative dans la documentation. <|> ndas-1
42 S’il s’agit d’une action que le sujet peut accomplir, le verbe devrait être à l’infinitif. [[193:199]] => Pour le kernel 2.6.27, vous trouverez les fichiers de patch Linux2.6.27.patch dans le dossier ndas-1.1-24 du CD d'installation ou sur le site https://github.com/iocellnetworks mais vous pouvez passez cette étape elle a l'air facultative dans la documentation. <|> passez => suggestions : ['passer']

43 Mot inconnu : kernel [[8:14]] => Pour le kernel 3.13.0 ou supérieur passez cette étape.   <|> kernel
43 Espace(s) en fin de ligne à supprimer. [[54:56]] => Pour le kernel 3.13.0 ou supérieur passez cette étape.   <|>    => suggestions : ['']

51 Mot inconnu : debian [[24:30]] => Compilation des paquets debian. <|> debian

58 Espace(s) en fin de ligne à supprimer. [[25:26]] => Installations des paquets  <|>   => suggestions : ['']

66 Mot inconnu : kernel [[29:35]] => Après chaque mise à jours du kernel, il est nécessaire d'exécuter la commande suivante: <|> kernel

85 Mot inconnu : NDAS [[46:50]] => ==== Enregistrement d'un nouveau périphérique NDAS ==== <|> ndas

87 Mot inconnu : NDAS [[50:54]] => Vous pouvez trouver généralement l'identificateur NDAS (NDAS ID) et le mots de passe NDAS (NDAS KEY) à l'arrière du disque réseau. <|> ndas
87 Mot inconnu : NDAS [[56:60]] => Vous pouvez trouver généralement l'identificateur NDAS (NDAS ID) et le mots de passe NDAS (NDAS KEY) à l'arrière du disque réseau. <|> ndas
87 Accord de nombre erroné : « mots » est au pluriel. [[68:70]] => Vous pouvez trouver généralement l'identificateur NDAS (NDAS ID) et le mots de passe NDAS (NDAS KEY) à l'arrière du disque réseau. <|> le => suggestions : ['les']
87 Accord de nombre erroné : « mots » devrait être au singulier. [[71:75]] => Vous pouvez trouver généralement l'identificateur NDAS (NDAS ID) et le mots de passe NDAS (NDAS KEY) à l'arrière du disque réseau. <|> mots => suggestions : ['mot']
87 Mot inconnu : NDAS [[85:89]] => Vous pouvez trouver généralement l'identificateur NDAS (NDAS ID) et le mots de passe NDAS (NDAS KEY) à l'arrière du disque réseau. <|> ndas
87 Mot inconnu : NDAS [[91:95]] => Vous pouvez trouver généralement l'identificateur NDAS (NDAS ID) et le mots de passe NDAS (NDAS KEY) à l'arrière du disque réseau. <|> ndas
87 Mot inconnu : KEY [[96:99]] => Vous pouvez trouver généralement l'identificateur NDAS (NDAS ID) et le mots de passe NDAS (NDAS KEY) à l'arrière du disque réseau. <|> key

89 Mot inconnu : NDAS [[0:4]] => NDAS ID (20 caractères) et NDAS KEY (5 caractères). <|> ndas
89 Mot inconnu : NDAS [[27:31]] => NDAS ID (20 caractères) et NDAS KEY (5 caractères). <|> ndas
89 Mot inconnu : KEY [[32:35]] => NDAS ID (20 caractères) et NDAS KEY (5 caractères). <|> key

101 Si vous parlez de la langue, pas de majuscule. [[29:36]] => Liens vers documentations en Anglais: <|> anglais => suggestions : ['anglais']
