
6 Mot inconnu : Gtypist => ====== Gtypist ====== | gtypist

8 Mot inconnu : Typist => GNU Typist (également appellé gtypist) est un logiciel d'apprentissage de la dactylographie sous licence GNU GPL. Il s'exécute via une console ou un terminal et son interface est en mode texte exclusivement. | typist
8 Mot inconnu : appellé => GNU Typist (également appellé gtypist) est un logiciel d'apprentissage de la dactylographie sous licence GNU GPL. Il s'exécute via une console ou un terminal et son interface est en mode texte exclusivement. | appellé
8 Mot inconnu : gtypist => GNU Typist (également appellé gtypist) est un logiciel d'apprentissage de la dactylographie sous licence GNU GPL. Il s'exécute via une console ou un terminal et son interface est en mode texte exclusivement. | gtypist

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

23 Guillemets typographiques ouvrants. => La liste des leçons s'affiche, utiliser les flèches directionnelles du clavier pour vous déplacer et choisir la leçon. Les leçons spécifiques au clavier AZERTY français se trouvent sous la rubrique "More lessons..." et sont au nombre de 2: **ktfr.typ** et **ktfr2.typ** (version 2.8.3). | " => suggestions : ['«\xa0', '“']
23 Mot inconnu : lessons => La liste des leçons s'affiche, utiliser les flèches directionnelles du clavier pour vous déplacer et choisir la leçon. Les leçons spécifiques au clavier AZERTY français se trouvent sous la rubrique "More lessons..." et sont au nombre de 2: **ktfr.typ** et **ktfr2.typ** (version 2.8.3). | lessons
23 Typographie : points de suspension. Utilisez le caractère dédié. => La liste des leçons s'affiche, utiliser les flèches directionnelles du clavier pour vous déplacer et choisir la leçon. Les leçons spécifiques au clavier AZERTY français se trouvent sous la rubrique "More lessons..." et sont au nombre de 2: **ktfr.typ** et **ktfr2.typ** (version 2.8.3). | ... => suggestions : ['…']
23 Guillemets typographiques fermants. => La liste des leçons s'affiche, utiliser les flèches directionnelles du clavier pour vous déplacer et choisir la leçon. Les leçons spécifiques au clavier AZERTY français se trouvent sous la rubrique "More lessons..." et sont au nombre de 2: **ktfr.typ** et **ktfr2.typ** (version 2.8.3). | " => suggestions : ['\xa0»', '”']
23 Mot inconnu : ktfr => La liste des leçons s'affiche, utiliser les flèches directionnelles du clavier pour vous déplacer et choisir la leçon. Les leçons spécifiques au clavier AZERTY français se trouvent sous la rubrique "More lessons..." et sont au nombre de 2: **ktfr.typ** et **ktfr2.typ** (version 2.8.3). | ktfr
23 Mot inconnu : typ => La liste des leçons s'affiche, utiliser les flèches directionnelles du clavier pour vous déplacer et choisir la leçon. Les leçons spécifiques au clavier AZERTY français se trouvent sous la rubrique "More lessons..." et sont au nombre de 2: **ktfr.typ** et **ktfr2.typ** (version 2.8.3). | typ
23 Mot inconnu : ktfr2 => La liste des leçons s'affiche, utiliser les flèches directionnelles du clavier pour vous déplacer et choisir la leçon. Les leçons spécifiques au clavier AZERTY français se trouvent sous la rubrique "More lessons..." et sont au nombre de 2: **ktfr.typ** et **ktfr2.typ** (version 2.8.3). | ktfr2
23 Mot inconnu : typ => La liste des leçons s'affiche, utiliser les flèches directionnelles du clavier pour vous déplacer et choisir la leçon. Les leçons spécifiques au clavier AZERTY français se trouvent sous la rubrique "More lessons..." et sont au nombre de 2: **ktfr.typ** et **ktfr2.typ** (version 2.8.3). | typ

27 Mot inconnu : Gtypist => Gtypist vous propose une ou plusieurs lignes de caractères à reproduire, le but étant de faire le moins de fautes de frappe possible en un temps le plus réduit possible. | gtypist

35 Mot inconnu : Gtypist => Gtypist est simple d'emploi et d'une sobriété à toute épreuve... | gtypist
35 Typographie : points de suspension. Utilisez le caractère dédié. => Gtypist est simple d'emploi et d'une sobriété à toute épreuve... | ... => suggestions : ['…']
43 Mot inconnu : gtypist => Le fichier script par défaut se trouve dans : /usr/share/gtypist/ et se nomme gtypist.typ | gtypist
43 Mot inconnu : typ => Le fichier script par défaut se trouve dans : /usr/share/gtypist/ et se nomme gtypist.typ | typ

54 Mot inconnu : Gtypist => D'autres configurations sont possibles, veuillez vous reporter au manuel d'utilisation de Gtypist pour plus d'informations sur ce sujet. | gtypist

66 Mot inconnu : Gtypist => le manuel complet de Gtypist : | gtypist

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[http://www.gnu.org/software/gtypist/gtypist.fr.html|Site Officiel]] |    => suggestions : ['']
