
3 Mot inconnu : Chronopost => ======Installer Chronopost ComDevice sur Ubuntu====== | chronopost
3 Mot inconnu : ComDevice => ======Installer Chronopost ComDevice sur Ubuntu====== | comdevice

4 Guillemets typographiques ouvrants. => Pour certaines fonctions "avancées" du site chronopost ( comme l'import de fichiers d'envoi 8-O ) , les utilisateurs doivent installer un logiciel avec lequel le site web communique, ce logiciel n'est disponible que pour Windows et Mac ( au 12/09/19) . | " => suggestions : ['«\xa0', '“']
4 Guillemets typographiques fermants. => Pour certaines fonctions "avancées" du site chronopost ( comme l'import de fichiers d'envoi 8-O ) , les utilisateurs doivent installer un logiciel avec lequel le site web communique, ce logiciel n'est disponible que pour Windows et Mac ( au 12/09/19) . | " => suggestions : ['\xa0»', '”']
4 Mot inconnu : chronopost => Pour certaines fonctions "avancées" du site chronopost ( comme l'import de fichiers d'envoi 8-O ) , les utilisateurs doivent installer un logiciel avec lequel le site web communique, ce logiciel n'est disponible que pour Windows et Mac ( au 12/09/19) . | chronopost
4 Pas d’espace après ce signe. => Pour certaines fonctions "avancées" du site chronopost ( comme l'import de fichiers d'envoi 8-O ) , les utilisateurs doivent installer un logiciel avec lequel le site web communique, ce logiciel n'est disponible que pour Windows et Mac ( au 12/09/19) . | (  => suggestions : ['(']
4 Pas d’espace avant ce signe. => Pour certaines fonctions "avancées" du site chronopost ( comme l'import de fichiers d'envoi 8-O ) , les utilisateurs doivent installer un logiciel avec lequel le site web communique, ce logiciel n'est disponible que pour Windows et Mac ( au 12/09/19) . |  ) => suggestions : [')']
4 Pas d’espace avant une virgule. => Pour certaines fonctions "avancées" du site chronopost ( comme l'import de fichiers d'envoi 8-O ) , les utilisateurs doivent installer un logiciel avec lequel le site web communique, ce logiciel n'est disponible que pour Windows et Mac ( au 12/09/19) . |  , => suggestions : [',']
4 Pas d’espace après ce signe. => Pour certaines fonctions "avancées" du site chronopost ( comme l'import de fichiers d'envoi 8-O ) , les utilisateurs doivent installer un logiciel avec lequel le site web communique, ce logiciel n'est disponible que pour Windows et Mac ( au 12/09/19) . | (  => suggestions : ['(']

8 Guillemets typographiques ouvrants. => La méthode conseillée actuellement est "via portage linux". | " => suggestions : ['«\xa0', '“']
8 Mot inconnu : linux => La méthode conseillée actuellement est "via portage linux". | linux
8 Guillemets typographiques fermants. => La méthode conseillée actuellement est "via portage linux". | " => suggestions : ['\xa0»', '”']

15 Mot inconnu : doudz => doudz a porté Comdevice sur Linux :  | doudz
15 Mot inconnu : Comdevice => doudz a porté Comdevice sur Linux :  | comdevice
15 Espace(s) en fin de ligne à supprimer. => doudz a porté Comdevice sur Linux :  |   => suggestions : ['']

31 Mot inconnu : Playonlinux => ====Via Playonlinux==== | playonlinux

33 Mot inconnu : chronopost => Commencez par télécharger la version 32 bits de l'archive pour Windows sur le [[https://www.chronopost.fr/fr/telechargement-de-chronopost-comdevice|site de chronopost]].\\ | chronopost

36 Mot inconnu : Wine => Attention nous utilisons Wine en 32 bits donc installez bien **[[apt>libcups2:i386]]** pour que wine voit les imprimantes | wine
36 Mot inconnu : libcups2 => Attention nous utilisons Wine en 32 bits donc installez bien **[[apt>libcups2:i386]]** pour que wine voit les imprimantes | libcups2
36 Mot inconnu : wine => Attention nous utilisons Wine en 32 bits donc installez bien **[[apt>libcups2:i386]]** pour que wine voit les imprimantes | wine

78 Mot inconnu : Wine => ====Via Wine==== | wine

79 Mot inconnu : redaction => En cours de redaction ! | redaction

83 Mot inconnu : wine => Installer le logiciel qui se trouve dans le dossier de l'archive décompressée avec [[wine]] en double-cliquant dessus.  | wine
83 Espace(s) en fin de ligne à supprimer. => Installer le logiciel qui se trouve dans le dossier de l'archive décompressée avec [[wine]] en double-cliquant dessus.  |   => suggestions : ['']

84 Mot inconnu : Wine => Si ça ne s'ouvre pas avec Wine, alors faites un clic droit sur le logiciel, et choisissez **Ouvrir avec** puis Wine. | wine
84 Mot inconnu : Wine => Si ça ne s'ouvre pas avec Wine, alors faites un clic droit sur le logiciel, et choisissez **Ouvrir avec** puis Wine. | wine

90 Mot inconnu : Wine => Si installé via Wine, afin de pouvoir indiquer au logiciel chronopost d'imprimer en PDF , il vous faudra installer cette imprimante virtuelle :  | wine
90 Mot inconnu : chronopost => Si installé via Wine, afin de pouvoir indiquer au logiciel chronopost d'imprimer en PDF , il vous faudra installer cette imprimante virtuelle :  | chronopost
90 Pas d’espace avant une virgule. => Si installé via Wine, afin de pouvoir indiquer au logiciel chronopost d'imprimer en PDF , il vous faudra installer cette imprimante virtuelle :  |  , => suggestions : [',']
90 Espace(s) en fin de ligne à supprimer. => Si installé via Wine, afin de pouvoir indiquer au logiciel chronopost d'imprimer en PDF , il vous faudra installer cette imprimante virtuelle :  |   => suggestions : ['']
92 Mot inconnu : printer-driver-cups-pdf => **[[apt>printer-driver-cups-pdf | printer-driver-cups-pdf
