
5 Mot inconnu : KRename => ====== KRename ou comment renommer en masse avec KDE ====== | krename
5 Mot inconnu : KDE => ====== KRename ou comment renommer en masse avec KDE ====== | kde

9 Espace(s) surnuméraire(s) à supprimer. => Il permet de renommer des fichiers dans différents dossiers, difficile de faire un résumé de toutes  ses possibilités... |    => suggestions : [' ']
9 Typographie : points de suspension. Utilisez le caractère dédié. => Il permet de renommer des fichiers dans différents dossiers, difficile de faire un résumé de toutes  ses possibilités... | ... => suggestions : ['…']

11 Guillemets typographiques ouvrants. => Conclusion, c'est du "renommage de fichiers", venez donc lire la suite si ça vous intéresse :-). | " => suggestions : ['«\xa0', '“']
11 Guillemets typographiques fermants. => Conclusion, c'est du "renommage de fichiers", venez donc lire la suite si ça vous intéresse :-). | " => suggestions : ['\xa0»', '”']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **Kmenu -> Utilitaires -> KRename**. |     => suggestions : ['']
22 Mot inconnu : Kmenu =>    * **Kmenu -> Utilitaires -> KRename**. | kmenu
22 Mot inconnu : KRename =>    * **Kmenu -> Utilitaires -> KRename**. | krename

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Exécutez la commande **krename**. |     => suggestions : ['']
24 Mot inconnu : krename =>    * Exécutez la commande **krename**. | krename

32 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Les deux seront détaillés car le **mode classique** apporte quelques options pratiques. |  car => suggestions : [', car']

44 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - //**Ajouter des fichiers :**// | -  => suggestions : ['—\xa0', '–\xa0']

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **Les boutons :** Cliquez sur le bouton **Ajouter** ou **Ajouter des fichiers s'il vous plait** et sélectionnez les fichiers à renommer. |     => suggestions : ['']

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **Glisser-déposer :** Sélectionnez les fichiers à renommer et faites-les glisser sur la partie centrale de la fenêtre du logiciel. |     => suggestions : ['']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **Utilisation du menu action :** Si vous n'avez pas lancé **KRename**, vous pouvez faire plus simple.  |     => suggestions : ['']
51 Mot inconnu : KRename =>    * **Utilisation du menu action :** Si vous n'avez pas lancé **KRename**, vous pouvez faire plus simple.  | krename
51 Espace(s) en fin de ligne à supprimer. =>    * **Utilisation du menu action :** Si vous n'avez pas lancé **KRename**, vous pouvez faire plus simple.  |   => suggestions : ['']

53 Mot inconnu : Konqueror => <note tip>Sous Konqueror, sélectionnez vos fichiers à renommer > **Clic droit** sur un des fichiers > **Actions** > **Renommer avec Krename**. | konqueror
53 Mot inconnu : Krename => <note tip>Sous Konqueror, sélectionnez vos fichiers à renommer > **Clic droit** sur un des fichiers > **Actions** > **Renommer avec Krename**. | krename

54 Mot inconnu : KRename => Cela vous ouvre directement **KRename** avec la liste des fichiers à renommer :-).</note> | krename

56 Mot inconnu : KRename => <note tip>Vous pouvez également sélectionner des dossiers, **KRename** scannera leur contenu pour le renommer, ça c'est super pratique !</note> | krename

59 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - **//Retirer des fichiers ://** | -  => suggestions : ['—\xa0', '–\xa0']

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **2 :** Retirer uniquement le(s) fichier(s) sélectionné(s). |     => suggestions : ['']
62 Écriture invariable. Utilisez un point médian. =>    * **2 :** Retirer uniquement le(s) fichier(s) sélectionné(s). | fichier(s) => suggestions : ['fichier·s']
62 Écriture invariable. Utilisez un point médian. =>    * **2 :** Retirer uniquement le(s) fichier(s) sélectionné(s). | sélectionné(s) => suggestions : ['sélectionné·s']

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **3 :** Retirer toute la liste de fichier. |     => suggestions : ['']

67 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - **//Tri des fichiers ://** | -  => suggestions : ['—\xa0', '–\xa0']

72 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - **//Aperçu des fichiers ://** | -  => suggestions : ['—\xa0', '–\xa0']

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **1 :** Renommer tout simple des fichiers. Vos fichiers originaux sont donc renommés. |     => suggestions : ['']

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **2 :** Copier vos fichiers renommés dans un dossier de votre choix. Vos fichiers originaux ne sont donc pas modifiés. |     => suggestions : ['']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **3 :** Déplacer vos fichiers une fois renommés dans un dossier de votre choix. Vos fichiers originaux sont donc renommés et déplacés. |     => suggestions : ['']

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **4 :** Effacer les fichiers présents qui porteraient le même nom que vos fichiers renommés dans le cas d'une copie ou d'un déplacement dans un dossier. |     => suggestions : ['']

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **5 :** Créer un script qui sera capable de rendre les noms originaux à vos fichiers.  |     => suggestions : ['']
93 Espace(s) en fin de ligne à supprimer. =>    * **5 :** Créer un script qui sera capable de rendre les noms originaux à vos fichiers.  |   => suggestions : ['']

94 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    Cochez la case et indiquez l'emplacement pour sauvegarder le fichier. |     => suggestions : ['']

95 Mot inconnu : le_nom_du_script => >Pour utiliser le script, tapez **./le_nom_du_script.krename --krename** dans un terminal, il renomme directement tous les fichiers. | le_nom_du_script
95 Mot inconnu : krename => >Pour utiliser le script, tapez **./le_nom_du_script.krename --krename** dans un terminal, il renomme directement tous les fichiers. | krename
95 Mot inconnu : krename => >Pour utiliser le script, tapez **./le_nom_du_script.krename --krename** dans un terminal, il renomme directement tous les fichiers. | krename

102 Espace(s) surnuméraire(s) à supprimer. => Alors la fenêtre se décompose en  plusieurs parties : |    => suggestions : [' ']

104 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - //**Fenêtre supérieure gauche :**// | -  => suggestions : ['—\xa0', '–\xa0']

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **1 :** Ajoute du texte avant le nom du fichier, le menu déroulant propose d'ajouter la //date// ou des //nombres//. |     => suggestions : ['']

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **2 :** Ajoute du texte après le nom du fichier, le menu déroulant propose d'ajouter la //date// ou des //nombres//. |     => suggestions : ['']

110 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **3 :** |     => suggestions : ['']

111 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * //Utiliser le nom du fichier original// : conserve les noms des fichiers. |        => suggestions : ['']

112 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * //Convertir en minuscule/majuscule// : permet de convertir les noms en majuscule ou minuscule. |        => suggestions : ['']

113 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * //Mettre en lettres capitales// : permet de mettre une majuscule à la première lettre. |        => suggestions : ['']

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * //Nom personnalisé// : voilà le mode le plus important ! C'est lui qui permettra de choisir le nom que vous voulez pour vos fichiers ! |        => suggestions : ['']

116 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **4 :** Cela reprend les mêmes choix que pour le nom, mais les options modifient l'extension des fichiers //(ex : png, jpg, zip...)//. |     => suggestions : ['']
116 Typographie : points de suspension. Utilisez le caractère dédié. =>    * **4 :** Cela reprend les mêmes choix que pour le nom, mais les options modifient l'extension des fichiers //(ex : png, jpg, zip...)//. | ... => suggestions : ['…']

118 Guillemets typographiques ouvrants. => >**Exemple d'utilisation :** sur la ligne **Nombre**, dans //Nom personnalisé// j'inscris "Hizo_a_la_plage", et dans **Suffixe** je choisis //nombres//.  | " => suggestions : ['«\xa0', '“']
118 Mot inconnu : Hizo_a_la_plage => >**Exemple d'utilisation :** sur la ligne **Nombre**, dans //Nom personnalisé// j'inscris "Hizo_a_la_plage", et dans **Suffixe** je choisis //nombres//.  | hizo_a_la_plage
118 Guillemets typographiques fermants. => >**Exemple d'utilisation :** sur la ligne **Nombre**, dans //Nom personnalisé// j'inscris "Hizo_a_la_plage", et dans **Suffixe** je choisis //nombres//.  | " => suggestions : ['\xa0»', '”']
118 Espace(s) en fin de ligne à supprimer. => >**Exemple d'utilisation :** sur la ligne **Nombre**, dans //Nom personnalisé// j'inscris "Hizo_a_la_plage", et dans **Suffixe** je choisis //nombres//.  |   => suggestions : ['']
119 Mot inconnu : Hizo_a_la_plage1 => >Cela me donnera donc les fichiers : Hizo_a_la_plage1.jpg - Hizo_a_la_plage2.jpg... | hizo_a_la_plage1
119 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => >Cela me donnera donc les fichiers : Hizo_a_la_plage1.jpg - Hizo_a_la_plage2.jpg... |  -  => suggestions : [' – ', ' — ', ' − ']
119 Mot inconnu : Hizo_a_la_plage2 => >Cela me donnera donc les fichiers : Hizo_a_la_plage1.jpg - Hizo_a_la_plage2.jpg... | hizo_a_la_plage2
119 Typographie : points de suspension. Utilisez le caractère dédié. => >Cela me donnera donc les fichiers : Hizo_a_la_plage1.jpg - Hizo_a_la_plage2.jpg... | ... => suggestions : ['…']

122 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - **//Fenêtre supérieure droite ://** | -  => suggestions : ['—\xa0', '–\xa0']

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **5 :** Permet de choisir le nombre par lequel vous allez démarrer votre numérotation. |     => suggestions : ['']

126 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **6 :** Permet de choisir le nombre de chiffres à mettre. |     => suggestions : ['']

128 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) => >**Exemple d'utilisation :** 3 donnera 001 - 002.... |  -  => suggestions : [' – ', ' — ', ' − ', ' −']
128 Typographie : points de suspension. Utilisez le caractère dédié. => >**Exemple d'utilisation :** 3 donnera 001 - 002.... | .... => suggestions : ['…']

130 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **7 :** |     => suggestions : ['']
135 Mot inconnu : ok => >**Exemple d'utilisation :** //Trouver :// **_** ; //Remplacer par :// ** ** (espace) ; //ajouter// ;// ok//. | ok

138 Il manque un espace à côté du tiret. => L'option **Expression régulière** permet -normalement- de sauvegarder votre expression. |  - => suggestions : [' – ', ' — ']

140 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - //**Fenêtre inférieure :**// | -  => suggestions : ['—\xa0', '–\xa0']

158 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **Plugin de commande :** Permet d'exécuter une commande pour chaque fichier, après son changement de nom. |     => suggestions : ['']

160 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **Permissions :** Permet de modifier les permissions des fichiers //(lecture, écriture, exécution...)//. |     => suggestions : ['']
160 Typographie : points de suspension. Utilisez le caractère dédié. =>    * **Permissions :** Permet de modifier les permissions des fichiers //(lecture, écriture, exécution...)//. | ... => suggestions : ['…']

162 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **Date et heure :** Permet de choisir le date et l'heure de la dernière modification et celle du dernier accès. |     => suggestions : ['']
162 Accord de genre erroné : « date » est féminin. =>    * **Date et heure :** Permet de choisir le date et l'heure de la dernière modification et celle du dernier accès. | le => suggestions : ['la']
162 Accord de genre erroné : « le » est un déterminant masculin. =>    * **Date et heure :** Permet de choisir le date et l'heure de la dernière modification et celle du dernier accès. | date => suggestions : ['daté']

164 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **Plugin de répertoire :** Permet de créer des sous-dossiers  et de choisir le nombre de fichiers à mettre dedans après les avoir renommés. |     => suggestions : ['']
164 Espace(s) surnuméraire(s) à supprimer. =>    * **Plugin de répertoire :** Permet de créer des sous-dossiers  et de choisir le nombre de fichiers à mettre dedans après les avoir renommés. |    => suggestions : [' ']

166 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **Plugin de conversion de code de caractères :** Permet de convertir des noms de fichiers d'un code à un autre. |     => suggestions : ['']

168 Mot inconnu : iso-8859-15 => >**Exemple d'utilisation :** iso-8859-15 vers UTF-8. | iso-8859-15

170 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * **Transliteration Plugin :** transcrit des alphabets étrangers en caractères latins, par exemple "Спокойно, товарищ.ogg" est renommé "Spokojno, tovarish.ogg". |     => suggestions : ['']
170 Mot inconnu : Transliteration =>    * **Transliteration Plugin :** transcrit des alphabets étrangers en caractères latins, par exemple "Спокойно, товарищ.ogg" est renommé "Spokojno, tovarish.ogg". | transliteration
170 Guillemets typographiques ouvrants. =>    * **Transliteration Plugin :** transcrit des alphabets étrangers en caractères latins, par exemple "Спокойно, товарищ.ogg" est renommé "Spokojno, tovarish.ogg". | " => suggestions : ['«\xa0', '“']
170 Mot inconnu : Спокойно =>    * **Transliteration Plugin :** transcrit des alphabets étrangers en caractères latins, par exemple "Спокойно, товарищ.ogg" est renommé "Spokojno, tovarish.ogg". | спокойно
170 Mot inconnu : товарищ =>    * **Transliteration Plugin :** transcrit des alphabets étrangers en caractères latins, par exemple "Спокойно, товарищ.ogg" est renommé "Spokojno, tovarish.ogg". | товарищ
170 Guillemets typographiques fermants. =>    * **Transliteration Plugin :** transcrit des alphabets étrangers en caractères latins, par exemple "Спокойно, товарищ.ogg" est renommé "Spokojno, tovarish.ogg". | " => suggestions : ['\xa0»', '”']
170 Guillemets typographiques ouvrants. =>    * **Transliteration Plugin :** transcrit des alphabets étrangers en caractères latins, par exemple "Спокойно, товарищ.ogg" est renommé "Spokojno, tovarish.ogg". | " => suggestions : ['«\xa0', '“']
