
6 Mot inconnu : UDEV => ======UDEV : Comment ça marche ?====== | udev

10 Mot inconnu : UDEV => Comme vous l'aurez compris, ceci est un tutoriel sur UDEV. Il est très complet, il explique en détail le fonctionnement de la bête. Je vous conseille de ne pas le lire en diagonale: il contient beaucoup d'informations, toutes nécessaires pour faire fonctionner correctement vos règles. | udev

12 Accord de nombre erroné : « fichiers » devrait être au singulier. => En général une règle s'écrit en quelques lignes dans un fichiers ''.rules'' qui se trouve dans  /etc/udev/rules.d, mais nécessite beaucoup de rigueur pour qu'elle fonctionne.  | fichiers => suggestions : ['fichier']
12 Guillemets fermants. => En général une règle s'écrit en quelques lignes dans un fichiers ''.rules'' qui se trouve dans  /etc/udev/rules.d, mais nécessite beaucoup de rigueur pour qu'elle fonctionne.  |  '' => suggestions : ['\xa0»', '”']
12 Mot inconnu : rules => En général une règle s'écrit en quelques lignes dans un fichiers ''.rules'' qui se trouve dans  /etc/udev/rules.d, mais nécessite beaucoup de rigueur pour qu'elle fonctionne.  | rules
12 Guillemets typographiques fermants. => En général une règle s'écrit en quelques lignes dans un fichiers ''.rules'' qui se trouve dans  /etc/udev/rules.d, mais nécessite beaucoup de rigueur pour qu'elle fonctionne.  | '' => suggestions : ['\xa0»', '”']
12 Espace(s) surnuméraire(s) à supprimer. => En général une règle s'écrit en quelques lignes dans un fichiers ''.rules'' qui se trouve dans  /etc/udev/rules.d, mais nécessite beaucoup de rigueur pour qu'elle fonctionne.  |    => suggestions : [' ']
12 Espace(s) en fin de ligne à supprimer. => En général une règle s'écrit en quelques lignes dans un fichiers ''.rules'' qui se trouve dans  /etc/udev/rules.d, mais nécessite beaucoup de rigueur pour qu'elle fonctionne.  |   => suggestions : ['']
18 Mot inconnu : devfs => ====Terminologie: devfs, sysfs, nodes, etc.==== | devfs
18 Mot inconnu : sysfs => ====Terminologie: devfs, sysfs, nodes, etc.==== | sysfs
18 Mot inconnu : nodes => ====Terminologie: devfs, sysfs, nodes, etc.==== | nodes

