
3 Mot inconnu : Spyder => ====== Spyder / spyderlib====== | spyder
3 Mot inconnu : spyderlib => ====== Spyder / spyderlib====== | spyderlib

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée, pour le téléchargement de Spyder. |    => suggestions : ['']
13 Mot inconnu : Spyder =>   * Disposer d'une connexion à Internet configurée et activée, pour le téléchargement de Spyder. | spyder

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
26 Mot inconnu : Mwa => ((Maintenant, quand un pote viendra chez vous, vous pourrez vous la péter sérieusement en lui balançant la phrase : « Mwa, j'fais du Python, t'vois ? J'programme des trucs carrément déjantés. J'te cache pas qu'c'est long et <del>ultra compliqué</del>, mais on s'y fait. C'est ça, être développeur. »)) 8-) | mwa

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Général : |    => suggestions : ['']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Boîte de dialogue du gestionnaire PYTHONPATH similaire à MATLAB (fonctionne avec toutes les consoles) |      => suggestions : ['']
31 Mot inconnu : PYTHONPATH =>     * Boîte de dialogue du gestionnaire PYTHONPATH similaire à MATLAB (fonctionne avec toutes les consoles) | pythonpath
31 Mot inconnu : MATLAB =>     * Boîte de dialogue du gestionnaire PYTHONPATH similaire à MATLAB (fonctionne avec toutes les consoles) | matlab

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Liens directs vers la documentation (Python, Matplotlib, !NumPy, !Scipy, etc.) |      => suggestions : ['']
32 Mot inconnu : Matplotlib =>     * Liens directs vers la documentation (Python, Matplotlib, !NumPy, !Scipy, etc.) | matplotlib
32 Une de ces ponctuations est superflue. =>     * Liens directs vers la documentation (Python, Matplotlib, !NumPy, !Scipy, etc.) | , ! => suggestions : [',', '!']
32 Il manque un espace. =>     * Liens directs vers la documentation (Python, Matplotlib, !NumPy, !Scipy, etc.) | numpy => suggestions : [' NumPy']
32 Mot inconnu : NumPy =>     * Liens directs vers la documentation (Python, Matplotlib, !NumPy, !Scipy, etc.) | numpy
32 Une de ces ponctuations est superflue. =>     * Liens directs vers la documentation (Python, Matplotlib, !NumPy, !Scipy, etc.) | , ! => suggestions : [',', '!']
32 Il manque un espace. =>     * Liens directs vers la documentation (Python, Matplotlib, !NumPy, !Scipy, etc.) | scipy => suggestions : [' Scipy']
32 Mot inconnu : Scipy =>     * Liens directs vers la documentation (Python, Matplotlib, !NumPy, !Scipy, etc.) | scipy

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Liens directs vers le lanceur Python(x,y) |      => suggestions : ['']
33 Il manque un espace avant la parenthèse. =>     * Liens directs vers le lanceur Python(x,y) | ( => suggestions : [' (']
33 Il manque un espace. =>     * Liens directs vers le lanceur Python(x,y) | y => suggestions : [' y']

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Liens directs vers !QtDesigner, !QtLinguist et !QtAssistant (documentation Qt) |      => suggestions : ['']
34 Il manque un espace. =>     * Liens directs vers !QtDesigner, !QtLinguist et !QtAssistant (documentation Qt) | qtdesigner => suggestions : [' QtDesigner']
34 Mot inconnu : QtDesigner =>     * Liens directs vers !QtDesigner, !QtLinguist et !QtAssistant (documentation Qt) | qtdesigner
34 Une de ces ponctuations est superflue. =>     * Liens directs vers !QtDesigner, !QtLinguist et !QtAssistant (documentation Qt) | , ! => suggestions : [',', '!']
34 Il manque un espace. =>     * Liens directs vers !QtDesigner, !QtLinguist et !QtAssistant (documentation Qt) | qtlinguist => suggestions : [' QtLinguist']
34 Mot inconnu : QtLinguist =>     * Liens directs vers !QtDesigner, !QtLinguist et !QtAssistant (documentation Qt) | qtlinguist
34 Il manque un espace. =>     * Liens directs vers !QtDesigner, !QtLinguist et !QtAssistant (documentation Qt) | qtassistant => suggestions : [' QtAssistant']
34 Mot inconnu : QtAssistant =>     * Liens directs vers !QtDesigner, !QtLinguist et !QtAssistant (documentation Qt) | qtassistant

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Boîte de dialogue des préférences : |    => suggestions : ['']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Raccourcis clavier |      => suggestions : ['']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Plans de coloration syntaxique (éditeur de source, historique, inspecteur d'objets) |      => suggestions : ['']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Console : couleur d'arrière-plan (noir / blanc), auto-complétion du code, etc. |      => suggestions : ['']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Et bien plus... |      => suggestions : ['']
39 Typographie : points de suspension. Utilisez le caractère dédié. =>     * Et bien plus... | ... => suggestions : ['…']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Éditeur : |    => suggestions : ['']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Coloration syntaxique (Python, C / C++, Fortran) |      => suggestions : ['']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Points d'arrêt points d'arrêt à condition (débogueur : pdb) |      => suggestions : ['']
42 Mot inconnu : pdb =>     * Points d'arrêt points d'arrêt à condition (débogueur : pdb) | pdb

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Lancer ou déboguer des scripts Python (voir caractéristiques de la console) |      => suggestions : ['']

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Lancer la boîte de dialogue de configuration : |      => suggestions : ['']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Répertoire de travail |      => suggestions : ['']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Options de la ligne de commande |      => suggestions : ['']

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Lancer dans un nouvel interprète Python ou un interprète Python existant ou un client IPython |      => suggestions : ['']
47 Mot inconnu : IPython =>     * Lancer dans un nouvel interprète Python ou un interprète Python existant ou un client IPython | ipython

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Options de la ligne de commande de l'interprète Python |      => suggestions : ['']

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Explorateur de code : fonctions, classes, statuts if / else / try / ... |      => suggestions : ['']
49 Mot inconnu : else =>     * Explorateur de code : fonctions, classes, statuts if / else / try / ... | else
49 Mot inconnu : try =>     * Explorateur de code : fonctions, classes, statuts if / else / try / ... | try
49 Typographie : points de suspension. Utilisez le caractère dédié. =>     * Explorateur de code : fonctions, classes, statuts if / else / try / ... | ... => suggestions : ['…']

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Puissante introspection du code (fonctionne avec rope) : |      => suggestions : ['']
50 Mot inconnu : rope =>     * Puissante introspection du code (fonctionne avec rope) : | rope

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Auto-complétion |      => suggestions : ['']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Astuces |      => suggestions : ['']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Aller à une définition d'objet (n'importe quel type d'objet : fonction, classe, attribut, etc.) en appuyant sur Ctrl + Clic gauche sur un mot ou Ctrl + G (raccourci par défaut) |      => suggestions : ['']

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Surlignement |      => suggestions : ['']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Aide à la frappe (optionnel) : |      => suggestions : ['']

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Insertion automatique de parenthèses fermantes, d'accolades et de crochets |      => suggestions : ['']

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Dés-indentation automatique après ‘else’, ‘elif’, ‘finally’, etc. |      => suggestions : ['']
57 Mot inconnu : else =>     * Dés-indentation automatique après ‘else’, ‘elif’, ‘finally’, etc. | else
57 Mot inconnu : elif =>     * Dés-indentation automatique après ‘else’, ‘elif’, ‘finally’, etc. | elif
57 Mot inconnu : finally =>     * Dés-indentation automatique après ‘else’, ‘elif’, ‘finally’, etc. | finally

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Listes to-do (TODO, FlXME, XXX) |      => suggestions : ['']
58 Mot inconnu : to-do =>     * Listes to-do (TODO, FlXME, XXX) | to-do
58 Mot inconnu : TODO =>     * Listes to-do (TODO, FlXME, XXX) | todo
58 Mot inconnu : FlXME =>     * Listes to-do (TODO, FlXME, XXX) | flxme

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Erreurs / Avertissements (analyse en temps réel du code via pyflakes) |      => suggestions : ['']
59 Mot inconnu : pyflakes =>     * Erreurs / Avertissements (analyse en temps réel du code via pyflakes) | pyflakes

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Analyse intégrée du code `pylint` |      => suggestions : ['']
60 Mot inconnu : pylint =>     * Analyse intégrée du code `pylint` | pylint

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Lien direct vers le débogueur externe winpdb |      => suggestions : ['']
61 Mot inconnu : winpdb =>     * Lien direct vers le débogueur externe winpdb | winpdb

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Console : |    => suggestions : ['']

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Toutes les consoles sont exécutées dans des processus différents |      => suggestions : ['']

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Auto-complétion du code / astuces et lien automatique vers l'inspecteur d'objet (voir ci-dessous) |      => suggestions : ['']

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Ouvrir les interprètes Python ou la fenêtre des commandes basiques du terminal |      => suggestions : ['']

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Lancer des scripts Python (voir éditeur de code source) |      => suggestions : ['']

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Explorateur de variables : |      => suggestions : ['']

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Éditeurs GUI pour de nombreux types de données (nombres, chaînes de caractères, listes, tableaux, dictionnaires, ...) |      => suggestions : ['']
68 Une de ces ponctuations est superflue. =>     * Éditeurs GUI pour de nombreux types de données (nombres, chaînes de caractères, listes, tableaux, dictionnaires, ...) | , . => suggestions : [',', '.']
68 Typographie : points de suspension. Utilisez le caractère dédié. =>     * Éditeurs GUI pour de nombreux types de données (nombres, chaînes de caractères, listes, tableaux, dictionnaires, ...) | ... => suggestions : ['…']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Importer / exporter des données depuis / vers de nombreux types de fichiers (fichiers texte, !NumPy, MATLAB) |      => suggestions : ['']
69 Une de ces ponctuations est superflue. =>     * Importer / exporter des données depuis / vers de nombreux types de fichiers (fichiers texte, !NumPy, MATLAB) | , ! => suggestions : [',', '!']
69 Il manque un espace. =>     * Importer / exporter des données depuis / vers de nombreux types de fichiers (fichiers texte, !NumPy, MATLAB) | numpy => suggestions : [' NumPy']
69 Mot inconnu : NumPy =>     * Importer / exporter des données depuis / vers de nombreux types de fichiers (fichiers texte, !NumPy, MATLAB) | numpy
69 Mot inconnu : MATLAB =>     * Importer / exporter des données depuis / vers de nombreux types de fichiers (fichiers texte, !NumPy, MATLAB) | matlab

