
5 Mot inconnu : Gufw => ====== Gufw : interface graphique du pare-feu UFW ====== | gufw
5 Mot inconnu : UFW => ====== Gufw : interface graphique du pare-feu UFW ====== | ufw

12 Mot inconnu : UFW => Alors que UFW ne se gère qu'en ligne de commandes, GUFW offre une méthode graphique pour configurer les règles de pare-feu : | ufw
12 Mot inconnu : GUFW => Alors que UFW ne se gère qu'en ligne de commandes, GUFW offre une méthode graphique pour configurer les règles de pare-feu : | gufw

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * activer ou désactiver le pare-feu ; |    => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * gérer la règle de filtrage par défaut pour le trafic entrant et le trafic sortant ; |    => suggestions : ['']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ajouter les exceptions aux règles de filtrage par défaut. |    => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

34 Mot inconnu : Gufw => ==== Débloquer l'interface de Gufw ==== | gufw

35 Mot inconnu : Gufw => Seuls les administrateurs peuvent voir les règles de pare-feu actuellement en vigueur et les modifier. Avant toute chose, vous devez débloquer l'interface de Gufw. Pour ce faire, appuyez sur le bouton **Unlock**, situé dans le coin inférieur droit de Gufw. | gufw
35 Mot inconnu : Unlock => Seuls les administrateurs peuvent voir les règles de pare-feu actuellement en vigueur et les modifier. Avant toute chose, vous devez débloquer l'interface de Gufw. Pour ce faire, appuyez sur le bouton **Unlock**, situé dans le coin inférieur droit de Gufw. | unlock
35 Mot inconnu : Gufw => Seuls les administrateurs peuvent voir les règles de pare-feu actuellement en vigueur et les modifier. Avant toute chose, vous devez débloquer l'interface de Gufw. Pour ce faire, appuyez sur le bouton **Unlock**, situé dans le coin inférieur droit de Gufw. | gufw

39 Mot inconnu : Gufw => La sélection d'un compte d'administrateur et la saisie de son mot de passe sont ensuite exigées afin de confirmer l'accès à Gufw. | gufw

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * la liste **Entrant** concerne le trafic entrant, établi vers votre ordinateur (depuis un autre ordinateur vers un service de votre ordinateur) ; |    => suggestions : ['']

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * la liste **Sortant** concerne le trafic sortant, établi depuis votre ordinateur (depuis votre ordinateur vers un autre poste ou vers Internet). |    => suggestions : ['']

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * le comportement **Deny** (couleur verte sur le bouclier) refuse tout trafic -- il le bloque complètement -- et n'informe pas l'initiateur de la communication que la demande de connexion est bloquée ; |    => suggestions : ['']
59 Mot inconnu : Deny =>   * le comportement **Deny** (couleur verte sur le bouclier) refuse tout trafic -- il le bloque complètement -- et n'informe pas l'initiateur de la communication que la demande de connexion est bloquée ; | deny

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * le comportement **Reject** (couleur bleue sur le bouclier) refuse aussi tout trafic, mais informe l'initiateur de la communication que la demande de connexion est bloquée ; |    => suggestions : ['']
60 Mot inconnu : Reject =>   * le comportement **Reject** (couleur bleue sur le bouclier) refuse aussi tout trafic, mais informe l'initiateur de la communication que la demande de connexion est bloquée ; | reject

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * le comportement **Allow** (couleur rouge sur le bouclier) autorise tout le trafic -- il laisse passer toutes les communications. |    => suggestions : ['']
61 Mot inconnu : Allow =>   * le comportement **Allow** (couleur rouge sur le bouclier) autorise tout le trafic -- il laisse passer toutes les communications. | allow

69 Mot inconnu : Deny => Dans la section **Règles** se trouvent listées l'ensemble des règles d'exceptions configurées au pare-feu. Ces règles outrepassent les règles par défaut appliquées au pare-feu. Par exemple, si vous rejetez (**Deny**) tout le trafic entrant mais que vous mettez des dossiers partagés à disposition des autres ordinateurs de votre réseau domestique, vous devez ajouter une exception de trafic entrant pour autoriser explicitement et uniquement le trafic entrant pour les dossiers partagés. | deny

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - rejet de trafic entrant (**deny in**) pour les dossiers partagés |    => suggestions : ['']
72 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - rejet de trafic entrant (**deny in**) pour les dossiers partagés |  -  => suggestions : [' – ', ' — ', ' − ']
72 Mot inconnu : deny =>   - rejet de trafic entrant (**deny in**) pour les dossiers partagés | deny

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - autorisation de trafic entrant (**allow in**) pour les dossiers partagés |    => suggestions : ['']
73 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - autorisation de trafic entrant (**allow in**) pour les dossiers partagés |  -  => suggestions : [' – ', ' — ', ' − ']
73 Mot inconnu : allow =>   - autorisation de trafic entrant (**allow in**) pour les dossiers partagés | allow

76 Mot inconnu : Gufw => Il n'y a pas de moyen dans Gufw pour réorganiser les règles de pare-feu. Dans une telle situation, pour résoudre le conflit, vous devez supprimer les règles concurrentes puis en recréer une nouvelle. | gufw

78 Incohérence : espace et tabulation. => === Ajouter des exceptions ===	  | 	  => suggestions : [' ', '\t']
78 Espace(s) en fin de ligne à supprimer. => === Ajouter des exceptions ===	  |   => suggestions : ['']

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Si ce n'est déjà fait, déverrouillez l'interface de Gufw. Vous devez être un administrateur du système pour déverrouiller Gufw. |    => suggestions : ['']
80 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Si ce n'est déjà fait, déverrouillez l'interface de Gufw. Vous devez être un administrateur du système pour déverrouiller Gufw. |  -  => suggestions : [' – ', ' — ', ' − ']
80 Mot inconnu : Gufw =>   - Si ce n'est déjà fait, déverrouillez l'interface de Gufw. Vous devez être un administrateur du système pour déverrouiller Gufw. | gufw
80 Mot inconnu : Gufw =>   - Si ce n'est déjà fait, déverrouillez l'interface de Gufw. Vous devez être un administrateur du système pour déverrouiller Gufw. | gufw

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Saisissez les paramètres d'une autre exception ou appuyez sur le bouton **Fermer** pour terminer les ajouts. |    => suggestions : ['']
83 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Saisissez les paramètres d'une autre exception ou appuyez sur le bouton **Fermer** pour terminer les ajouts. |  -  => suggestions : [' – ', ' — ', ' − ']

87 Incohérence : espace et tabulation. => === Retirer une exception ===	  | 	  => suggestions : [' ', '\t']
87 Espace(s) en fin de ligne à supprimer. => === Retirer une exception ===	  |   => suggestions : ['']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Si ce n'est déjà fait, déverrouillez l'interface de Gufw. Vous devez être un administrateur du système pour déverrouiller Gufw. |    => suggestions : ['']
89 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Si ce n'est déjà fait, déverrouillez l'interface de Gufw. Vous devez être un administrateur du système pour déverrouiller Gufw. |  -  => suggestions : [' – ', ' — ', ' − ']
89 Mot inconnu : Gufw =>   - Si ce n'est déjà fait, déverrouillez l'interface de Gufw. Vous devez être un administrateur du système pour déverrouiller Gufw. | gufw
89 Mot inconnu : Gufw =>   - Si ce n'est déjà fait, déverrouillez l'interface de Gufw. Vous devez être un administrateur du système pour déverrouiller Gufw. | gufw

97 Typographie : points de suspension. Utilisez le caractère dédié. => ===== Aller plus loin... ===== | ... => suggestions : ['…']

100 Il manque un espace après la parenthèse. => Il est possible d'obtenir la liste des ports utilisée par (G)ufw, c'est-à-dire des connexions actives, depuis le menu //Éditions → Préférences → cocher « Listening report ».//\\ | ) => suggestions : [') ']
100 Mot inconnu : ufw => Il est possible d'obtenir la liste des ports utilisée par (G)ufw, c'est-à-dire des connexions actives, depuis le menu //Éditions → Préférences → cocher « Listening report ».//\\ | ufw
100 Mot inconnu : Listening => Il est possible d'obtenir la liste des ports utilisée par (G)ufw, c'est-à-dire des connexions actives, depuis le menu //Éditions → Préférences → cocher « Listening report ».//\\ | listening

103 Espace(s) en fin de ligne à supprimer. => ==== Exemple de configuration ====  |   => suggestions : ['']

111 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ufw est activé |    => suggestions : ['']
111 Mot inconnu : ufw =>   * ufw est activé | ufw

112 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Les règles de blocage par défaut du trafic entrant et sortant sont activées |    => suggestions : ['']

113 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * La journalisation est activée |    => suggestions : ['']

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le DNS est activé en sortie (port 53) |    => suggestions : ['']

115 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le FTP est autorisé en sortie (ports 20,21/tcp) |    => suggestions : ['']
115 Mot inconnu : tcp =>   * Le FTP est autorisé en sortie (ports 20,21/tcp) | tcp

116 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Les protocoles HTTP et HTTPS sont autorisés en sortie (ports 80 et 443) |    => suggestions : ['']

117 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * SMTP, IMAP et POP en sortie (25 - smtp, 143 - imap, 110 - pop) |    => suggestions : ['']
117 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * SMTP, IMAP et POP en sortie (25 - smtp, 143 - imap, 110 - pop) |  -  => suggestions : [' – ', ' — ', ' − ']
117 Mot inconnu : smtp =>   * SMTP, IMAP et POP en sortie (25 - smtp, 143 - imap, 110 - pop) | smtp
117 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * SMTP, IMAP et POP en sortie (25 - smtp, 143 - imap, 110 - pop) |  -  => suggestions : [' – ', ' — ', ' − ']
117 Mot inconnu : imap =>   * SMTP, IMAP et POP en sortie (25 - smtp, 143 - imap, 110 - pop) | imap
117 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * SMTP, IMAP et POP en sortie (25 - smtp, 143 - imap, 110 - pop) |  -  => suggestions : [' – ', ' — ', ' − ']

121 Mot inconnu : Empathy => Pour utiliser Empathy pour des comptes type MSN ou Google Talk, il faudrait ajouter : | empathy
121 Mot inconnu : MSN => Pour utiliser Empathy pour des comptes type MSN ou Google Talk, il faudrait ajouter : | msn
121 Mot inconnu : Talk => Pour utiliser Empathy pour des comptes type MSN ou Google Talk, il faudrait ajouter : | talk

122 Mot inconnu : tcp => <file>port 1863/tcp ALLOW OUT | tcp
122 Mot inconnu : ALLOW => <file>port 1863/tcp ALLOW OUT | allow

123 Mot inconnu : tcp => port 5222/tcp ALLOW OUT | tcp
123 Mot inconnu : ALLOW => port 5222/tcp ALLOW OUT | allow

126 Mot inconnu : aMule => === Pour connecter aMule en high-ID === | amule

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *Il faut ajouter **4662** en //TCP IN//  et **4672** en //UDP IN// |    => suggestions : ['']
127 Mot inconnu : TCP =>   *Il faut ajouter **4662** en //TCP IN//  et **4672** en //UDP IN// | tcp
127 Mot inconnu : UDP =>   *Il faut ajouter **4662** en //TCP IN//  et **4672** en //UDP IN// | udp

128 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *allez dans //add rules// et selectionner programme amule (allow: entrée et sortie) |    => suggestions : ['']
128 Mot inconnu : add =>   *allez dans //add rules// et selectionner programme amule (allow: entrée et sortie) | add
128 Mot inconnu : rules =>   *allez dans //add rules// et selectionner programme amule (allow: entrée et sortie) | rules
128 Mot inconnu : selectionner =>   *allez dans //add rules// et selectionner programme amule (allow: entrée et sortie) | selectionner
128 Mot inconnu : amule =>   *allez dans //add rules// et selectionner programme amule (allow: entrée et sortie) | amule
128 Mot inconnu : allow =>   *allez dans //add rules// et selectionner programme amule (allow: entrée et sortie) | allow

131 Mot inconnu : Freebox => === Pour regarder la télévision (Freebox) avec VLC sur son ordinateur (MultiPoste )=== | freebox
131 Mot inconnu : VLC => === Pour regarder la télévision (Freebox) avec VLC sur son ordinateur (MultiPoste )=== | vlc
131 Mot inconnu : MultiPoste => === Pour regarder la télévision (Freebox) avec VLC sur son ordinateur (MultiPoste )=== | multiposte
131 Pas d’espace avant ce signe. => === Pour regarder la télévision (Freebox) avec VLC sur son ordinateur (MultiPoste )=== |  ) => suggestions : [')']

132 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *Flux Adsl: Menu //Edition -> Add Rule -> onglet "Avancé"// puis //Allow -> Entrée -> UDP -> Source (IP) : 212.27.38.253 -> Ajouter//. |    => suggestions : ['']
132 Mot inconnu : Adsl =>   *Flux Adsl: Menu //Edition -> Add Rule -> onglet "Avancé"// puis //Allow -> Entrée -> UDP -> Source (IP) : 212.27.38.253 -> Ajouter//. | adsl
132 Mot inconnu : Edition =>   *Flux Adsl: Menu //Edition -> Add Rule -> onglet "Avancé"// puis //Allow -> Entrée -> UDP -> Source (IP) : 212.27.38.253 -> Ajouter//. | edition
132 Mot inconnu : Add =>   *Flux Adsl: Menu //Edition -> Add Rule -> onglet "Avancé"// puis //Allow -> Entrée -> UDP -> Source (IP) : 212.27.38.253 -> Ajouter//. | add
132 Mot inconnu : Rule =>   *Flux Adsl: Menu //Edition -> Add Rule -> onglet "Avancé"// puis //Allow -> Entrée -> UDP -> Source (IP) : 212.27.38.253 -> Ajouter//. | rule
