
6 Mot inconnu : Diablo => ====== Diablo II et Lord Of Destruction ====== | diablo
6 Mot inconnu : Of => ====== Diablo II et Lord Of Destruction ====== | of

9 Mot inconnu : Diablo => **Diablo II** sur PC est la suite du célèbre hack'n slash des studios Blizzard. Retrouvez un univers fantastique et sombre en incarnant l'une des cinq classes de personnages du jeu. Préparez-vous à voyager dans des contrées lointaines, à combattre de nouveaux ennemis, à découvrir des trésors inconnus et à dévoiler des mystères ancestraux. Tout cela dans votre quête pour arrêter une fois pour toutes le Seigneur de la Terreur... | diablo
9 Mot inconnu : hack'n => **Diablo II** sur PC est la suite du célèbre hack'n slash des studios Blizzard. Retrouvez un univers fantastique et sombre en incarnant l'une des cinq classes de personnages du jeu. Préparez-vous à voyager dans des contrées lointaines, à combattre de nouveaux ennemis, à découvrir des trésors inconnus et à dévoiler des mystères ancestraux. Tout cela dans votre quête pour arrêter une fois pour toutes le Seigneur de la Terreur... | hack'n
9 Typographie : points de suspension. Utilisez le caractère dédié. => **Diablo II** sur PC est la suite du célèbre hack'n slash des studios Blizzard. Retrouvez un univers fantastique et sombre en incarnant l'une des cinq classes de personnages du jeu. Préparez-vous à voyager dans des contrées lointaines, à combattre de nouveaux ennemis, à découvrir des trésors inconnus et à dévoiler des mystères ancestraux. Tout cela dans votre quête pour arrêter une fois pour toutes le Seigneur de la Terreur... | ... => suggestions : ['…']

10 Mot inconnu : Diablo => <note help>Maintenant, il est possible d'installer Diablo II sans avoir besoin de faire de manip particulières. Insérez le CD 1, lancez l'installateur, suivez les instructions et c'est ok ;) (Testé sous Ubuntu 12.04 avec GNOME et Wine 1.7.4 avec les sources compilées manuellement.)</note> | diablo
10 Accord de nombre erroné avec « particulières ». => <note help>Maintenant, il est possible d'installer Diablo II sans avoir besoin de faire de manip particulières. Insérez le CD 1, lancez l'installateur, suivez les instructions et c'est ok ;) (Testé sous Ubuntu 12.04 avec GNOME et Wine 1.7.4 avec les sources compilées manuellement.)</note> | manip => suggestions : ['manips']
10 Accord de nombre erroné avec « manip ». => <note help>Maintenant, il est possible d'installer Diablo II sans avoir besoin de faire de manip particulières. Insérez le CD 1, lancez l'installateur, suivez les instructions et c'est ok ;) (Testé sous Ubuntu 12.04 avec GNOME et Wine 1.7.4 avec les sources compilées manuellement.)</note> | particulières => suggestions : ['particulière']
10 Mot inconnu : ok => <note help>Maintenant, il est possible d'installer Diablo II sans avoir besoin de faire de manip particulières. Insérez le CD 1, lancez l'installateur, suivez les instructions et c'est ok ;) (Testé sous Ubuntu 12.04 avec GNOME et Wine 1.7.4 avec les sources compilées manuellement.)</note> | ok
