
5 Mot inconnu : Navigator => ====== Synchronisation d'un Nokia 6110 Navigator avec Evolution ====== | navigator
5 Mot inconnu : Evolution => ====== Synchronisation d'un Nokia 6110 Navigator avec Evolution ====== | evolution

9 Mot inconnu : N70 => La page concernant le [[Nokia N70]] convient parfaitement pour le 6110 Navigator. Il suffit juste de modifier quelques paramètres dans le fichier XML. C'est simple, mais en même temps, si tu le sais pas... | n70
9 Mot inconnu : Navigator => La page concernant le [[Nokia N70]] convient parfaitement pour le 6110 Navigator. Il suffit juste de modifier quelques paramètres dans le fichier XML. C'est simple, mais en même temps, si tu le sais pas... | navigator
9 Typographie : points de suspension. Utilisez le caractère dédié. => La page concernant le [[Nokia N70]] convient parfaitement pour le 6110 Navigator. Il suffit juste de modifier quelques paramètres dans le fichier XML. C'est simple, mais en même temps, si tu le sais pas... | ... => suggestions : ['…']

11 Élision de l’article devant un mot commençant par une voyelle. => Comme dans le tutoriel de eatman, c'est opensync et syncml qui est à utiliser. | de  => suggestions : ['d’']
11 Mot inconnu : eatman => Comme dans le tutoriel de eatman, c'est opensync et syncml qui est à utiliser. | eatman
11 Mot inconnu : opensync => Comme dans le tutoriel de eatman, c'est opensync et syncml qui est à utiliser. | opensync
11 Mot inconnu : syncml => Comme dans le tutoriel de eatman, c'est opensync et syncml qui est à utiliser. | syncml

13 Mot inconnu : bluetooth => <note tip>Ce tutoriel ne fonctionne qu'en bluetooth. Il peut peut être être modifié pour une utilisation USB, mais je ne sais pas comment...  | bluetooth
13 Doublon. => <note tip>Ce tutoriel ne fonctionne qu'en bluetooth. Il peut peut être être modifié pour une utilisation USB, mais je ne sais pas comment...  | peut peut => suggestions : ['peut']
13 Confusion probable. Pour dire “possiblement”, écrivez “peut-être”. => <note tip>Ce tutoriel ne fonctionne qu'en bluetooth. Il peut peut être être modifié pour une utilisation USB, mais je ne sais pas comment...  | peut être => suggestions : ['peut-être']
13 Doublon. => <note tip>Ce tutoriel ne fonctionne qu'en bluetooth. Il peut peut être être modifié pour une utilisation USB, mais je ne sais pas comment...  | être être => suggestions : ['être']
13 Typographie : points de suspension. Utilisez le caractère dédié. => <note tip>Ce tutoriel ne fonctionne qu'en bluetooth. Il peut peut être être modifié pour une utilisation USB, mais je ne sais pas comment...  | ... => suggestions : ['…']
13 Espace(s) en fin de ligne à supprimer. => <note tip>Ce tutoriel ne fonctionne qu'en bluetooth. Il peut peut être être modifié pour une utilisation USB, mais je ne sais pas comment...  |   => suggestions : ['']

15 Mot inconnu : evolution => Cette méthode fonctionne parfaitement pour la synchronisation des contacts et de l'agenda avec evolution</note> | evolution

22 Mot inconnu : N70 => Suivre les instructions dans la page pour le [[Nokia N70]] jusqu'à la commande : | n70

47 Mot inconnu : N70 => C'est la seule chose qui varie par rapport au N70. Poursuivez sur la page [[Nokia N70]] pour le reste de la procédure. | n70
47 Mot inconnu : N70 => C'est la seule chose qui varie par rapport au N70. Poursuivez sur la page [[Nokia N70]] pour le reste de la procédure. | n70
51 Il manque un espace. => //Contributeur principal : [[utilisateurs:kamarade|kamarade]].// | kamarade => suggestions : [' kamarade']
