
7 Mot inconnu : Shotwell => ==== Avec Shotwell ==== | shotwell

8 Mot inconnu : shotwell => Faire un diaporama avec [[shotwell|Shotwell]] (installé par défault) est très simple. | shotwell
8 Mot inconnu : défault => Faire un diaporama avec [[shotwell|Shotwell]] (installé par défault) est très simple. | défault

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Importez vos photos/images |    => suggestions : ['']
9 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Importez vos photos/images |  -  => suggestions : [' – ', ' — ', ' − ']

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Sélectionnez celles que vous voulez mettre en diaporama |    => suggestions : ['']
10 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Sélectionnez celles que vous voulez mettre en diaporama |  -  => suggestions : [' – ', ' — ', ' − ']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Fichier -> Définir comme diaporama de fond d'écran |    => suggestions : ['']
11 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Fichier -> Définir comme diaporama de fond d'écran |  -  => suggestions : [' – ', ' — ', ' − ']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Choisissez la durée entre chaque image, les écrans concernés (votre bureau et/ou l'écran de verrouillage), et le tour est joué ! |    => suggestions : ['']
12 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Choisissez la durée entre chaque image, les écrans concernés (votre bureau et/ou l'écran de verrouillage), et le tour est joué ! |  -  => suggestions : [' – ', ' — ', ' − ']
13 Mot inconnu : share => <note tip> la liste des images et des transitions est enregistrée dans le fichier: ~/.local/share/shotwell/wallpaper/wallpaper.xml</note> | share
13 Mot inconnu : shotwell => <note tip> la liste des images et des transitions est enregistrée dans le fichier: ~/.local/share/shotwell/wallpaper/wallpaper.xml</note> | shotwell
13 Mot inconnu : wallpaper => <note tip> la liste des images et des transitions est enregistrée dans le fichier: ~/.local/share/shotwell/wallpaper/wallpaper.xml</note> | wallpaper
13 Mot inconnu : wallpaper => <note tip> la liste des images et des transitions est enregistrée dans le fichier: ~/.local/share/shotwell/wallpaper/wallpaper.xml</note> | wallpaper
13 Mot inconnu : xml => <note tip> la liste des images et des transitions est enregistrée dans le fichier: ~/.local/share/shotwell/wallpaper/wallpaper.xml</note> | xml

14 Mot inconnu : wallpaper => <note>Si vous changez accidentellement le fond d'écran il faudra tout refaire :-/ ou modifier vous-même le fichier wallpaper.xml référencé ci-dessus</note> | wallpaper
14 Mot inconnu : xml => <note>Si vous changez accidentellement le fond d'écran il faudra tout refaire :-/ ou modifier vous-même le fichier wallpaper.xml référencé ci-dessus</note> | xml

21 Pas d’espace après ce signe. => Créer un répertoire à l'emplacement de votre choix, par exemple un répertoire Diapo dans votre dossier personnel Images ( ~/Images ). | (  => suggestions : ['(']
21 Pas d’espace avant ce signe. => Créer un répertoire à l'emplacement de votre choix, par exemple un répertoire Diapo dans votre dossier personnel Images ( ~/Images ). |  ) => suggestions : [')']

27 Mot inconnu : xml => Dans ce même dossier Diapo, créer un fichier xml basé sur ce modèle : | xml

61 Guillemets typographiques ouvrants. => Pour avoir une transition de type "recouvrement", on peut utiliser <transition type="overlay"> au lieu de simplement <transition> | " => suggestions : ['«\xa0', '“']
61 Guillemets typographiques fermants. => Pour avoir une transition de type "recouvrement", on peut utiliser <transition type="overlay"> au lieu de simplement <transition> | " => suggestions : ['\xa0»', '”']
61 Guillemets typographiques ouvrants. => Pour avoir une transition de type "recouvrement", on peut utiliser <transition type="overlay"> au lieu de simplement <transition> | " => suggestions : ['«\xa0', '“']
61 Guillemets typographiques fermants. => Pour avoir une transition de type "recouvrement", on peut utiliser <transition type="overlay"> au lieu de simplement <transition> | " => suggestions : ['\xa0»', '”']

65 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Ensuite, enregistrez ce fichier (avec l'extension .xml) dans votre dossier Diapo. |  . => suggestions : ['. ', '.']
65 Mot inconnu : xml => Ensuite, enregistrez ce fichier (avec l'extension .xml) dans votre dossier Diapo. | xml

72 Mot inconnu : Tweak => ==== Avec Gnome Tweak Tool ==== | tweak
72 Mot inconnu : Tool => ==== Avec Gnome Tweak Tool ==== | tool

74 Guillemets typographiques ouvrants. => Dans l'outil de personnalisation Gnome, dans la catégorie "Bureau", cliquez sur le bouton correspondant à "Emplacement de l'arrière-plan". | " => suggestions : ['«\xa0', '“']
74 Guillemets typographiques fermants. => Dans l'outil de personnalisation Gnome, dans la catégorie "Bureau", cliquez sur le bouton correspondant à "Emplacement de l'arrière-plan". | " => suggestions : ['\xa0»', '”']
74 Guillemets typographiques ouvrants. => Dans l'outil de personnalisation Gnome, dans la catégorie "Bureau", cliquez sur le bouton correspondant à "Emplacement de l'arrière-plan". | " => suggestions : ['«\xa0', '“']
74 Guillemets typographiques fermants. => Dans l'outil de personnalisation Gnome, dans la catégorie "Bureau", cliquez sur le bouton correspondant à "Emplacement de l'arrière-plan". | " => suggestions : ['\xa0»', '”']

75 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Sélectionnez votre fichier .xml, et validez. |  . => suggestions : ['. ', '.']
75 Mot inconnu : xml => Sélectionnez votre fichier .xml, et validez. | xml

85 Il manque un espace. => <?xml version="1.0" encoding="UTF-8"?> | xml => suggestions : [' xml']
85 Mot inconnu : xml => <?xml version="1.0" encoding="UTF-8"?> | xml
85 Guillemets typographiques ouvrants. => <?xml version="1.0" encoding="UTF-8"?> | " => suggestions : ['«\xa0', '“']
85 Guillemets typographiques fermants. => <?xml version="1.0" encoding="UTF-8"?> | " => suggestions : ['\xa0»', '”']
85 Mot inconnu : encoding => <?xml version="1.0" encoding="UTF-8"?> | encoding
85 Guillemets typographiques ouvrants. => <?xml version="1.0" encoding="UTF-8"?> | " => suggestions : ['«\xa0', '“']
85 Guillemets typographiques fermants. => <?xml version="1.0" encoding="UTF-8"?> | " => suggestions : ['\xa0»', '”']

86 Il manque un espace. => <!DOCTYPE wallpapers SYSTEM "gnome-wp-list.dtd"> | doctype => suggestions : [' DOCTYPE']
86 Mot inconnu : DOCTYPE => <!DOCTYPE wallpapers SYSTEM "gnome-wp-list.dtd"> | doctype
86 Mot inconnu : wallpapers => <!DOCTYPE wallpapers SYSTEM "gnome-wp-list.dtd"> | wallpapers
86 Mot inconnu : SYSTEM => <!DOCTYPE wallpapers SYSTEM "gnome-wp-list.dtd"> | system
86 Guillemets typographiques ouvrants. => <!DOCTYPE wallpapers SYSTEM "gnome-wp-list.dtd"> | " => suggestions : ['«\xa0', '“']
86 Mot inconnu : gnome-wp-list => <!DOCTYPE wallpapers SYSTEM "gnome-wp-list.dtd"> | gnome-wp-list
86 Mot inconnu : dtd => <!DOCTYPE wallpapers SYSTEM "gnome-wp-list.dtd"> | dtd
86 Guillemets typographiques fermants. => <!DOCTYPE wallpapers SYSTEM "gnome-wp-list.dtd"> | " => suggestions : ['\xa0»', '”']

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <wallpaper deleted="false"> |    => suggestions : ['']
88 Guillemets typographiques ouvrants. =>   <wallpaper deleted="false"> | " => suggestions : ['«\xa0', '“']
88 Guillemets typographiques fermants. =>   <wallpaper deleted="false"> | " => suggestions : ['\xa0»', '”']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     <name>Test</name> <!-- Nom du diaporama --> |      => suggestions : ['']

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     <name xml:lang="fr">test</name> <!-- Nom du diaporama dans une langue --> |      => suggestions : ['']
90 Guillemets typographiques ouvrants. =>     <name xml:lang="fr">test</name> <!-- Nom du diaporama dans une langue --> | " => suggestions : ['«\xa0', '“']
90 Guillemets typographiques fermants. =>     <name xml:lang="fr">test</name> <!-- Nom du diaporama dans une langue --> | " => suggestions : ['\xa0»', '”']

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     <filename>/home/oly/Documents/test-diapo/background-1.xml</filename> <!-- lien vers le fichier xml de votre diaporama precedement cree --> |      => suggestions : ['']
91 Mot inconnu : xml =>     <filename>/home/oly/Documents/test-diapo/background-1.xml</filename> <!-- lien vers le fichier xml de votre diaporama precedement cree --> | xml
91 Mot inconnu : precedement =>     <filename>/home/oly/Documents/test-diapo/background-1.xml</filename> <!-- lien vers le fichier xml de votre diaporama precedement cree --> | precedement
91 Mot inconnu : cree =>     <filename>/home/oly/Documents/test-diapo/background-1.xml</filename> <!-- lien vers le fichier xml de votre diaporama precedement cree --> | cree

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     <options>zoom</options> <!-- option d'affichage du diaporama --> |      => suggestions : ['']

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   </wallpaper> |    => suggestions : ['']

100 Mot inconnu : XXXXXX => Les valeurs admissibles pour les options d'affichage du diaporama "<options>XXXXXX</options>" sont : | xxxxxx

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * tile (répéter en mosaïque jusqu'à remplir l'écran), |    => suggestions : ['']
101 Mot inconnu : tile =>   * tile (répéter en mosaïque jusqu'à remplir l'écran), | tile

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * zoom,  |    => suggestions : ['']
102 Espace(s) en fin de ligne à supprimer. =>   * zoom,  |   => suggestions : ['']

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * center (centrer sans modification de taille), |    => suggestions : ['']

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * scale,  |    => suggestions : ['']
104 Mot inconnu : scale =>   * scale,  | scale
104 Espace(s) en fin de ligne à supprimer. =>   * scale,  |   => suggestions : ['']

