
5 Mot inconnu : HellaNZB => ====== HellaNZB + Zussaweb ====== | hellanzb
5 Mot inconnu : Zussaweb => ====== HellaNZB + Zussaweb ====== | zussaweb

9 Mot inconnu : HellaNZB => HellaNZB permet de télécharger sur les serveurs Usenet binaires, plus connus sous le nom de Newsgroup à partir d'un fichier NZB que vous aurez au préalable téléchargé sur un site de référencement. Il vous permettra d'importer le contenu de ce dernier pour le télécharger. | hellanzb
9 Mot inconnu : Usenet => HellaNZB permet de télécharger sur les serveurs Usenet binaires, plus connus sous le nom de Newsgroup à partir d'un fichier NZB que vous aurez au préalable téléchargé sur un site de référencement. Il vous permettra d'importer le contenu de ce dernier pour le télécharger. | usenet
9 Mot inconnu : Newsgroup => HellaNZB permet de télécharger sur les serveurs Usenet binaires, plus connus sous le nom de Newsgroup à partir d'un fichier NZB que vous aurez au préalable téléchargé sur un site de référencement. Il vous permettra d'importer le contenu de ce dernier pour le télécharger. | newsgroup
9 Mot inconnu : NZB => HellaNZB permet de télécharger sur les serveurs Usenet binaires, plus connus sous le nom de Newsgroup à partir d'un fichier NZB que vous aurez au préalable téléchargé sur un site de référencement. Il vous permettra d'importer le contenu de ce dernier pour le télécharger. | nzb

11 Mot inconnu : HellaNZB => HellaNZB permet également de réparer les fichiers (si nécessaire) et les extraire pour vous. Vous n'avez rien à faire, hormis le graver. (ben oui, vous voulez pas non plus qu'il le regarde pour vous !). | hellanzb

13 Mot inconnu : HellaNZB => <note tip>Si la configuration de HellaNZB vous effraie, utilisez [[LottaNZB]] qui est une interface graphique pour HellaNZB. Cela vous évitera l'édition manuelle des répertoires, fichiers de configurations, etc...</note> | hellanzb
13 Mot inconnu : LottaNZB => <note tip>Si la configuration de HellaNZB vous effraie, utilisez [[LottaNZB]] qui est une interface graphique pour HellaNZB. Cela vous évitera l'édition manuelle des répertoires, fichiers de configurations, etc...</note> | lottanzb
13 Mot inconnu : HellaNZB => <note tip>Si la configuration de HellaNZB vous effraie, utilisez [[LottaNZB]] qui est une interface graphique pour HellaNZB. Cela vous évitera l'édition manuelle des répertoires, fichiers de configurations, etc...</note> | hellanzb
13 Un seul point après « etc. » => <note tip>Si la configuration de HellaNZB vous effraie, utilisez [[LottaNZB]] qui est une interface graphique pour HellaNZB. Cela vous évitera l'édition manuelle des répertoires, fichiers de configurations, etc...</note> | etc... => suggestions : ['etc.']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Aller à cette ligne pour modifier le prefix_dir <file> |    => suggestions : ['']
26 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Aller à cette ligne pour modifier le prefix_dir <file> |  -  => suggestions : [' – ', ' — ', ' − ']
26 Mot inconnu : prefix_dir =>   - Aller à cette ligne pour modifier le prefix_dir <file> | prefix_dir

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    # Important locations |     => suggestions : ['']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    Hellanzb.PREFIX_DIR = os.path.expanduser('~') + '/.hellanzb/' |     => suggestions : ['']
