
4 Accord de nombre erroné avec « UNE IMPRIMANTE » : « MULTIFONCTIONS » devrait être au singulier. [[43:57]] => ====== SCANNER EN WIFI AVEC UNE IMPRIMANTE MULTIFONCTIONS  ====== <|> multifonctions => suggestions : None
4 Espace(s) surnuméraire(s) à supprimer. [[57:59]] => ====== SCANNER EN WIFI AVEC UNE IMPRIMANTE MULTIFONCTIONS  ====== <|>    => suggestions : None
10 Mot inconnu : PHOTOSMART [[33:43]] => ===== EXEMPLE DE L'IMPRIMANTE HP PHOTOSMART PLUS B 210 ===== <|> photosmart
63 Espace(s) en fin de ligne à supprimer. [[37:38]] => >  La ligne suivante est importante :  <|>   => suggestions : None
65 Mot inconnu : Photosmart_Plus_B210_series [[30:57]] => >  <box 65%>CUPS URI: hp:/net/Photosmart_Plus_B210_series?ip=192.168.0.49 </box> <|> photosmart_plus_b210_series

68 Mot inconnu : DeviceURI [[53:62]] => Dans ce fichier, repérez la ligne qui commence par **DeviceURI** et supprimez tout ce qui suit (ça commence par "socket") et copiez à la place la ligne **CUPS URI**.  <|> deviceuri
68 Guillemets typographiques ouvrants. [[112:113]] => Dans ce fichier, repérez la ligne qui commence par **DeviceURI** et supprimez tout ce qui suit (ça commence par "socket") et copiez à la place la ligne **CUPS URI**.  <|> " => suggestions : None
68 Guillemets typographiques fermants. [[119:120]] => Dans ce fichier, repérez la ligne qui commence par **DeviceURI** et supprimez tout ce qui suit (ça commence par "socket") et copiez à la place la ligne **CUPS URI**.  <|> " => suggestions : None
68 Espace(s) en fin de ligne à supprimer. [[165:166]] => Dans ce fichier, repérez la ligne qui commence par **DeviceURI** et supprimez tout ce qui suit (ça commence par "socket") et copiez à la place la ligne **CUPS URI**.  <|>   => suggestions : None
79 Espace(s) surnuméraire(s) à supprimer. [[75:77]] => <note tip>Il suffit ensuite de redémarrer CUPS, ouvrez un terminal et tapez  : <|>    => suggestions : None
86 Espace(s) en fin de ligne à supprimer. [[57:58]] => Pour trouver son adresse MAC, depuis un terminal, tapez :  <|>   => suggestions : None
94 Mot inconnu : Deskjet [[4:11]] => |HP Deskjet 3520|Ubuntu 13.04| <|> deskjet
95 Mot inconnu : Deskjet [[4:11]] => |HP Deskjet 3050 J610 series|Ubuntu 12.10| <|> deskjet
95 Mot inconnu : J610 [[17:21]] => |HP Deskjet 3050 J610 series|Ubuntu 12.10| <|> j610
95 Mot inconnu : series [[22:28]] => |HP Deskjet 3050 J610 series|Ubuntu 12.10| <|> series
96 Mot inconnu : Deskjet [[4:11]] => |HP Deskjet 3070|Ubuntu 13.10| <|> deskjet
97 Mot inconnu : LaserJet [[4:12]] => |HP LaserJet Pro 100 color MFP M175|Debian 8 Jessie| <|> laserjet
97 Mot inconnu : color [[21:26]] => |HP LaserJet Pro 100 color MFP M175|Debian 8 Jessie| <|> color
97 Mot inconnu : MFP [[27:30]] => |HP LaserJet Pro 100 color MFP M175|Debian 8 Jessie| <|> mfp
97 Mot inconnu : M175 [[31:35]] => |HP LaserJet Pro 100 color MFP M175|Debian 8 Jessie| <|> m175
98 Mot inconnu : Officejet [[4:13]] => |HP Officejet 6600|Ubuntu 12.10| <|> officejet
99 Mot inconnu : Photosmart [[4:14]] => |HP Photosmart B109n|Ubuntu 12.10 64bits| <|> photosmart
99 Mot inconnu : B109n [[15:20]] => |HP Photosmart B109n|Ubuntu 12.10 64bits| <|> b109n
100 Mot inconnu : Photosmart [[4:14]] => |HP Photosmart B110|Ubuntu 12.04, 12.10 et Debian Squeeze - Wheezy XFCE| <|> photosmart
100 Mot inconnu : B110 [[15:19]] => |HP Photosmart B110|Ubuntu 12.04, 12.10 et Debian Squeeze - Wheezy XFCE| <|> b110
100 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[57:60]] => |HP Photosmart B110|Ubuntu 12.04, 12.10 et Debian Squeeze - Wheezy XFCE| <|>  -  => suggestions : None
100 Mot inconnu : Wheezy [[60:66]] => |HP Photosmart B110|Ubuntu 12.04, 12.10 et Debian Squeeze - Wheezy XFCE| <|> wheezy
101 Mot inconnu : Photosmart [[4:14]] => |HP Photosmart C4380 series|Debian Wheezy| <|> photosmart
