
5 Mot inconnu : Xfconf => ====== Xfconf - Éditeur de paramètres ====== | xfconf
5 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ====== Xfconf - Éditeur de paramètres ====== |  -  => suggestions : [' – ', ' — ', ' − ']

7 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A l'instar de //Gconf// pour le bureau //Gnome//, **Xfconf** est le système pour la gestion des paramètres dans Xfce. Il vient ainsi remplacer le vieillissant MCS((Multi-Channel Settings)).\\  | a => suggestions : ['À']
7 Mot inconnu : Gconf => A l'instar de //Gconf// pour le bureau //Gnome//, **Xfconf** est le système pour la gestion des paramètres dans Xfce. Il vient ainsi remplacer le vieillissant MCS((Multi-Channel Settings)).\\  | gconf
7 Mot inconnu : Xfconf => A l'instar de //Gconf// pour le bureau //Gnome//, **Xfconf** est le système pour la gestion des paramètres dans Xfce. Il vient ainsi remplacer le vieillissant MCS((Multi-Channel Settings)).\\  | xfconf
7 Mot inconnu : Xfce => A l'instar de //Gconf// pour le bureau //Gnome//, **Xfconf** est le système pour la gestion des paramètres dans Xfce. Il vient ainsi remplacer le vieillissant MCS((Multi-Channel Settings)).\\  | xfce
7 Mot inconnu : MCS => A l'instar de //Gconf// pour le bureau //Gnome//, **Xfconf** est le système pour la gestion des paramètres dans Xfce. Il vient ainsi remplacer le vieillissant MCS((Multi-Channel Settings)).\\  | mcs
7 Il manque un espace avant la parenthèse. => A l'instar de //Gconf// pour le bureau //Gnome//, **Xfconf** est le système pour la gestion des paramètres dans Xfce. Il vient ainsi remplacer le vieillissant MCS((Multi-Channel Settings)).\\  | ( => suggestions : [' (']
7 Mot inconnu : Multi-Channel => A l'instar de //Gconf// pour le bureau //Gnome//, **Xfconf** est le système pour la gestion des paramètres dans Xfce. Il vient ainsi remplacer le vieillissant MCS((Multi-Channel Settings)).\\  | multi-channel
7 Mot inconnu : Settings => A l'instar de //Gconf// pour le bureau //Gnome//, **Xfconf** est le système pour la gestion des paramètres dans Xfce. Il vient ainsi remplacer le vieillissant MCS((Multi-Channel Settings)).\\  | settings
7 Espace(s) en fin de ligne à supprimer. => A l'instar de //Gconf// pour le bureau //Gnome//, **Xfconf** est le système pour la gestion des paramètres dans Xfce. Il vient ainsi remplacer le vieillissant MCS((Multi-Channel Settings)).\\  |   => suggestions : ['']
8 Mot inconnu : xfce4-settings-editor => Tandis que l'« **Éditeur de paramètres** » (//xfce4-settings-editor//) offre une interface graphique pour accéder à //Xfconf//, **xfconf-query** est son alter ego en mode console. | xfce4-settings-editor
8 Mot inconnu : Xfconf => Tandis que l'« **Éditeur de paramètres** » (//xfce4-settings-editor//) offre une interface graphique pour accéder à //Xfconf//, **xfconf-query** est son alter ego en mode console. | xfconf
8 Mot inconnu : xfconf-query => Tandis que l'« **Éditeur de paramètres** » (//xfce4-settings-editor//) offre une interface graphique pour accéder à //Xfconf//, **xfconf-query** est son alter ego en mode console. | xfconf-query

10 Mot inconnu : Xfconf => Les objectifs des développeurs de Xfconf étaient les suivants : | xfconf

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * garder le concept familier de //canal//((« channel » en anglais)) issu de MCS, mais en rendant hiérarchique les noms de clés pour le stockage des paramètres. |    => suggestions : ['']
11 Mot inconnu : channel =>   * garder le concept familier de //canal//((« channel » en anglais)) issu de MCS, mais en rendant hiérarchique les noms de clés pour le stockage des paramètres. | channel
11 Mot inconnu : MCS =>   * garder le concept familier de //canal//((« channel » en anglais)) issu de MCS, mais en rendant hiérarchique les noms de clés pour le stockage des paramètres. | mcs

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * le démon d'enregistrement des paramètres devait être capable de se lancer sans nécessiter de fenêtre. |    => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * séparer les paramètres de gestion XSETTINGS hors du démon. |    => suggestions : ['']
13 Mot inconnu : XSETTINGS =>   * séparer les paramètres de gestion XSETTINGS hors du démon. | xsettings

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * intégrer la fonctionnalité du "mode kiosque" directement dans le mécanisme de sauvegarde des paramètres. |    => suggestions : ['']
14 Guillemets typographiques ouvrants. =>   * intégrer la fonctionnalité du "mode kiosque" directement dans le mécanisme de sauvegarde des paramètres. | " => suggestions : ['«\xa0', '“']
14 Guillemets typographiques fermants. =>   * intégrer la fonctionnalité du "mode kiosque" directement dans le mécanisme de sauvegarde des paramètres. | " => suggestions : ['\xa0»', '”']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * supporter les sections / structures dans le gestionnaire de configuration. |    => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * proposer une librairie qui permette un accès facile et qui offre les fonctionnalités les plus couramment utilisées. |    => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * aucune application cliente spécifique : toutes les applications doivent pouvoir lire et écrire les paramètres. |    => suggestions : ['']

