
3 Mot inconnu : Navigo => ====== Navigo ====== | navigo

4 Guillemets typographiques ouvrants. => <note warning>Cette fiche n'a pas d'autre but que l'**unique** "chargement" des forfaits proposé par la **RATP / SNCF / STIF.** | " => suggestions : ['«\xa0', '“']
4 Guillemets typographiques fermants. => <note warning>Cette fiche n'a pas d'autre but que l'**unique** "chargement" des forfaits proposé par la **RATP / SNCF / STIF.** | " => suggestions : ['\xa0»', '”']
4 Mot inconnu : STIF => <note warning>Cette fiche n'a pas d'autre but que l'**unique** "chargement" des forfaits proposé par la **RATP / SNCF / STIF.** | stif
6 Mot inconnu : canonical => Toute autre utilisation n'est pas recommandée, et n'engagera ni ubuntu, canonical ubuntu-fr (forum, doc, asso) ni le / les auteur(s).</note> | canonical
6 Mot inconnu : ubuntu-fr => Toute autre utilisation n'est pas recommandée, et n'engagera ni ubuntu, canonical ubuntu-fr (forum, doc, asso) ni le / les auteur(s).</note> | ubuntu-fr
6 Mot inconnu : asso => Toute autre utilisation n'est pas recommandée, et n'engagera ni ubuntu, canonical ubuntu-fr (forum, doc, asso) ni le / les auteur(s).</note> | asso
6 Écriture invariable. Utilisez un point médian. => Toute autre utilisation n'est pas recommandée, et n'engagera ni ubuntu, canonical ubuntu-fr (forum, doc, asso) ni le / les auteur(s).</note> | auteur(s) => suggestions : ['auteur·s']

9 Mot inconnu : Navigo => Un passe Navigo est une carte à puce sans contact, utilisant la technologie RFID (Radio Frequency IDentification, radio-identification) ou plus précisément NFC (Near Field Communication, communication en champ proche), qui sert de support pour certains forfaits d'abonnement utilisables dans les transports en Île-de-France sur les réseaux **RATP, SNCF** et Optile. Sa mise en œuvre est supervisée par Île-de-France mobilités, qui est propriétaire de la marque. | navigo
9 Mot inconnu : Frequency => Un passe Navigo est une carte à puce sans contact, utilisant la technologie RFID (Radio Frequency IDentification, radio-identification) ou plus précisément NFC (Near Field Communication, communication en champ proche), qui sert de support pour certains forfaits d'abonnement utilisables dans les transports en Île-de-France sur les réseaux **RATP, SNCF** et Optile. Sa mise en œuvre est supervisée par Île-de-France mobilités, qui est propriétaire de la marque. | frequency
9 Mot inconnu : IDentification => Un passe Navigo est une carte à puce sans contact, utilisant la technologie RFID (Radio Frequency IDentification, radio-identification) ou plus précisément NFC (Near Field Communication, communication en champ proche), qui sert de support pour certains forfaits d'abonnement utilisables dans les transports en Île-de-France sur les réseaux **RATP, SNCF** et Optile. Sa mise en œuvre est supervisée par Île-de-France mobilités, qui est propriétaire de la marque. | identification
9 Mot inconnu : NFC => Un passe Navigo est une carte à puce sans contact, utilisant la technologie RFID (Radio Frequency IDentification, radio-identification) ou plus précisément NFC (Near Field Communication, communication en champ proche), qui sert de support pour certains forfaits d'abonnement utilisables dans les transports en Île-de-France sur les réseaux **RATP, SNCF** et Optile. Sa mise en œuvre est supervisée par Île-de-France mobilités, qui est propriétaire de la marque. | nfc
9 Mot inconnu : Near => Un passe Navigo est une carte à puce sans contact, utilisant la technologie RFID (Radio Frequency IDentification, radio-identification) ou plus précisément NFC (Near Field Communication, communication en champ proche), qui sert de support pour certains forfaits d'abonnement utilisables dans les transports en Île-de-France sur les réseaux **RATP, SNCF** et Optile. Sa mise en œuvre est supervisée par Île-de-France mobilités, qui est propriétaire de la marque. | near
9 Mot inconnu : Field => Un passe Navigo est une carte à puce sans contact, utilisant la technologie RFID (Radio Frequency IDentification, radio-identification) ou plus précisément NFC (Near Field Communication, communication en champ proche), qui sert de support pour certains forfaits d'abonnement utilisables dans les transports en Île-de-France sur les réseaux **RATP, SNCF** et Optile. Sa mise en œuvre est supervisée par Île-de-France mobilités, qui est propriétaire de la marque. | field
9 Mot inconnu : Optile => Un passe Navigo est une carte à puce sans contact, utilisant la technologie RFID (Radio Frequency IDentification, radio-identification) ou plus précisément NFC (Near Field Communication, communication en champ proche), qui sert de support pour certains forfaits d'abonnement utilisables dans les transports en Île-de-France sur les réseaux **RATP, SNCF** et Optile. Sa mise en œuvre est supervisée par Île-de-France mobilités, qui est propriétaire de la marque. | optile

11 Mot inconnu : Navigo => Un passe Navigo peut également servir de support pour les abonnements **Vélib' et Autolib'** (Paris). | navigo
11 Mot inconnu : Vélib => Un passe Navigo peut également servir de support pour les abonnements **Vélib' et Autolib'** (Paris). | vélib
11 Guillemets typographiques fermants. => Un passe Navigo peut également servir de support pour les abonnements **Vélib' et Autolib'** (Paris). | ' => suggestions : ['”', '’', '›']
11 Mot inconnu : Autolib => Un passe Navigo peut également servir de support pour les abonnements **Vélib' et Autolib'** (Paris). | autolib

