
4 Mot inconnu : Flickr => ====== Flickr ====== | flickr

5 Mot inconnu : Flickr => **Flickr** est un réseau social axé sur le partage de photos. | flickr

7 Mot inconnu : Flickr => Flickr est édité par le moteur de recherche Yahoo et est disponible à l'adresse [[http://www.flickr.com]]. | flickr
7 Mot inconnu : Yahoo => Flickr est édité par le moteur de recherche Yahoo et est disponible à l'adresse [[http://www.flickr.com]]. | yahoo

10 Mot inconnu : Flickr => Sous Ubuntu, comme sur tout système d'exploitation, il existe de nombreux clients dédiés à Flickr. | flickr

18 Mot inconnu : Flickr => ===== Client officiel Flickr Uploader ===== | flickr
18 Mot inconnu : Uploader => ===== Client officiel Flickr Uploader ===== | uploader

20 Mot inconnu : Flickr => <note important>Le programme proposé par Flickr ne semble plus être disponible au téléchargement (2014-06-22) !</note> | flickr

21 Mot inconnu : Flickr => Il est possible d'utiliser le client officiel de Flickr à l'aide de wine. | flickr
21 Mot inconnu : wine => Il est possible d'utiliser le client officiel de Flickr à l'aide de wine. | wine

40 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Si vous disposez d'une installation de Windows, vous pouvez également copier le fichier C:\Windows\System32\msvcr80.dll dans votre répertoire .wine/drive_c/windows/system32. Il faut ensuite lancer "winecfg" et, dans l'onglet "Bibliothèques", écrire "msvcr80" (sans extension .dll) et cliquer sur "Ajouter". |  . => suggestions : ['. ', '.']
40 Mot inconnu : wine => Si vous disposez d'une installation de Windows, vous pouvez également copier le fichier C:\Windows\System32\msvcr80.dll dans votre répertoire .wine/drive_c/windows/system32. Il faut ensuite lancer "winecfg" et, dans l'onglet "Bibliothèques", écrire "msvcr80" (sans extension .dll) et cliquer sur "Ajouter". | wine
40 Mot inconnu : drive_c => Si vous disposez d'une installation de Windows, vous pouvez également copier le fichier C:\Windows\System32\msvcr80.dll dans votre répertoire .wine/drive_c/windows/system32. Il faut ensuite lancer "winecfg" et, dans l'onglet "Bibliothèques", écrire "msvcr80" (sans extension .dll) et cliquer sur "Ajouter". | drive_c
