
5 Mot inconnu : OpenArena => ====== OpenArena ====== | openarena

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir activé l'[[accélération graphique]]. |    => suggestions : ['']

28 Espace(s) surnuméraire(s) à supprimer. => ==== Téléchargement automatique  ==== |    => suggestions : [' ']

31 Mot inconnu : Mods => Pour les utilisateurs disposant d'une connexion haute vitesse, cette option **est fortement conseillée**. Elle permet en effet de télécharger et d'installer automatiquement les cartes, mais aussi les **Mods** manquants lors de l'accès à une partie **Multijoueurs**. | mods

36 Espace(s) surnuméraire(s) à supprimer. => ==== Amélioration graphique  ==== |    => suggestions : [' ']

38 Mot inconnu : Échap => Il est possible de changer le champ de vision dans la console (qui peut être ouverte avec la combinaison de touches Majuscule+Échap): | échap

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /cg_fov 110 |    => suggestions : ['']
39 Mot inconnu : cg_fov =>   /cg_fov 110 | cg_fov

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   par exemple. |    => suggestions : ['']

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /com_blood 0; cg_gibs 0 |    => suggestions : ['']
44 Mot inconnu : com_blood =>   /com_blood 0; cg_gibs 0 | com_blood
44 Mot inconnu : cg_gibs =>   /com_blood 0; cg_gibs 0 | cg_gibs

47 Espace(s) surnuméraire(s) à supprimer. => ==== Stéréoscopie  ==== |    => suggestions : [' ']

49 Mot inconnu : OpenArena => OpenArena est capable de faire du Quad-Buffer Stereo. | openarena
49 Mot inconnu : Quad-Buffer => OpenArena est capable de faire du Quad-Buffer Stereo. | quad-buffer
49 Mot inconnu : Stereo => OpenArena est capable de faire du Quad-Buffer Stereo. | stereo

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /r_stereoEnable 1 |    => suggestions : ['']
53 Mot inconnu : r_stereoEnable =>   /r_stereoEnable 1 | r_stereoenable

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /vid_restart |    => suggestions : ['']
57 Mot inconnu : vid_restart =>   /vid_restart | vid_restart

64 Accord de genre erroné : « espèce » est féminin. => Par défaut, vous contrôlez un espèce de croisement entre un soldat de Star Wars et E.T. (Téléphone maison). | un => suggestions : ['une']
64 Mot inconnu : Wars => Par défaut, vous contrôlez un espèce de croisement entre un soldat de Star Wars et E.T. (Téléphone maison). | wars
64 Sigle. Il est recommandé d’ôter les points pour les sigles. (S’il s’agit d’un prénom et d’un nom, mettez un espace.) => Par défaut, vous contrôlez un espèce de croisement entre un soldat de Star Wars et E.T. (Téléphone maison). | e.t. => suggestions : ['ET', 'E.\u202fT.']

66 Guillemets typographiques ouvrants. => Pour changer cela, allez dans "SETUP" => "PLAYER", et cliquez tout en bas à droite de l'écran (c'est un menu invisible en fait...). Vous pourrez ainsi choisir la gargoyle ou l'asiatique en tenue traditionnelle... | " => suggestions : ['«\xa0', '“']
66 Mot inconnu : SETUP => Pour changer cela, allez dans "SETUP" => "PLAYER", et cliquez tout en bas à droite de l'écran (c'est un menu invisible en fait...). Vous pourrez ainsi choisir la gargoyle ou l'asiatique en tenue traditionnelle... | setup
66 Guillemets typographiques fermants. => Pour changer cela, allez dans "SETUP" => "PLAYER", et cliquez tout en bas à droite de l'écran (c'est un menu invisible en fait...). Vous pourrez ainsi choisir la gargoyle ou l'asiatique en tenue traditionnelle... | " => suggestions : ['\xa0»', '”']
66 Guillemets typographiques ouvrants. => Pour changer cela, allez dans "SETUP" => "PLAYER", et cliquez tout en bas à droite de l'écran (c'est un menu invisible en fait...). Vous pourrez ainsi choisir la gargoyle ou l'asiatique en tenue traditionnelle... | " => suggestions : ['«\xa0', '“']
66 Mot inconnu : PLAYER => Pour changer cela, allez dans "SETUP" => "PLAYER", et cliquez tout en bas à droite de l'écran (c'est un menu invisible en fait...). Vous pourrez ainsi choisir la gargoyle ou l'asiatique en tenue traditionnelle... | player
66 Guillemets typographiques fermants. => Pour changer cela, allez dans "SETUP" => "PLAYER", et cliquez tout en bas à droite de l'écran (c'est un menu invisible en fait...). Vous pourrez ainsi choisir la gargoyle ou l'asiatique en tenue traditionnelle... | " => suggestions : ['\xa0»', '”']
66 Typographie : points de suspension. Utilisez le caractère dédié. => Pour changer cela, allez dans "SETUP" => "PLAYER", et cliquez tout en bas à droite de l'écran (c'est un menu invisible en fait...). Vous pourrez ainsi choisir la gargoyle ou l'asiatique en tenue traditionnelle... | ... => suggestions : ['…']
66 Mot inconnu : gargoyle => Pour changer cela, allez dans "SETUP" => "PLAYER", et cliquez tout en bas à droite de l'écran (c'est un menu invisible en fait...). Vous pourrez ainsi choisir la gargoyle ou l'asiatique en tenue traditionnelle... | gargoyle
