
4 Mot inconnu : Qmmp => ====== Qmmp ====== | qmmp

5 Mot inconnu : Qmmp => Qmmp est un [[lecteur audio]] dont l'interface est similaire à Winamp ou [[Xmms]]. | qmmp
5 Mot inconnu : Winamp => Qmmp est un [[lecteur audio]] dont l'interface est similaire à Winamp ou [[Xmms]]. | winamp
5 Mot inconnu : Xmms => Qmmp est un [[lecteur audio]] dont l'interface est similaire à Winamp ou [[Xmms]]. | xmms
10 Espace(s) surnuméraire(s) à supprimer. => ==== via les dépôts ubuntu  ==== |    => suggestions : [' ']

13 Mot inconnu : launchpad => ====via les dépôts launchpad officiel ( dernière version )==== | launchpad
13 Pas d’espace après ce signe. => ====via les dépôts launchpad officiel ( dernière version )==== | (  => suggestions : ['(']
13 Pas d’espace avant ce signe. => ====via les dépôts launchpad officiel ( dernière version )==== |  ) => suggestions : [')']
22 Espace(s) en fin de ligne à supprimer. => Vous pouvez configurer le logiciel en faisant un clic droit sur l'interface et en sélectionnant : **configuration**, ou en utilisant le raccourci clavier **Ctrl-p**.  |   => suggestions : ['']

25 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ====Modules visualisation - projectM==== |  -  => suggestions : [' – ', ' — ', ' − ']
25 Mot inconnu : projectM => ====Modules visualisation - projectM==== | projectm

26 Mot inconnu : projectM => Aller dans modules, visualisation et activer [[projectM]] - fare clic droit sur l'interface, visualisation et cocher [[projectM]] | projectm
26 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Aller dans modules, visualisation et activer [[projectM]] - fare clic droit sur l'interface, visualisation et cocher [[projectM]] |  -  => suggestions : [' – ', ' — ', ' − ']
26 Mot inconnu : fare => Aller dans modules, visualisation et activer [[projectM]] - fare clic droit sur l'interface, visualisation et cocher [[projectM]] | fare
26 Mot inconnu : projectM => Aller dans modules, visualisation et activer [[projectM]] - fare clic droit sur l'interface, visualisation et cocher [[projectM]] | projectm

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * [[http://qmmp.ylsoftware.com/|Site officiel]] |     => suggestions : ['']
