
5 Mot inconnu : XChat-gnome => ====== XChat-gnome - Client IRC ====== | xchat-gnome
5 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ====== XChat-gnome - Client IRC ====== |  -  => suggestions : [' – ', ' — ', ' − ']
5 Mot inconnu : IRC => ====== XChat-gnome - Client IRC ====== | irc

14 Mot inconnu : Xchat-gnome => <note importante>Xchat-gnome n'est plus dans les dépôts officiel de Bionic.</note> | xchat-gnome
14 Accord de nombre erroné avec « les dépôts » : « officiel » devrait être au pluriel. => <note importante>Xchat-gnome n'est plus dans les dépôts officiel de Bionic.</note> | officiel => suggestions : ['officiels']

17 Mot inconnu : XChat-gnome => Au premier lancement, XChat-gnome vous demandera de choisir un pseudonyme. | xchat-gnome

25 Espace(s) en fin de ligne à supprimer. => Après avoir choisi votre pseudonyme, vous pourrez vous connecter à un réseau, puis choisir un canal de ce réseau.  |   => suggestions : ['']

27 Mot inconnu : Server => <note>Par défaut, vous serez automatiquement connecté au serveur Ubuntu Server. | server

28 Guillemets typographiques ouvrants. => Vous pouvez modifier ce paramètre en cliquant sur //Modifier → Préférences//, cliquer sur **Réseaux**, descendez jusqu'à trouver "Ubuntu server", puis cliquez sur **Modifier** en haut à droite de la fenêtre. | " => suggestions : ['«\xa0', '“']
28 Mot inconnu : server => Vous pouvez modifier ce paramètre en cliquant sur //Modifier → Préférences//, cliquer sur **Réseaux**, descendez jusqu'à trouver "Ubuntu server", puis cliquez sur **Modifier** en haut à droite de la fenêtre. | server
28 Guillemets typographiques fermants. => Vous pouvez modifier ce paramètre en cliquant sur //Modifier → Préférences//, cliquer sur **Réseaux**, descendez jusqu'à trouver "Ubuntu server", puis cliquez sur **Modifier** en haut à droite de la fenêtre. | " => suggestions : ['\xa0»', '”']

29 Guillemets typographiques ouvrants. => Vous n'avez plus ensuite qu'à décocher la case "Connexion automatique au réseau".</note> | " => suggestions : ['«\xa0', '“']
29 Guillemets typographiques fermants. => Vous n'avez plus ensuite qu'à décocher la case "Connexion automatique au réseau".</note> | " => suggestions : ['\xa0»', '”']

31 Mot inconnu : IRC => Pour choisir un réseau, cliquez sur //IRC → Se connecter// dans le menu. Après avoir choisi parmi la liste des réseaux disponibles, vous pourrez choisir un canal de discussion avec un clic droit sur le serveur. | irc

34 Guillemets typographiques ouvrants. => Si vous souhaiter vous connecter à plusieurs canaux simultanément, il vous faudra les taper dans le champ "Rejoindre le canal" tout en haut de la fenêtre, en les séparant d'une virgule mais sans espace.\\ | " => suggestions : ['«\xa0', '“']
34 Guillemets typographiques fermants. => Si vous souhaiter vous connecter à plusieurs canaux simultanément, il vous faudra les taper dans le champ "Rejoindre le canal" tout en haut de la fenêtre, en les séparant d'une virgule mais sans espace.\\ | " => suggestions : ['\xa0»', '”']
35 Espace(s) en fin de ligne à supprimer. => Exemple :  |   => suggestions : ['']

43 Mot inconnu : xChat-gnome => Par défaut, la fenêtre de conversation de xChat-gnome est composée de deux parties. Elle présente les messages envoyés par les utilisateurs et par vous-même, et l'horodatage (heure à laquelle les messages ont été envoyés), ainsi que la liste des canaux sur la gauche. | xchat-gnome

44 Mot inconnu : F9 => Pour l'enlever, cliquez sur //Affichage → Barre latérale//, ou appuyez simplement sur **F9**. | f9

52 Mot inconnu : IRC => === Préférences IRC === | irc

57 Écriture invariable. Utilisez un point médian. => Cette catégorie vous permet de choisir quel sera le ou les dictionnaire(s) utilisé(s) par défaut pour le correcteur orthographique. | dictionnaire(s) => suggestions : ['dictionnaire·s']
57 Écriture invariable. Utilisez un point médian. => Cette catégorie vous permet de choisir quel sera le ou les dictionnaire(s) utilisé(s) par défaut pour le correcteur orthographique. | utilisé(s) => suggestions : ['utilisé·s']

61 S’il s’agit d’une action que le sujet peut accomplir, le verbe devrait être à l’infinitif. => Vous pourrez configurer les options de couleurs des messages, des pseudonymes, d'arrière-plan, etc. Vous pouvez cochez la case //Colorier les pseudonymes//. | cochez => suggestions : ['cocher']

65 Il manque probablement un trait d’union. => Vous permet de choisir un arrière plan, à partir d'une image de votre choix, pour la fenêtre de conversation. | arrière plan => suggestions : ['arrière-plan']

67 Mot inconnu : DCC => === Transferts de fichiers et DCC === | dcc

75 Écriture invariable. Utilisez un point médian. => Vous pourrez par exemple choisir de vous connecter automatiquement à un réseau au démarrage, et quel(s) canal(canaux) de ce réseau vous souhaitez rejoindre lors de la connexion.\\ | quel(s) => suggestions : ['quel·s']
75 Il manque un espace avant la parenthèse. => Vous pourrez par exemple choisir de vous connecter automatiquement à un réseau au démarrage, et quel(s) canal(canaux) de ce réseau vous souhaitez rejoindre lors de la connexion.\\ | ( => suggestions : [' (']

81 Mot inconnu : Freenode => Si vous souhaitez, lorsque vous vous connectez au réseau Freenode, rejoindre automatiquement le canal #ubuntu-fr, il vous suffit de cliquer sur l'onglet **Utilisateurs et canaux**, puis sur le bouton **Ajouter**, et de rentrer le nom du canal (dans cet exemple: #ubuntu-fr).\\ | freenode
81 Accord de nombre erroné avec “onglet” : “Utilisateurs” devrait être au singulier. => Si vous souhaitez, lorsque vous vous connectez au réseau Freenode, rejoindre automatiquement le canal #ubuntu-fr, il vous suffit de cliquer sur l'onglet **Utilisateurs et canaux**, puis sur le bouton **Ajouter**, et de rentrer le nom du canal (dans cet exemple: #ubuntu-fr).\\ | utilisateurs => suggestions : ['Utilisateur']

83 Guillemets typographiques ouvrants. => Si vous combinez cette option à l'option "Connexion automatique au réseau" de l'onglet **Configuration Réseau**, vous serez automatiquement connecté au réseau #ubuntu-fr du réseau Freenode dès le démarrage de XChat-gnome.\\ | " => suggestions : ['«\xa0', '“']
83 Guillemets typographiques fermants. => Si vous combinez cette option à l'option "Connexion automatique au réseau" de l'onglet **Configuration Réseau**, vous serez automatiquement connecté au réseau #ubuntu-fr du réseau Freenode dès le démarrage de XChat-gnome.\\ | " => suggestions : ['\xa0»', '”']
83 Mot inconnu : Freenode => Si vous combinez cette option à l'option "Connexion automatique au réseau" de l'onglet **Configuration Réseau**, vous serez automatiquement connecté au réseau #ubuntu-fr du réseau Freenode dès le démarrage de XChat-gnome.\\ | freenode
83 Mot inconnu : XChat-gnome => Si vous combinez cette option à l'option "Connexion automatique au réseau" de l'onglet **Configuration Réseau**, vous serez automatiquement connecté au réseau #ubuntu-fr du réseau Freenode dès le démarrage de XChat-gnome.\\ | xchat-gnome

92 Mot inconnu : XChat-gnome => Vous pouvez ici activer des greffons pré-intégrés à XChat-gnome, tels que les Notifications sonores, le Moniteur réseau, l'Absence automatique, etc. | xchat-gnome
