
6 Mot inconnu : Midori => ====== Midori ====== | midori

10 Mot inconnu : Midori => Si vous cherchez un navigateur léger et rapide, Midori vous satisfera. | midori

12 Mot inconnu : __Spécificités__ => **__Spécificités__** | __spécificités__

25 Mot inconnu : debian => ==== paquet debian ==== | debian

29 Confusion probable. Écrivez “là” si vous voulez dire “ici”. => En passant par la [[logitheque]] de votre environnement en cherchant "midori". | la => suggestions : ['là']
29 Mot inconnu : logitheque => En passant par la [[logitheque]] de votre environnement en cherchant "midori". | logitheque
29 Guillemets typographiques ouvrants. => En passant par la [[logitheque]] de votre environnement en cherchant "midori". | " => suggestions : ['«\xa0', '“']
29 Mot inconnu : midori => En passant par la [[logitheque]] de votre environnement en cherchant "midori". | midori
29 Guillemets typographiques fermants. => En passant par la [[logitheque]] de votre environnement en cherchant "midori". | " => suggestions : ['\xa0»', '”']

44 Mot inconnu : Midori => Midori inclut un bloqueur de publicités, désactivé par défaut. Pour l'activer, aller dans le menu **Préférences > Extensions**, puis cocher la case « Bloqueur de publicités ». | midori
44 Accord de genre erroné : « la case » est féminin, « Bloqueur » est masculin. => Midori inclut un bloqueur de publicités, désactivé par défaut. Pour l'activer, aller dans le menu **Préférences > Extensions**, puis cocher la case « Bloqueur de publicités ». | bloqueur => suggestions : ['Bloqueuse']
