
5 Mot inconnu : Partimage => ====== Partimage ====== | partimage

7 Mot inconnu : Partimage => Partimage est une application qui sert à faire la sauvegarde d'une partition. Elle est en quelque sorte l'équivalent de Norton Ghost. | partimage
7 Mot inconnu : Ghost => Partimage est une application qui sert à faire la sauvegarde d'une partition. Elle est en quelque sorte l'équivalent de Norton Ghost. | ghost

8 Mot inconnu : partimage => Ce tutoriel vous expliquera comment faire pour installer partimage, le configurer, sauvegarder votre partition (en interne ou sur un serveur) ou restaurer votre partition. | partimage

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion internet configurée et activée (pour récupérer les paquets); |    => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Supplément Pour Sauvegarde/Restauration distante : Disposer d'une connexion au réseau configurée et activée (pour sauvegarde/restauration via un serveur); |    => suggestions : ['']
19 Accord de genre erroné : « réseau » est masculin, « configurée » est féminin. =>   * Supplément Pour Sauvegarde/Restauration distante : Disposer d'une connexion au réseau configurée et activée (pour sauvegarde/restauration via un serveur); | configurée => suggestions : ['configuré']

37 Forme interrogative ? Mettez un trait d’union. => Pour commencer, connectez vous en root. Ceci est nécessaire pour accéder aux répertoires et aux fichiers de partimaged (serveur partimage). | connectez vous => suggestions : ['connectez-vous']
37 Mot inconnu : root => Pour commencer, connectez vous en root. Ceci est nécessaire pour accéder aux répertoires et aux fichiers de partimaged (serveur partimage). | root
37 Mot inconnu : partimaged => Pour commencer, connectez vous en root. Ceci est nécessaire pour accéder aux répertoires et aux fichiers de partimaged (serveur partimage). | partimaged
37 Mot inconnu : partimage => Pour commencer, connectez vous en root. Ceci est nécessaire pour accéder aux répertoires et aux fichiers de partimaged (serveur partimage). | partimage

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo su |    => suggestions : ['']
39 Mot inconnu : sudo =>   sudo su | sudo

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo vi /etc/partimaged/partimagedusers |    => suggestions : ['']
43 Mot inconnu : sudo =>   sudo vi /etc/partimaged/partimagedusers | sudo
43 Mot inconnu : vi =>   sudo vi /etc/partimaged/partimagedusers | vi

45 Mot inconnu : partimag => Pour ma part, j'utilise le nom d'utilisateur partimag qui est créé lors de l'installation de partimage. | partimag
45 Mot inconnu : partimage => Pour ma part, j'utilise le nom d'utilisateur partimag qui est créé lors de l'installation de partimage. | partimage

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo passwd partimag |    => suggestions : ['']
49 Mot inconnu : sudo =>   sudo passwd partimag | sudo
49 Mot inconnu : passwd =>   sudo passwd partimag | passwd
49 Mot inconnu : partimag =>   sudo passwd partimag | partimag

51 Mot inconnu : partimag => J'utilise le même mot de passe que le login à savoir partimag. | partimag

55 Mot inconnu : Partimage => Normalement, il n'y a rien d'autre à faire. Partimage est prêt à être utilisé. | partimage

79 Accord de genre erroné : « touche » est féminin. => Une fois le choix effectué, dans le cas d'une sauvegarde sur poste local, il suffit de passer à l'écran suivant en appuyant sur le touche « F5 ». | le => suggestions : ['la']
79 Accord de genre erroné : « le » est un déterminant masculin. => Une fois le choix effectué, dans le cas d'une sauvegarde sur poste local, il suffit de passer à l'écran suivant en appuyant sur le touche « F5 ». | touche => suggestions : ['touché']
79 Mot inconnu : F5 => Une fois le choix effectué, dans le cas d'une sauvegarde sur poste local, il suffit de passer à l'écran suivant en appuyant sur le touche « F5 ». | f5

86 Mot inconnu : TAB => Une fois la surbrillance rouge positionnée sur la partition à sauvegarder, utilisez la touche « TAB » pour passer à la ligne suivante. | tab

94 Mot inconnu : partimage => Une fois le choix effectué, dans le cas d'une sauvegarde sur un serveur, il faut indiquer l'adresse IP du serveur partimage. | partimage
96 Mot inconnu : F5 => Après avoir indiqué l'adresse IP du serveur, appuyez sur la touche « F5 » pour continuer (laissez les autres options par défaut). | f5
102 Mot inconnu : F5 => Appuyez sur la touche « F5 » pour continuer. | f5
110 Mot inconnu : F5 => Appuyez sur la touche « F5 » pour continuer. | f5
122 Il manque un espace. => //Contributeur principal : [[utilisateurs:jeremie_walter|Jérémie Walter]].// | jeremie_walter => suggestions : [' jeremie_walter']
